#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
24200 0.179657993 0.146162896 0.146162896 0.033495097
26620 0.179657993 0.146162896 0.146162896 0.033495097
29040 0.179657993 0.146162896 0.146162896 0.033495097
31460 0.179657993 0.146162896 0.146162896 0.033495097
33880 0.179657993 0.146162896 0.146162896 0.033495097
36300 0.179657993 0.146162896 0.146162896 0.033495097
38720 0.179657993 0.146162896 0.146162896 0.033495097
41140 0.179657993 0.146162896 0.146162896 0.033495097
43560 0.179657993 0.146162896 0.146162896 0.033495097
45980 0.179657993 0.146162896 0.146162896 0.033495097
24200 0.197478952 0.168741511 0.168741511 0.028737441
26620 0.197478952 0.168741511 0.168741511 0.028737441
29040 0.197478952 0.168741511 0.168741511 0.028737441
31460 0.197478952 0.168741511 0.168741511 0.028737441
33880 0.197478952 0.168741511 0.168741511 0.028737441
36300 0.197478952 0.168741511 0.168741511 0.028737441
38720 0.197478952 0.168741511 0.168741511 0.028737441
41140 0.197478952 0.168741511 0.168741511 0.028737441
43560 0.197478952 0.168741511 0.168741511 0.028737441
45980 0.197478952 0.168741511 0.168741511 0.028737441
24200 0.168953671 0.137658618 0.137658618 0.031295053
26620 0.168953671 0.137658618 0.137658618 0.031295053
29040 0.168953671 0.137658618 0.137658618 0.031295053
31460 0.168953671 0.137658618 0.137658618 0.031295053
33880 0.168953671 0.137658618 0.137658618 0.031295053
36300 0.168953671 0.137658618 0.137658618 0.031295053
38720 0.168953671 0.137658618 0.137658618 0.031295053
41140 0.168953671 0.137658618 0.137658618 0.031295053
43560 0.168953671 0.137658618 0.137658618 0.031295053
45980 0.168953671 0.137658618 0.137658618 0.031295053
24200 0.171685982 0.141788414 0.141788414 0.029897568
26620 0.171685982 0.141788414 0.141788414 0.029897568
29040 0.171685982 0.141788414 0.141788414 0.029897568
31460 0.171685982 0.141788414 0.141788414 0.029897568
33880 0.171685982 0.141788414 0.141788414 0.029897568
36300 0.171685982 0.141788414 0.141788414 0.029897568
38720 0.171685982 0.141788414 0.141788414 0.029897568
41140 0.171685982 0.141788414 0.141788414 0.029897568
43560 0.171685982 0.141788414 0.141788414 0.029897568
45980 0.171685982 0.141788414 0.141788414 0.029897568
24200 0.166779140 0.135085989 0.135085989 0.031693151
26620 0.166779140 0.135085989 0.135085989 0.031693151
29040 0.166779140 0.135085989 0.135085989 0.031693151
31460 0.166779140 0.135085989 0.135085989 0.031693151
33880 0.166779140 0.135085989 0.135085989 0.031693151
36300 0.166779140 0.135085989 0.135085989 0.031693151
38720 0.166779140 0.135085989 0.135085989 0.031693151
41140 0.166779140 0.135085989 0.135085989 0.031693151
43560 0.166779140 0.135085989 0.135085989 0.031693151
45980 0.166779140 0.135085989 0.135085989 0.031693151
24200 0.190841657 0.162922112 0.162922112 0.027919545
26620 0.190841657 0.162922112 0.162922112 0.027919545
29040 0.190841657 0.162922112 0.162922112 0.027919545
31460 0.190841657 0.162922112 0.162922112 0.027919545
33880 0.190841657 0.162922112 0.162922112 0.027919545
36300 0.190841657 0.162922112 0.162922112 0.027919545
38720 0.190841657 0.162922112 0.162922112 0.027919545
41140 0.190841657 0.162922112 0.162922112 0.027919545
43560 0.190841657 0.162922112 0.162922112 0.027919545
45980 0.190841657 0.162922112 0.162922112 0.027919545
24200 0.182761528 0.154588617 0.154588617 0.028172911
26620 0.182761528 0.154588617 0.154588617 0.028172911
29040 0.182761528 0.154588617 0.154588617 0.028172911
31460 0.182761528 0.154588617 0.154588617 0.028172911
33880 0.182761528 0.154588617 0.154588617 0.028172911
36300 0.182761528 0.154588617 0.154588617 0.028172911
38720 0.182761528 0.154588617 0.154588617 0.028172911
41140 0.182761528 0.154588617 0.154588617 0.028172911
43560 0.182761528 0.154588617 0.154588617 0.028172911
45980 0.182761528 0.154588617 0.154588617 0.028172911
