#input_size get_time acc_size acc_time op_type overall_time
2756 0.000025420 2756 0.000030208 add_time= 0.001935347
2500 0.000057556 2500 0.000007449 add_time= 0.000081120
2500 0.000118189 2500 0.000006736 add_time= 0.000140339
2650 0.000018112 2650 0.000157079 add_time= 0.000197256
2750 0.000044524 2750 0.000017406 add_time= 0.000077535
2550 0.000096695 2550 0.000006653 add_time= 0.000118123
2915 0.000016377 2915 0.000085496 add_time= 0.000200018
2700 0.000164026 2700 0.000006672 add_time= 0.000204732
2700 0.000086523 2700 0.000008014 add_time= 0.000119451
2915 0.000009548 2915 0.000147858 add_time= 0.000193649
2805 0.000129204 2805 0.000008472 add_time= 0.000166336
2805 0.000045604 2805 0.000010468 add_time= 0.000082139
2703 0.000024019 2703 0.000015934 add_time= 0.000078785
2700 0.000300567 2700 0.000007728 add_time= 0.000324904
2550 0.000072573 2550 0.000006731 add_time= 0.000095904
2808 0.000056133 2808 0.000009963 add_time= 0.000082087
2750 0.000341247 2750 0.000015801 add_time= 0.000385929
2862 0.000007914 2862 0.000015994 add_time= 0.000046336
2500 0.000191595 2500 0.000018259 add_time= 0.000233160
2500 0.000149222 2500 0.000007429 add_time= 0.000173155
2575 0.000047022 2650 0.000084246 mult_time= 0.000262089
2575 0.000036948 2650 0.000025478 mult_time= 0.000107013
5616 0.000053047 2915 0.000024027 mult_time= 0.000160336
5720 0.000057692 2703 0.000024200 mult_time= 0.000152121
5350 0.000039156 2862 0.000028252 mult_time= 0.000128408
5500 0.000040905 2500 0.000024699 mult_time= 0.000142414
5250 0.000090981 2750 0.000026238 mult_time= 0.000174509
5151 0.000124182 2550 0.000024044 mult_time= 0.000217185
5000 0.000059082 2500 0.000022027 mult_time= 0.000132195
5610 0.000062420 2600 0.000023093 mult_time= 0.000139444
5250 0.001414973 2750 0.000008356 mult_time= 0.001490051
5100 0.002491078 2500 0.000026730 mult_time= 0.002570588
5616 0.003252770 2704 0.000007839 mult_time= 0.003316401
5100 0.001114406 2600 0.000007760 mult_time= 0.001172343
2650 0.000702000 2808 0.000008494 mult_time= 0.000763278
5406 0.003123403 2600 0.000028253 mult_time= 0.003204814
5304 0.003014424 2600 0.000007903 mult_time= 0.003073963
5100 0.000853820 2600 0.000007221 mult_time= 0.000911123
5000 0.001211466 2500 0.000007581 mult_time= 0.001268951
5100 0.001439998 2500 0.000007540 mult_time= 0.001498609
5151 0.001578483 2550 0.000007704 mult_time= 0.001638083
5775 0.007291654 2750 0.000010319 mult_time= 0.007355570
5200 0.002701736 2500 0.000007787 mult_time= 0.002760472
5300 0.002703117 2500 0.000007902 mult_time= 0.002762908
5250 0.002885912 2750 0.000007710 mult_time= 0.002944941
5350 0.004142168 2860 0.000007513 mult_time= 0.004198343
5450 0.000048174 2970 0.000007836 mult_time= 0.000104833
6050 0.002890696 3025 0.000011081 mult_time= 0.002957684
5460 0.001252160 2750 0.000009348 mult_time= 0.001314735
5250 0.008254505 2750 0.000009064 mult_time= 0.008316947
5610 0.003747717 2600 0.000008123 mult_time= 0.003808253
5151 0.002762022 2550 0.000009085 mult_time= 0.002823087
5000 0.003659464 2500 0.000008031 mult_time= 0.003714755
5500 0.000872495 3025 0.000023620 mult_time= 0.000964571
5830 0.002887949 2805 0.000008221 mult_time= 0.002949742
5720 0.003405786 2703 0.000015094 mult_time= 0.003492339
5050 0.001826414 2550 0.000008878 mult_time= 0.001887895
5555 0.002248726 2550 0.000007800 mult_time= 0.002304551
5355 0.005471996 2754 0.000007982 mult_time= 0.005530233
5100 0.002989523 2500 0.000007708 mult_time= 0.003044960
5200 0.000931764 2703 0.000008966 mult_time= 0.000992337
5050 0.002287329 2550 0.000008765 mult_time= 0.002347153
5555 0.002341656 2550 0.000009030 mult_time= 0.002402375
5565 0.002231610 2754 0.000009125 mult_time= 0.002291863
5050 0.000078352 2550 0.000008132 mult_time= 0.000136142
5150 0.000145081 2652 0.000007577 mult_time= 0.000199686
5050 0.000629485 2550 0.000008065 mult_time= 0.000686698
5775 0.001131856 2754 0.000010332 mult_time= 0.001200131
5400 0.003534884 2500 0.000007844 mult_time= 0.003591834
5151 0.005766065 2550 0.000008165 mult_time= 0.005823972
5304 0.002032176 2700 0.000008215 mult_time= 0.002090635
5200 0.002281708 2700 0.000007989 mult_time= 0.002336835
5000 0.003811494 2500 0.000007635 mult_time= 0.003866613
5355 0.003211457 2750 0.000007791 mult_time= 0.003269748
5000 0.000997182 2500 0.000008658 mult_time= 0.001070052
4125 0.002000683 1250 0.000007320 mult_time= 0.002050806
5350 0.001294767 2860 0.000012137 mult_time= 0.001390612
5668 0.000300987 2970 0.000008498 mult_time= 0.000362501
5406 0.000871382 2600 0.000008082 mult_time= 0.000927253
5000 0.001438871 2500 0.000007953 mult_time= 0.001494358
5151 0.001362164 2550 0.000010894 mult_time= 0.001428245
3750 0.000710797 1250 0.000007043 mult_time= 0.000757138
3900 0.001300793 1250 0.000007168 mult_time= 0.001346159
2000 0.003068193 1375 0.000006811 mult_time= 0.003113309
5459 0.000036260 2650 0.000084266 mult_time= 0.000193596
5253 0.000075954 2650 0.000015238 mult_time= 0.000151907
5200 0.000046633 2703 0.000025572 mult_time= 0.000130143
5508 0.000036406 2915 0.000084146 mult_time= 0.000187355
5000 0.000047245 2500 0.000023263 mult_time= 0.000129828
5500 0.000042057 2500 0.000022323 mult_time= 0.000115432
