optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.372427037 0.581072902 0.586895174 0.590750063 0.581573997 0.583655647 0.583861687 0.574932312 0.573439568 0.573439568 0.575112531 0.575112531 0.576885664
0.372427037 0.580402600 0.585251474 0.588340370 0.580517690 0.582674504 0.582785158 0.569719186 0.567749857 0.567749857 0.566841170 0.566841170 0.571776418
0.372427037 0.579835740 0.583983537 0.586675820 0.579694643 0.581856994 0.581881447 0.568898765 0.566797901 0.566797901 0.568034366 0.568034366 0.570953118
0.372427037 0.572854224 0.574837080 0.574135055 0.573437173 0.572988888 0.572103537 0.553506568 0.535961045 0.535961045 0.542633014 0.542633014 0.551720111
0.372427037 0.564624189 0.564303921 0.557880857 0.566423895 0.560766025 0.562776709 0.550727756 0.533909172 0.533909172 0.564303790 0.564303790 0.562351115
0.372427037 0.560975571 0.559910534 0.552750987 0.561680475 0.556003233 0.557145467 0.546089891 0.531213485 0.531213485 0.562840208 0.562840208 0.561757329
0.372427037 0.555080038 0.553046221 0.545329389 0.554993740 0.546891474 0.548514302 0.541790023 0.521953410 0.521953410 0.563488614 0.563488614 0.557839687
0.372427037 0.533897290 0.533672931 0.526629023 0.535859300 0.528979874 0.530274181 0.496770284 0.466902925 0.466902925 0.498954725 0.498954725 0.498002183
0.372427037 0.464450015 0.465325111 0.462393654 0.464253881 0.453909806 0.456100255 0.438749257 0.429943572 0.429943572 0.432743298 0.432743298 0.436263526
0.372427037 0.434287598 0.437008767 0.436200160 0.434435094 0.425495281 0.426472773 0.431393954 0.429468950 0.429468950 0.428555455 0.428555455 0.434037701
0.335404106 0.555629524 0.560048194 0.565333681 0.555474426 0.557349268 0.557443671 0.548898620 0.547374500 0.547374500 0.549005449 0.549005449 0.550706802
0.335404106 0.554937602 0.558099733 0.563169569 0.554115959 0.556149115 0.556059125 0.543116531 0.540829297 0.540829297 0.542956383 0.542956383 0.545564727
0.335404106 0.554253598 0.556858497 0.561200829 0.553461410 0.555340969 0.554137975 0.542129019 0.539372200 0.539372200 0.541646399 0.541646399 0.544777730
0.335404106 0.546397479 0.548691209 0.547249425 0.546377402 0.546326618 0.545134434 0.526267660 0.509525670 0.509525670 0.517562848 0.517562848 0.523571520
0.335404106 0.537413080 0.538293192 0.530440744 0.538572396 0.535806793 0.536090125 0.523095147 0.507523472 0.507523472 0.536372359 0.536372359 0.527879163
0.335404106 0.533488562 0.534112585 0.524576227 0.534797162 0.530730518 0.530950909 0.517952166 0.499727005 0.499727005 0.534596406 0.534596406 0.528269471
0.335404106 0.527088192 0.528034551 0.517303489 0.528599551 0.521844382 0.523047248 0.514264461 0.496249266 0.496249266 0.533853213 0.533853213 0.527680328
0.335404106 0.505566382 0.506475421 0.498842251 0.506942256 0.500809759 0.502227250 0.467535636 0.435505568 0.435505568 0.468112959 0.468112959 0.463946073
0.335404106 0.434235095 0.437226895 0.432313265 0.435138008 0.425463722 0.425326297 0.406972529 0.399319777 0.399319777 0.400339619 0.400339619 0.408402230
0.335404106 0.403493949 0.406610885 0.405600002 0.403512059 0.394451513 0.394976020 0.399570886 0.398387545 0.398387545 0.395711855 0.395711855 0.402372764
0.369535430 0.577497477 0.583278510 0.586958309 0.577726904 0.579645489 0.579819226 0.570850204 0.569031160 0.569031160 0.570709097 0.570709097 0.572756658
0.369535430 0.576714092 0.581670140 0.584423078 0.576691336 0.578750002 0.578729987 0.565266642 0.563423730 0.563423730 0.565351328 0.565351328 0.568216413
0.369535430 0.576185781 0.580478099 0.582313599 0.576048828 0.577931758 0.577917034 0.564841134 0.561823512 0.561823512 0.563882726 0.563882726 0.567662604
0.369535430 0.567950591 0.570018134 0.569101464 0.569120085 0.569319010 0.569249394 0.548027581 0.532289632 0.532289632 0.545463273 0.545463273 0.548825612
0.369535430 0.559011077 0.558967657 0.553767500 0.560492572 0.557540174 0.558080720 0.546646998 0.530888523 0.530888523 0.560863822 0.560863822 0.556839140
0.369535430 0.556039851 0.554899804 0.548666266 0.556845783 0.553696013 0.554614535 0.541958061 0.524550716 0.524550716 0.560422216 0.560422216 0.556304474
0.369535430 0.550636773 0.548984702 0.541724077 0.549646940 0.545698751 0.546127692 0.541752232 0.519504768 0.519504768 0.560180083 0.560180083 0.553235789
0.369535430 0.530209490 0.530391331 0.524244405 0.529971414 0.527309783 0.526713961 0.495826997 0.463367040 0.463367040 0.495637950 0.495637950 0.496526220
0.369535430 0.463558567 0.463586995 0.460588099 0.462436475 0.456844283 0.455926587 0.436830296 0.430977306 0.430977306 0.431858976 0.431858976 0.432577549
0.369535430 0.434453026 0.435986660 0.434493476 0.432310293 0.425667541 0.425361845 0.429646559 0.428619982 0.428619982 0.426620180 0.426620180 0.432742024
0.358375497 0.565385878 0.570879540 0.574947782 0.566085054 0.568095031 0.568089161 0.559533030 0.558398659 0.558398659 0.559005275 0.559005275 0.561141737
0.358375497 0.564653841 0.569396382 0.573095756 0.565239264 0.566990942 0.566889643 0.554730158 0.553012156 0.553012156 0.553821907 0.553821907 0.556683896
0.358375497 0.564061370 0.568274333 0.571470030 0.564568326 0.566179940 0.565884747 0.553748553 0.551589061 0.551589061 0.553196989 0.553196989 0.555938068
0.358375497 0.557272658 0.560061488 0.559066701 0.558915229 0.556954039 0.557862422 0.539910676 0.524141637 0.524141637 0.538535565 0.538535565 0.539424543
0.358375497 0.549918517 0.550233424 0.543323802 0.552150789 0.548689466 0.548407410 0.535989091 0.522633796 0.522633796 0.549838374 0.549838374 0.546372916
0.358375497 0.546756218 0.545174465 0.537903104 0.547824039 0.543237673 0.543977339 0.533411079 0.514241178 0.514241178 0.548069218 0.548069218 0.546151547
0.358375497 0.541309730 0.538650396 0.531013620 0.541552112 0.535694035 0.536449845 0.532001005 0.510805639 0.510805639 0.549035822 0.549035822 0.545242137
0.358375497 0.519388001 0.519866810 0.512685820 0.521928646 0.515373977 0.516160628 0.482085585 0.453946961 0.453946961 0.483697827 0.483697827 0.481424596
0.358375497 0.452498367 0.451923880 0.449052420 0.451999176 0.443193746 0.443506447 0.426045964 0.419954283 0.419954283 0.420131819 0.420131819 0.423765311
0.358375497 0.422627801 0.424566660 0.424303391 0.422226645 0.414059188 0.414727328 0.419362244 0.418055651 0.418055651 0.416254598 0.416254598 0.422021435
0.367124216 0.575438614 0.581048318 0.584319824 0.575602533 0.576280793 0.577850650 0.568586568 0.567085548 0.567085548 0.568504750 0.568504750 0.570496378
0.367124216 0.575020358 0.579392879 0.582173677 0.574781443 0.575434931 0.577058090 0.563508597 0.561488537 0.561488537 0.563323808 0.563323808 0.565756071
0.367124216 0.574255153 0.578207294 0.580670567 0.574064114 0.574744826 0.576171903 0.562618398 0.560040134 0.560040134 0.562222735 0.562222735 0.565052411
0.367124216 0.566229867 0.567755078 0.567303155 0.567012790 0.565727564 0.567578445 0.546474595 0.531188321 0.531188321 0.531651058 0.531651058 0.554636815
0.367124216 0.557365474 0.557252342 0.552176345 0.559734732 0.556143469 0.557022213 0.543523247 0.528278449 0.528278449 0.558986441 0.558986441 0.554938245
0.367124216 0.554232539 0.552707482 0.546656446 0.556186865 0.551977519 0.553090397 0.539984712 0.521040044 0.521040044 0.558274784 0.558274784 0.556544996
0.367124216 0.549039342 0.546279188 0.539620284 0.549437136 0.544245947 0.544361242 0.535397041 0.517113625 0.517113625 0.558467364 0.558467364 0.553573934
0.367124216 0.528044893 0.528166339 0.521875400 0.529820538 0.525034536 0.525210292 0.492625497 0.460884287 0.460884287 0.493880071 0.493880071 0.493247652
0.367124216 0.459664731 0.460425856 0.457381810 0.461914952 0.454404853 0.454612763 0.434302198 0.427784327 0.427784327 0.429302051 0.429302051 0.432773061
0.367124216 0.430418241 0.433213297 0.432494075 0.430746519 0.423622502 0.424543260 0.427806473 0.425616647 0.425616647 0.424902203 0.424902203 0.430107705
0.341835407 0.561825752 0.566694150 0.571289916 0.561573606 0.563325554 0.563281778 0.555287211 0.553248533 0.553248533 0.554889723 0.554889723 0.557089271
0.341835407 0.561045420 0.564816904 0.569423051 0.560316226 0.562479085 0.562393819 0.549154961 0.548684405 0.548684405 0.548931886 0.548931886 0.552358352
0.341835407 0.560256866 0.563357041 0.567489689 0.559233330 0.561560404 0.561694031 0.548601669 0.546146446 0.546146446 0.548441318 0.548441318 0.551667689
0.341835407 0.551754146 0.554806966 0.554066699 0.553093010 0.551441611 0.552853885 0.534810746 0.516691686 0.516691686 0.539009832 0.539009832 0.537434499
0.341835407 0.543258455 0.544502164 0.537201158 0.546018570 0.541164730 0.540238044 0.531739979 0.514137734 0.514137734 0.544046450 0.544046450 0.538536604
0.341835407 0.539917455 0.540407458 0.532287457 0.542087816 0.535404702 0.536000211 0.525742343 0.507404186 0.507404186 0.541940446 0.541940446 0.536428175
0.341835407 0.533927494 0.534396176 0.524485085 0.535714966 0.527930322 0.528165156 0.525623165 0.504289574 0.504289574 0.542449306 0.542449306 0.535930431
0.341835407 0.512847218 0.512416723 0.504752112 0.514704923 0.506096768 0.506405194 0.472983657 0.443327062 0.443327062 0.475165395 0.475165395 0.474443059
0.341835407 0.442478318 0.443949389 0.439089591 0.443128602 0.432277625 0.433268436 0.415699829 0.405880833 0.405880833 0.407799083 0.407799083 0.414864952
0.341835407 0.409798635 0.412986530 0.411982124 0.409999851 0.398728879 0.399774632 0.406008319 0.404110927 0.404110927 0.403262257 0.403262257 0.409170224
0.339001786 0.558761925 0.564743406 0.568506259 0.558640140 0.560632282 0.560727968 0.551601046 0.550626360 0.550626360 0.551513356 0.551513356 0.553264589
0.339001786 0.557826237 0.562753879 0.566118058 0.557329067 0.559651775 0.559749291 0.545990173 0.544525304 0.544525304 0.544877763 0.544877763 0.548627891
0.339001786 0.556875144 0.561368773 0.564630569 0.556387675 0.558597956 0.558729575 0.544728451 0.543652399 0.543652399 0.544159850 0.544159850 0.547778798
0.339001786 0.548563315 0.551597683 0.550199220 0.548914093 0.549445209 0.547292429 0.528670648 0.512871434 0.512871434 0.521393779 0.521393779 0.529232445
0.339001786 0.539629043 0.539713374 0.532828426 0.542076571 0.536607049 0.536636455 0.527650149 0.512502139 0.512502139 0.540373816 0.540373816 0.533875308
0.339001786 0.536305816 0.534941027 0.528257545 0.537575015 0.531608188 0.531833925 0.521858104 0.503259828 0.503259828 0.538619005 0.538619005 0.530192759
0.339001786 0.529946425 0.527886919 0.520250712 0.529705082 0.523085943 0.523089372 0.521046166 0.499338886 0.499338886 0.539147992 0.539147992 0.531900272
0.339001786 0.506530729 0.506249228 0.500161863 0.506997712 0.502527822 0.502678125 0.469760961 0.439249425 0.439249425 0.471106503 0.471106503 0.468103884
0.339001786 0.436654703 0.437752709 0.434433812 0.438064264 0.427791657 0.427981322 0.412249498 0.404648575 0.404648575 0.405492755 0.405492755 0.412424330
0.339001786 0.408350936 0.410162455 0.409883780 0.407816998 0.398060625 0.398736621 0.405327682 0.403685148 0.403685148 0.402135055 0.402135055 0.407128781
0.346776851 0.562920821 0.568330852 0.572395393 0.562869348 0.564685505 0.564673657 0.556075676 0.554866926 0.554866926 0.556341976 0.556341976 0.558135877
0.346776851 0.562238553 0.566426276 0.570153388 0.562048778 0.563311373 0.563633593 0.551571797 0.549960796 0.549960796 0.550745320 0.550745320 0.553696764
