#input_size get_time acc_size acc_time op_type overall_time
2750 0.000090559 2750 0.000014804 add_time= 0.001571602
3025 0.000041003 3025 0.000008169 add_time= 0.000065934
2750 0.000093789 2750 0.000007623 add_time= 0.000117314
2860 0.000123156 2860 0.000008971 add_time= 0.000156778
2650 0.000078195 2650 0.000006686 add_time= 0.000099962
1250 0.000114778 1250 0.000005997 add_time= 0.000135218
2500 0.000639051 2500 0.000010213 add_time= 0.000728220
2652 0.000079678 2652 0.000011631 add_time= 0.000118568
2700 0.000133170 2700 0.000007775 add_time= 0.000160164
2500 0.000769526 2500 0.000008171 add_time= 0.000826528
2805 0.000204995 2805 0.000007674 add_time= 0.000254092
3025 0.000038470 3025 0.000008640 add_time= 0.000080126
2500 0.001188466 2500 0.000010259 add_time= 0.001236483
2600 0.000095524 2600 0.000006869 add_time= 0.000118162
2754 0.000073340 2754 0.000006994 add_time= 0.000105308
2500 0.000836291 2500 0.000024275 add_time= 0.000915493
2703 0.001386415 2703 0.000012211 add_time= 0.001439831
5459 0.004445401 2650 0.000018203 mult_time= 0.004656397
5665 0.002817853 2650 0.000008111 mult_time= 0.002914335
5000 0.002043833 2500 0.000008420 mult_time= 0.002133796
5250 0.001771220 2750 0.000007978 mult_time= 0.001858658
5050 0.001771280 2550 0.000007921 mult_time= 0.001855144
5000 0.003012354 2500 0.000007504 mult_time= 0.003094240
5555 0.001756910 2550 0.000026504 mult_time= 0.001881670
5000 0.002579847 2500 0.000007813 mult_time= 0.002667008
2550 0.001920756 2600 0.000008439 mult_time= 0.002010549
5150 0.006349744 2652 0.000008704 mult_time= 0.006445054
5202 0.000081886 2600 0.000052561 mult_time= 0.000270832
5350 0.000095416 2860 0.000010537 mult_time= 0.000192665
5350 0.000063982 2860 0.000114355 mult_time= 0.000262513
5150 0.000030739 2652 0.000023320 mult_time= 0.000134175
5100 0.000031956 2600 0.000023921 mult_time= 0.000134302
5665 0.000066923 2650 0.000023783 mult_time= 0.000189489
5355 0.000048805 2750 0.000034571 mult_time= 0.000164470
5353 0.001139695 2550 0.000023584 mult_time= 0.001239288
3750 0.000060078 1250 0.000015669 mult_time= 0.000151297
5355 0.000143158 2750 0.000038774 mult_time= 0.000316309
5300 0.000298620 2805 0.000009083 mult_time= 0.000398142
5000 0.001109918 2500 0.000008926 mult_time= 0.001204735
5355 0.001157229 2750 0.000009315 mult_time= 0.001234193
5151 0.002531363 2550 0.000008190 mult_time= 0.002595068
5000 0.002938586 2500 0.000008623 mult_time= 0.003002954
6050 0.003149906 3025 0.000009283 mult_time= 0.003230122
5300 0.005671365 2805 0.000008768 mult_time= 0.005745043
5250 0.002100576 2750 0.000008242 mult_time= 0.002162418
5200 0.002569464 2500 0.000009300 mult_time= 0.002632772
5400 0.004342362 2500 0.000008251 mult_time= 0.004406270
5151 0.004737496 2550 0.000008308 mult_time= 0.004797035
5508 0.000326958 2915 0.000011036 mult_time= 0.000391326
5250 0.001325367 2750 0.000008113 mult_time= 0.001387047
2625 0.002308166 2750 0.000007999 mult_time= 0.002359963
5450 0.006396222 2970 0.000008798 mult_time= 0.006460476
5252 0.001756582 2550 0.000007848 mult_time= 0.001816485
5300 0.002536952 2805 0.000008795 mult_time= 0.002616617
5830 0.003204344 2805 0.000008055 mult_time= 0.003269313
5100 0.001816148 2500 0.000007737 mult_time= 0.001873605
5555 0.001857419 2550 0.000007960 mult_time= 0.001917300
3975 0.004649809 1250 0.000007227 mult_time= 0.004696461
5252 0.003391267 2550 0.000007617 mult_time= 0.003446280
5151 0.005112815 2550 0.000008039 mult_time= 0.005171520
5406 0.001451175 2805 0.000008829 mult_time= 0.001510332
5202 0.001266542 2601 0.000008017 mult_time= 0.001330050
5151 0.002653991 2550 0.000007949 mult_time= 0.002713257
5500 0.002314352 2500 0.000008335 mult_time= 0.002384165
2500 0.002674142 2500 0.000007895 mult_time= 0.002724428
5000 0.003046720 2500 0.000026777 mult_time= 0.003125125
5720 0.000235764 2700 0.000008265 mult_time= 0.000297267
5408 0.001980840 2700 0.000008415 mult_time= 0.002039767
5616 0.005380287 2700 0.000027011 mult_time= 0.005458981
5250 0.003341373 2750 0.000008258 mult_time= 0.003401890
5616 0.003441072 2700 0.000008595 mult_time= 0.003503722
5250 0.000424857 2750 0.000008258 mult_time= 0.000483012
5995 0.000336967 2970 0.000009189 mult_time= 0.000436209
5000 0.000890869 2500 0.000008421 mult_time= 0.000952801
5200 0.001420282 2500 0.000008305 mult_time= 0.001480885
5100 0.001466948 2500 0.000035719 mult_time= 0.001552723
3900 0.001917401 1325 0.000006955 mult_time= 0.001964009
4000 0.001976733 1375 0.000007075 mult_time= 0.002025805
4104 0.001292460 1275 0.000006992 mult_time= 0.001338923
4160 0.001032728 1375 0.000027243 mult_time= 0.001100824
5830 0.000463424 2809 0.000009588 mult_time= 0.000553380
5150 0.002392226 2650 0.000008441 mult_time= 0.002458456
5885 0.002599172 2862 0.000008194 mult_time= 0.002667241
5000 0.002335514 2500 0.000008232 mult_time= 0.002398122
5100 0.001720529 2500 0.000007656 mult_time= 0.001778023
5500 0.001318247 2500 0.000007950 mult_time= 0.001379645
5000 0.000064231 2500 0.000007871 mult_time= 0.000123375
2625 0.000086257 2750 0.000007734 mult_time= 0.000137607
5100 0.001182877 2500 0.000011836 mult_time= 0.001308853
5670 0.002020504 2756 0.000007857 mult_time= 0.002084137
5100 0.002073875 2600 0.000008408 mult_time= 0.002139793
5356 0.002357485 2652 0.000008162 mult_time= 0.002418943
5304 0.003794535 2600 0.000008399 mult_time= 0.003853876
5150 0.000038684 2652 0.000024615 mult_time= 0.000114505
5562 0.000047936 2652 0.000134681 mult_time= 0.000237415
5100 0.001675719 2600 0.000023211 mult_time= 0.001749767
5250 0.000042208 2750 0.000025543 mult_time= 0.000125864
5200 0.000054633 2700 0.000025269 mult_time= 0.000149036
5350 0.000045782 2860 0.000025921 mult_time= 0.000128621
5406 0.000174000 2805 0.000008164 mult_time= 0.000245539
4160 0.000043495 1375 0.000007099 mult_time= 0.000091049
5000 0.000317597 2500 0.000008311 mult_time= 0.000430033
5555 0.000654690 2550 0.000007614 mult_time= 0.000722929
5200 0.000404503 2500 0.000007534 mult_time= 0.000464568
5355 0.000122712 2750 0.000007749 mult_time= 0.000180687
5940 0.000121438 3025 0.000028447 mult_time= 0.000204460
6050 0.000783143 3025 0.000007882 mult_time= 0.000843899
6050 0.000307968 3025 0.000007796 mult_time= 0.000368156
5000 0.000370298 2500 0.000007483 mult_time= 0.000423539
5000 0.000430721 2500 0.000007869 mult_time= 0.000482763
5775 0.000558940 2750 0.000026057 mult_time= 0.000634078
5000 0.000567899 2500 0.000007510 mult_time= 0.000620698
5050 0.000630936 2550 0.000007621 mult_time= 0.000686336
5670 0.000212118 2750 0.000007619 mult_time= 0.000269546
5885 0.000523784 2860 0.000007679 mult_time= 0.000584297
5775 0.000475196 2750 0.000007552 mult_time= 0.000532608
5450 0.000795780 2970 0.000007670 mult_time= 0.000852148
5300 0.001150947 2805 0.000007799 mult_time= 0.001207623
5508 0.001997139 2601 0.000007436 mult_time= 0.002053086
5304 0.001292555 2600 0.000008061 mult_time= 0.001349079
5100 0.005213888 2500 0.000025100 mult_time= 0.005285364
3750 0.003316518 1250 0.000006364 mult_time= 0.003357774
5050 0.006534160 2550 0.000007817 mult_time= 0.006586624
5300 0.003021975 2805 0.000008193 mult_time= 0.003081944
5050 0.000206030 2550 0.000007750 mult_time= 0.000260385
5300 0.000122554 2805 0.000007436 mult_time= 0.000179941
5151 0.000378851 2550 0.000008297 mult_time= 0.000465115
5500 0.000363517 2500 0.000007514 mult_time= 0.000420836
