#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
48400 0.818695669 0.446269275 0.446269275 0.372426394
53240 0.818695669 0.446269275 0.446269275 0.372426394
58080 0.818695669 0.446269275 0.446269275 0.372426394
62920 0.818695669 0.446269275 0.446269275 0.372426394
67760 0.818695669 0.446269275 0.446269275 0.372426394
72600 0.818695669 0.446269275 0.446269275 0.372426394
77440 0.818695669 0.446269275 0.446269275 0.372426394
82280 0.818695669 0.446269275 0.446269275 0.372426394
87120 0.818695669 0.446269275 0.446269275 0.372426394
91960 0.818695669 0.446269275 0.446269275 0.372426394
48400 0.806968047 0.471564631 0.471564631 0.335403416
53240 0.806968047 0.471564631 0.471564631 0.335403416
58080 0.806968047 0.471564631 0.471564631 0.335403416
62920 0.806968047 0.471564631 0.471564631 0.335403416
67760 0.806968047 0.471564631 0.471564631 0.335403416
72600 0.806968047 0.471564631 0.471564631 0.335403416
77440 0.806968047 0.471564631 0.471564631 0.335403416
82280 0.806968047 0.471564631 0.471564631 0.335403416
87120 0.806968047 0.471564631 0.471564631 0.335403416
91960 0.806968047 0.471564631 0.471564631 0.335403416
48400 0.813431351 0.443896629 0.443896629 0.369534722
53240 0.813431351 0.443896629 0.443896629 0.369534722
58080 0.813431351 0.443896629 0.443896629 0.369534722
62920 0.813431351 0.443896629 0.443896629 0.369534722
67760 0.813431351 0.443896629 0.443896629 0.369534722
72600 0.813431351 0.443896629 0.443896629 0.369534722
77440 0.813431351 0.443896629 0.443896629 0.369534722
82280 0.813431351 0.443896629 0.443896629 0.369534722
87120 0.813431351 0.443896629 0.443896629 0.369534722
91960 0.813431351 0.443896629 0.443896629 0.369534722
48400 0.799645988 0.441271248 0.441271248 0.358374740
53240 0.799645988 0.441271248 0.441271248 0.358374740
58080 0.799645988 0.441271248 0.441271248 0.358374740
62920 0.799645988 0.441271248 0.441271248 0.358374740
67760 0.799645988 0.441271248 0.441271248 0.358374740
72600 0.799645988 0.441271248 0.441271248 0.358374740
77440 0.799645988 0.441271248 0.441271248 0.358374740
82280 0.799645988 0.441271248 0.441271248 0.358374740
87120 0.799645988 0.441271248 0.441271248 0.358374740
91960 0.799645988 0.441271248 0.441271248 0.358374740
48400 0.811540338 0.444416808 0.444416808 0.367123530
53240 0.811540338 0.444416808 0.444416808 0.367123530
58080 0.811540338 0.444416808 0.444416808 0.367123530
62920 0.811540338 0.444416808 0.444416808 0.367123530
67760 0.811540338 0.444416808 0.444416808 0.367123530
72600 0.811540338 0.444416808 0.444416808 0.367123530
77440 0.811540338 0.444416808 0.444416808 0.367123530
82280 0.811540338 0.444416808 0.444416808 0.367123530
87120 0.811540338 0.444416808 0.444416808 0.367123530
91960 0.811540338 0.444416808 0.444416808 0.367123530
48400 0.812498351 0.470663680 0.470663680 0.341834671
53240 0.812498351 0.470663680 0.470663680 0.341834671
58080 0.812498351 0.470663680 0.470663680 0.341834671
62920 0.812498351 0.470663680 0.470663680 0.341834671
67760 0.812498351 0.470663680 0.470663680 0.341834671
72600 0.812498351 0.470663680 0.470663680 0.341834671
77440 0.812498351 0.470663680 0.470663680 0.341834671
82280 0.812498351 0.470663680 0.470663680 0.341834671
87120 0.812498351 0.470663680 0.470663680 0.341834671
91960 0.812498351 0.470663680 0.470663680 0.341834671
48400 0.809390148 0.470389096 0.470389096 0.339001052
53240 0.809390148 0.470389096 0.470389096 0.339001052
58080 0.809390148 0.470389096 0.470389096 0.339001052
62920 0.809390148 0.470389096 0.470389096 0.339001052
67760 0.809390148 0.470389096 0.470389096 0.339001052
72600 0.809390148 0.470389096 0.470389096 0.339001052
77440 0.809390148 0.470389096 0.470389096 0.339001052
82280 0.809390148 0.470389096 0.470389096 0.339001052
87120 0.809390148 0.470389096 0.470389096 0.339001052
91960 0.809390148 0.470389096 0.470389096 0.339001052
48400 0.809857615 0.463081453 0.463081453 0.346776162
53240 0.809857615 0.463081453 0.463081453 0.346776162
58080 0.809857615 0.463081453 0.463081453 0.346776162
62920 0.809857615 0.463081453 0.463081453 0.346776162
67760 0.809857615 0.463081453 0.463081453 0.346776162
72600 0.809857615 0.463081453 0.463081453 0.346776162
77440 0.809857615 0.463081453 0.463081453 0.346776162
82280 0.809857615 0.463081453 0.463081453 0.346776162
87120 0.809857615 0.463081453 0.463081453 0.346776162
91960 0.809857615 0.463081453 0.463081453 0.346776162
48400 0.812603516 0.447759113 0.447759113 0.364844403
53240 0.812603516 0.447759113 0.447759113 0.364844403
58080 0.812603516 0.447759113 0.447759113 0.364844403
62920 0.812603516 0.447759113 0.447759113 0.364844403
67760 0.812603516 0.447759113 0.447759113 0.364844403
72600 0.812603516 0.447759113 0.447759113 0.364844403
77440 0.812603516 0.447759113 0.447759113 0.364844403
82280 0.812603516 0.447759113 0.447759113 0.364844403
87120 0.812603516 0.447759113 0.447759113 0.364844403
91960 0.812603516 0.447759113 0.447759113 0.364844403
48400 0.806651551 0.470158812 0.470158812 0.336492739
53240 0.806651551 0.470158812 0.470158812 0.336492739
58080 0.806651551 0.470158812 0.470158812 0.336492739
62920 0.806651551 0.470158812 0.470158812 0.336492739
67760 0.806651551 0.470158812 0.470158812 0.336492739
72600 0.806651551 0.470158812 0.470158812 0.336492739
77440 0.806651551 0.470158812 0.470158812 0.336492739
82280 0.806651551 0.470158812 0.470158812 0.336492739
87120 0.806651551 0.470158812 0.470158812 0.336492739
91960 0.806651551 0.470158812 0.470158812 0.336492739
48400 0.813815864 0.468176592 0.468176592 0.345639272
53240 0.813815864 0.468176592 0.468176592 0.345639272
58080 0.813815864 0.468176592 0.468176592 0.345639272
62920 0.813815864 0.468176592 0.468176592 0.345639272
67760 0.813815864 0.468176592 0.468176592 0.345639272
72600 0.813815864 0.468176592 0.468176592 0.345639272
77440 0.813815864 0.468176592 0.468176592 0.345639272
82280 0.813815864 0.468176592 0.468176592 0.345639272
87120 0.813815864 0.468176592 0.468176592 0.345639272
91960 0.813815864 0.468176592 0.468176592 0.345639272
48400 0.798715545 0.460236023 0.460236023 0.338479522
53240 0.798715545 0.460236023 0.460236023 0.338479522
58080 0.798715545 0.460236023 0.460236023 0.338479522
62920 0.798715545 0.460236023 0.460236023 0.338479522
67760 0.798715545 0.460236023 0.460236023 0.338479522
72600 0.798715545 0.460236023 0.460236023 0.338479522
77440 0.798715545 0.460236023 0.460236023 0.338479522
82280 0.798715545 0.460236023 0.460236023 0.338479522
87120 0.798715545 0.460236023 0.460236023 0.338479522
91960 0.798715545 0.460236023 0.460236023 0.338479522
48400 0.812444441 0.474534088 0.474534088 0.337910353
53240 0.812444441 0.474534088 0.474534088 0.337910353
58080 0.812444441 0.474534088 0.474534088 0.337910353
62920 0.812444441 0.474534088 0.474534088 0.337910353
67760 0.812444441 0.474534088 0.474534088 0.337910353
72600 0.812444441 0.474534088 0.474534088 0.337910353
77440 0.812444441 0.474534088 0.474534088 0.337910353
82280 0.812444441 0.474534088 0.474534088 0.337910353
87120 0.812444441 0.474534088 0.474534088 0.337910353
91960 0.812444441 0.474534088 0.474534088 0.337910353
48400 0.804649534 0.446346378 0.446346378 0.358303156
53240 0.804649534 0.446346378 0.446346378 0.358303156
58080 0.804649534 0.446346378 0.446346378 0.358303156
62920 0.804649534 0.446346378 0.446346378 0.358303156
67760 0.804649534 0.446346378 0.446346378 0.358303156
72600 0.804649534 0.446346378 0.446346378 0.358303156
77440 0.804649534 0.446346378 0.446346378 0.358303156
82280 0.804649534 0.446346378 0.446346378 0.358303156
87120 0.804649534 0.446346378 0.446346378 0.358303156
91960 0.804649534 0.446346378 0.446346378 0.358303156
48400 0.812202778 0.450168385 0.450168385 0.362034393
