optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.446280120 0.797507143 0.802370107 0.810879660 0.798661234 0.803434069 0.803308682 0.788051052 0.785842602 0.785842602 0.788409581 0.788409581 0.790197798
0.446280120 0.796618777 0.800191982 0.807329185 0.797083965 0.801550368 0.801361334 0.779449070 0.777382766 0.777382766 0.779342535 0.779342535 0.783284197
0.446280120 0.795740286 0.798931531 0.804645356 0.795870707 0.799951393 0.800114808 0.777319601 0.775636610 0.775636610 0.778187150 0.778187150 0.782520636
0.446280120 0.785313460 0.787611270 0.784227015 0.785876540 0.784047877 0.785688275 0.749388228 0.730477744 0.730477744 0.762108838 0.762108838 0.747174752
0.446280120 0.771585526 0.776090861 0.758335373 0.775218912 0.760546734 0.761506108 0.746814195 0.728502965 0.728502965 0.750264818 0.750264818 0.756023113
0.446280120 0.766143943 0.769875172 0.750519585 0.768205814 0.753957934 0.753596001 0.740390066 0.716679798 0.716679798 0.759508005 0.759508005 0.750863734
0.446280120 0.757762782 0.759942233 0.739618466 0.757830320 0.741533198 0.740793400 0.734748215 0.712452824 0.712452824 0.759793792 0.759793792 0.748144241
0.446280120 0.725707862 0.729540520 0.711942270 0.729046337 0.712585454 0.712008591 0.664528340 0.625231827 0.625231827 0.665739073 0.665739073 0.662515408
0.446280120 0.618620354 0.622928726 0.614135005 0.620028109 0.600372791 0.600605716 0.576515414 0.563914390 0.563914390 0.564841732 0.564841732 0.584923895
0.446280120 0.572144538 0.577192655 0.575251298 0.574306988 0.555861219 0.556142817 0.563867540 0.561072169 0.561072169 0.556442568 0.556442568 0.572707960
0.471575314 0.785984191 0.789062379 0.797922451 0.786234846 0.790160653 0.790315071 0.774833210 0.773239374 0.773239374 0.775562909 0.775562909 0.777168986
0.471575314 0.785111379 0.786854429 0.794512054 0.784318713 0.787397015 0.787749603 0.766210723 0.764175500 0.764175500 0.765684584 0.765684584 0.769815202
0.471575314 0.784137452 0.785582162 0.791339996 0.783347371 0.785671940 0.786012418 0.764792220 0.762010757 0.762010757 0.764778326 0.764778326 0.768533165
0.471575314 0.772438546 0.775005123 0.769978834 0.772940231 0.768057407 0.769695755 0.735565098 0.718025574 0.718025574 0.747244392 0.747244392 0.736036351
0.471575314 0.758580220 0.763529825 0.744329565 0.761367346 0.749839398 0.749296954 0.732432944 0.713715812 0.713715812 0.738520836 0.738520836 0.734080986
0.471575314 0.753052828 0.756903869 0.735977569 0.755929714 0.741800900 0.741549089 0.726517557 0.704603410 0.704603410 0.735142551 0.735142551 0.731150771
0.471575314 0.744625519 0.748318040 0.725829883 0.746770889 0.730441097 0.729821950 0.723708305 0.701011075 0.701011075 0.732231827 0.732231827 0.725490216
0.471575314 0.713536993 0.716588534 0.698719849 0.715356681 0.698972132 0.697450853 0.649274528 0.607983594 0.607983594 0.646838736 0.646838736 0.635357087
0.471575314 0.608936370 0.614154516 0.603376626 0.610241529 0.594664713 0.593859421 0.564771725 0.554653200 0.554653200 0.548706174 0.548706174 0.572192561
0.471575314 0.563044175 0.567193739 0.563457529 0.563618732 0.545451239 0.546216922 0.553753018 0.551564452 0.551564452 0.541007262 0.541007262 0.560831882
0.443907269 0.793176663 0.797610901 0.806039687 0.793807773 0.797903276 0.797708536 0.781987339 0.780104401 0.780104401 0.782419927 0.782419927 0.784677967
0.443907269 0.792025626 0.795640755 0.802141294 0.792435593 0.795438244 0.795282307 0.774088618 0.771151821 0.771151821 0.774160021 0.774160021 0.778574641
0.443907269 0.791036780 0.794476508 0.799050640 0.791485580 0.793803808 0.793435490 0.772333041 0.769517988 0.769517988 0.772096222 0.772096222 0.777559731
0.443907269 0.778668392 0.780756226 0.777892899 0.780489666 0.775794648 0.774294097 0.742863640 0.726204952 0.726204952 0.758322058 0.758322058 0.748530459
0.443907269 0.764324526 0.769290860 0.752682966 0.766561479 0.755826390 0.756999853 0.742823841 0.723887613 0.723887613 0.743760950 0.743760950 0.748629082
0.443907269 0.759775585 0.763726608 0.745270688 0.761103341 0.748354753 0.747543070 0.734715097 0.714586639 0.714586639 0.755324774 0.755324774 0.746496493
0.443907269 0.752091349 0.754629310 0.734911414 0.750201196 0.737440760 0.736382368 0.729123810 0.710097642 0.710097642 0.755494906 0.755494906 0.744405010
0.443907269 0.720784281 0.726446555 0.708913330 0.721704617 0.710072396 0.709028595 0.662401763 0.623014999 0.623014999 0.663187584 0.663187584 0.653585037
0.443907269 0.620370956 0.625051133 0.615833125 0.619338303 0.605525113 0.604723656 0.578677816 0.565968182 0.565968182 0.565350830 0.565350830 0.583375388
0.443907269 0.574490071 0.579044323 0.575969673 0.572676408 0.557628684 0.557830143 0.566334359 0.562866393 0.562866393 0.556680490 0.556680490 0.572912448
0.441281662 0.779837199 0.784892489 0.792909973 0.781051041 0.784709340 0.783620416 0.770242840 0.769064707 0.769064707 0.771856554 0.771856554 0.772875241
0.441281662 0.778689470 0.782910354 0.790052214 0.779824057 0.782543518 0.780046659 0.763128237 0.761469142 0.761469142 0.761999922 0.761999922 0.766572393
0.441281662 0.777764043 0.781747250 0.787483674 0.778853708 0.780714214 0.778392584 0.762021471 0.759881503 0.759881503 0.761712574 0.761712574 0.765662885
0.441281662 0.767347052 0.770848151 0.768016756 0.770382326 0.765661374 0.764222121 0.738657307 0.720123615 0.720123615 0.751985362 0.751985362 0.735265802
0.441281662 0.755604316 0.759373466 0.743088693 0.759800799 0.748050264 0.747913874 0.733770270 0.715035926 0.715035926 0.735757241 0.735757241 0.739107553
0.441281662 0.750989335 0.753083974 0.734975917 0.753689302 0.741415866 0.741604541 0.726311820 0.707130619 0.707130619 0.744730251 0.744730251 0.733801111
0.441281662 0.743367642 0.744436339 0.724752437 0.744422522 0.730890354 0.731235638 0.723429088 0.702673904 0.702673904 0.744235840 0.744235840 0.733534563
0.441281662 0.711131598 0.714852783 0.698813420 0.715020210 0.699532126 0.700055162 0.652736313 0.614030616 0.614030616 0.652448911 0.652448911 0.644489018
0.441281662 0.610328125 0.610591403 0.604624857 0.610839000 0.594038358 0.594609013 0.568248703 0.555215566 0.555215566 0.555857459 0.555857459 0.574229818
0.441281662 0.564604410 0.568612558 0.567352398 0.565429894 0.549579164 0.548936869 0.556959221 0.554271526 0.554271526 0.548793818 0.548793818 0.563988100
0.444428072 0.790863672 0.795798307 0.803465840 0.791590758 0.795413149 0.795488683 0.780014460 0.777975980 0.777975980 0.780369480 0.780369480 0.782863493
0.444428072 0.790165132 0.794260266 0.799961914 0.790264798 0.793061213 0.793169254 0.771832157 0.769745354 0.769745354 0.771726673 0.771726673 0.775846703
0.444428072 0.789020976 0.792821863 0.797735317 0.789257256 0.791345144 0.789756628 0.770088823 0.768602778 0.768602778 0.770161761 0.770161761 0.774691600
0.444428072 0.776725816 0.780406076 0.776607672 0.778093219 0.774884219 0.773805640 0.746263003 0.725260151 0.725260151 0.757884137 0.757884137 0.743652933
0.444428072 0.762508761 0.767182013 0.752102424 0.766611039 0.756075063 0.753774961 0.738585515 0.721095608 0.721095608 0.741071155 0.741071155 0.743932022
0.444428072 0.757640751 0.760306344 0.743096330 0.760915960 0.746115528 0.746690505 0.734740065 0.711668472 0.711668472 0.752385160 0.752385160 0.745562822
0.444428072 0.749904426 0.751391033 0.732869497 0.750726415 0.736226443 0.736675243 0.727163600 0.708313802 0.708313802 0.752834610 0.752834610 0.742208653
0.444428072 0.717843129 0.723163863 0.706700682 0.721520668 0.706069044 0.706303407 0.661694170 0.619245799 0.619245799 0.660988020 0.660988020 0.652631197
