#input_size get_time acc_size acc_time op_type overall_time
2500 0.000019997 2500 0.000029308 add_time= 0.001390878
2750 0.000065844 2750 0.000007510 add_time= 0.000089476
2805 0.000074299 2805 0.000007818 add_time= 0.000098203
2550 0.000127451 2550 0.000007628 add_time= 0.000150459
2650 0.000019123 2650 0.000083700 add_time= 0.000125378
1375 0.000081072 1375 0.000007150 add_time= 0.000103621
2500 0.000078286 2500 0.000007251 add_time= 0.000111382
2915 0.000014021 2915 0.000025391 add_time= 0.000123023
2750 0.000099051 2750 0.000008647 add_time= 0.000164749
1275 0.000057377 1275 0.000015128 add_time= 0.000103174
2650 0.000008839 2650 0.000031220 add_time= 0.000076284
2750 0.000046187 2750 0.000007497 add_time= 0.000082741
2805 0.000033792 2805 0.000007966 add_time= 0.000075784
2650 0.000028478 2650 0.000132030 add_time= 0.000197140
2750 0.000293350 2750 0.000007028 add_time= 0.000318032
2500 0.000152490 2500 0.000006882 add_time= 0.000175303
2915 0.000008821 2915 0.000077238 add_time= 0.000115795
2600 0.000201499 2600 0.000008772 add_time= 0.000227205
2700 0.000070084 2700 0.000042752 add_time= 0.000131417
5512 0.000078819 2809 0.000085251 mult_time= 0.000321338
5775 0.000039590 2756 0.000025778 mult_time= 0.000134953
5400 0.000086262 2915 0.000025716 mult_time= 0.000171090
5150 0.000036919 2650 0.000035929 mult_time= 0.000135824
5253 0.000052362 2650 0.000024721 mult_time= 0.000129716
5500 0.000031909 2500 0.000021077 mult_time= 0.000104252
5775 0.000069143 2750 0.000129556 mult_time= 0.000254557
5353 0.000017247 2550 0.000022107 mult_time= 0.000089359
5000 0.000041239 2500 0.000021460 mult_time= 0.000110759
5100 0.000085216 2600 0.000008297 mult_time= 0.000147957
5050 0.001535752 2550 0.000009207 mult_time= 0.001600829
5565 0.000021510 2750 0.000009398 mult_time= 0.000088157
3750 0.001772427 1250 0.000007881 mult_time= 0.001832270
5564 0.004535958 2860 0.000009216 mult_time= 0.004604666
5300 0.002646292 2808 0.000008393 mult_time= 0.002709943
5250 0.002782479 2756 0.000008015 mult_time= 0.002842899
5356 0.003260568 2652 0.000008378 mult_time= 0.003322496
5304 0.000876614 2600 0.000008346 mult_time= 0.000934451
5500 0.003567771 2500 0.000026404 mult_time= 0.003646500
5200 0.001311491 2700 0.000008662 mult_time= 0.001387196
5457 0.000059843 2860 0.000008422 mult_time= 0.000126934
5460 0.005208881 2750 0.000008121 mult_time= 0.005270351
5000 0.001104743 2500 0.000007949 mult_time= 0.001168556
5000 0.002593823 2500 0.000029688 mult_time= 0.002675199
5050 0.002975157 2550 0.000008038 mult_time= 0.003034701
3825 0.002923726 1250 0.000006736 mult_time= 0.002969578
5775 0.004167637 2750 0.000008127 mult_time= 0.004227377
5720 0.003527000 3025 0.000010065 mult_time= 0.003597154
5355 0.002088638 2750 0.000008015 mult_time= 0.002149029
5050 0.004021497 2550 0.000008002 mult_time= 0.004077817
5150 0.002467900 2650 0.000026818 mult_time= 0.002541388
5000 0.000051458 2500 0.000008489 mult_time= 0.000110622
5000 0.003888919 2500 0.000008090 mult_time= 0.003943090
5050 0.003734001 2550 0.000038136 mult_time= 0.003823326
5250 0.001664999 2750 0.000008879 mult_time= 0.001723827
5500 0.000759133 3025 0.000028456 mult_time= 0.000857205
