#input_size get_time acc_size acc_time op_type overall_time
1300 0.000222723 1300 0.000013529 add_time= 0.001611021
2750 0.000142368 2750 0.000009748 add_time= 0.000172246
2754 0.000095486 2754 0.000008514 add_time= 0.000119876
3025 0.000020663 3025 0.000156301 add_time= 0.000201660
2650 0.000083171 2650 0.000006995 add_time= 0.000112392
2750 0.000360293 2750 0.000027276 add_time= 0.000480364
2550 0.000344369 2550 0.000028482 add_time= 0.000389768
2550 0.000123988 2550 0.000007965 add_time= 0.000156766
2750 0.000010042 2750 0.000026670 add_time= 0.000059573
2700 0.000137505 2700 0.000007764 add_time= 0.000171446
2550 0.000164506 2550 0.000006624 add_time= 0.000186596
2500 0.000206837 2500 0.000011343 add_time= 0.000234352
1250 0.000142285 1250 0.000010747 add_time= 0.000186260
2600 0.000318649 2600 0.000015343 add_time= 0.000369795
2500 0.000378432 2500 0.000021273 add_time= 0.000428767
2650 0.000019410 2650 0.000022546 add_time= 0.000107214
2500 0.001471638 2500 0.000010151 add_time= 0.001537930
5665 0.002195889 2650 0.000040598 mult_time= 0.002460258
2600 0.001060006 2703 0.000008498 mult_time= 0.001149618
5150 0.002989735 2650 0.000008641 mult_time= 0.003079903
5400 0.001798482 2500 0.000009467 mult_time= 0.001907177
5000 0.002953592 2500 0.000007476 mult_time= 0.003061559
5000 0.001253525 2500 0.000009477 mult_time= 0.001354329
5000 0.001753041 2500 0.000008456 mult_time= 0.001835349
5100 0.003016278 2600 0.000008910 mult_time= 0.003110132
5562 0.003577298 2652 0.000008626 mult_time= 0.003672471
5250 0.000141310 2756 0.000011100 mult_time= 0.000237193
5200 0.000981545 2704 0.000008333 mult_time= 0.001070070
5610 0.000251158 2600 0.000009040 mult_time= 0.000346475
5253 0.000161252 2652 0.000008628 mult_time= 0.000270713
5100 0.000318800 2600 0.000016323 mult_time= 0.000418440
5150 0.001297218 2650 0.000009558 mult_time= 0.001390136
5250 0.001571434 2750 0.000008459 mult_time= 0.001660314
5200 0.001289698 2500 0.000008574 mult_time= 0.001386029
2500 0.001866163 2500 0.000008134 mult_time= 0.001943181
5457 0.000059437 2860 0.000008569 mult_time= 0.000145682
5512 0.003638079 2805 0.000026232 mult_time= 0.003746471
5200 0.000046715 2500 0.000022980 mult_time= 0.000158283
5565 0.000106860 2750 0.000035514 mult_time= 0.000235922
5200 0.000093629 2500 0.000023514 mult_time= 0.000180829
5355 0.000080712 2750 0.000034042 mult_time= 0.000169465
5457 0.000150571 2860 0.000145851 mult_time= 0.000363726
5940 0.000134470 3025 0.000028117 mult_time= 0.000240019
5777 0.000068088 2970 0.000009400 mult_time= 0.000133622
5356 0.000251820 2650 0.000009012 mult_time= 0.000317851
5775 0.003688588 2750 0.000008518 mult_time= 0.003748786
5050 0.004325971 2550 0.000008853 mult_time= 0.004381642
3750 0.009197036 1250 0.000007241 mult_time= 0.009240330
5100 0.003278911 2500 0.000011171 mult_time= 0.003335759
5885 0.000988848 2860 0.000008861 mult_time= 0.001052409
5565 0.001391874 2750 0.000009048 mult_time= 0.001452249
5300 0.002749341 2805 0.000008570 mult_time= 0.002809255
4000 0.003394284 1375 0.000007119 mult_time= 0.003440841
5050 0.003197428 2550 0.000008220 mult_time= 0.003251545
5100 0.003181225 2601 0.000008531 mult_time= 0.003236146
5665 0.000308429 2650 0.000014937 mult_time= 0.000374365
5250 0.001635823 2750 0.000007982 mult_time= 0.001691437
5200 0.003022882 2500 0.000007888 mult_time= 0.003076482
5250 0.004563934 2750 0.000007896 mult_time= 0.004630523
5300 0.003229334 2805 0.000008185 mult_time= 0.003285911
5300 0.002463663 2805 0.000007962 mult_time= 0.002519074
5555 0.001591202 2550 0.000008163 mult_time= 0.001646627
5665 0.000259002 2652 0.000008009 mult_time= 0.000314547
5050 0.000372514 2550 0.000007434 mult_time= 0.000426818
5100 0.002378596 2601 0.000007807 mult_time= 0.002434206
5000 0.003784225 2500 0.000008233 mult_time= 0.003837446
5000 0.002388025 2500 0.000007998 mult_time= 0.002439802
5250 0.002862146 2750 0.000007762 mult_time= 0.002918971
5304 0.000216591 2700 0.000008495 mult_time= 0.000270995
5250 0.001034486 2754 0.000008433 mult_time= 0.001090700
2700 0.001474004 2916 0.000007738 mult_time= 0.001519476
5150 0.003634986 2650 0.000008074 mult_time= 0.003690246
2525 0.002940194 2550 0.000007534 mult_time= 0.002983447
5350 0.002098511 2860 0.000008849 mult_time= 0.002155323
5775 0.000265764 2750 0.000008250 mult_time= 0.000335661
5250 0.000073085 2750 0.000008402 mult_time= 0.000146757
5200 0.001119714 2500 0.000007959 mult_time= 0.001174490
2500 0.005024778 2500 0.000010073 mult_time= 0.005069576
4104 0.001735753 1275 0.000006662 mult_time= 0.001780451
5356 0.001206995 2650 0.000009792 mult_time= 0.001291499
2700 0.001806925 2915 0.000008798 mult_time= 0.001865414
5400 0.002063859 2915 0.000009081 mult_time= 0.002133451
5202 0.001849946 2600 0.000008354 mult_time= 0.001909285
5775 0.001416047 2750 0.000008154 mult_time= 0.001482201
5200 0.001293485 2700 0.000008246 mult_time= 0.001352745
5000 0.000091332 2500 0.000007426 mult_time= 0.000149808
5670 0.000335879 2750 0.000007771 mult_time= 0.000397456
5500 0.001173430 2500 0.000008323 mult_time= 0.001247736
5100 0.002229906 2600 0.000008550 mult_time= 0.002293116
5100 0.003094108 2600 0.000008017 mult_time= 0.003152912
5408 0.006322134 2704 0.000011730 mult_time= 0.006390307
5000 0.000768726 2500 0.000011742 mult_time= 0.000833936
5460 0.001348785 2750 0.000008911 mult_time= 0.001416179
2500 0.000659863 2500 0.000007055 mult_time= 0.000709497
5720 0.000464760 3025 0.000008979 mult_time= 0.000545071
5300 0.000123850 2805 0.000083628 mult_time= 0.000263085
4400 0.000047187 1375 0.000016076 mult_time= 0.000106264
5000 0.000055111 2500 0.000022287 mult_time= 0.000126942
5151 0.000064005 2550 0.000020607 mult_time= 0.000148594
5400 0.000077633 2915 0.000025431 mult_time= 0.000156899
5250 0.000117567 2750 0.000091984 mult_time= 0.000260347
5559 0.000333535 2970 0.000008125 mult_time= 0.000393430
5100 0.000455180 2600 0.000019869 mult_time= 0.000547445
5555 0.000456317 2550 0.000008322 mult_time= 0.000520864
5200 0.000631336 2500 0.000008337 mult_time= 0.000689888
5500 0.000565472 2500 0.000008501 mult_time= 0.000625048
5050 0.000717813 2550 0.000008354 mult_time= 0.000773077
5508 0.000773497 2915 0.000008196 mult_time= 0.000833318
5775 0.001104704 2750 0.000011276 mult_time= 0.001167157
5250 0.000819583 2750 0.000008483 mult_time= 0.000879491
5454 0.001154596 2550 0.000007690 mult_time= 0.001211732
5050 0.001555867 2550 0.000007930 mult_time= 0.001611046
5618 0.001073270 2805 0.000008376 mult_time= 0.001131874
5100 0.001239500 2500 0.000008150 mult_time= 0.001294668
5250 0.001719776 2750 0.000008912 mult_time= 0.001779153
