#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
899 2.157503423 1.785077029 1.785077029 0.372426394
988 2.157503423 1.785077029 1.785077029 0.372426394
1077 2.157503423 1.785077029 1.785077029 0.372426394
1166 2.157503423 1.785077029 1.785077029 0.372426394
1255 2.157503423 1.785077029 1.785077029 0.372426394
1344 2.157503423 1.785077029 1.785077029 0.372426394
1433 2.157503423 1.785077029 1.785077029 0.372426394
1522 2.157503423 1.785077029 1.785077029 0.372426394
1611 2.157503423 1.785077029 1.785077029 0.372426394
1700 2.157503423 1.785077029 1.785077029 0.372426394
899 2.221661903 1.886258487 1.886258487 0.335403416
988 2.221661903 1.886258487 1.886258487 0.335403416
1077 2.221661903 1.886258487 1.886258487 0.335403416
1166 2.221661903 1.886258487 1.886258487 0.335403416
1255 2.221661903 1.886258487 1.886258487 0.335403416
1344 2.221661903 1.886258487 1.886258487 0.335403416
1433 2.221661903 1.886258487 1.886258487 0.335403416
1522 2.221661903 1.886258487 1.886258487 0.335403416
1611 2.221661903 1.886258487 1.886258487 0.335403416
1700 2.221661903 1.886258487 1.886258487 0.335403416
899 2.145121368 1.775586646 1.775586646 0.369534722
988 2.145121368 1.775586646 1.775586646 0.369534722
1077 2.145121368 1.775586646 1.775586646 0.369534722
1166 2.145121368 1.775586646 1.775586646 0.369534722
1255 2.145121368 1.775586646 1.775586646 0.369534722
1344 2.145121368 1.775586646 1.775586646 0.369534722
1433 2.145121368 1.775586646 1.775586646 0.369534722
1522 2.145121368 1.775586646 1.775586646 0.369534722
1611 2.145121368 1.775586646 1.775586646 0.369534722
1700 2.145121368 1.775586646 1.775586646 0.369534722
899 2.123459573 1.765084833 1.765084833 0.358374740
988 2.123459573 1.765084833 1.765084833 0.358374740
1077 2.123459573 1.765084833 1.765084833 0.358374740
1166 2.123459573 1.765084833 1.765084833 0.358374740
1255 2.123459573 1.765084833 1.765084833 0.358374740
1344 2.123459573 1.765084833 1.765084833 0.358374740
1433 2.123459573 1.765084833 1.765084833 0.358374740
1522 2.123459573 1.765084833 1.765084833 0.358374740
1611 2.123459573 1.765084833 1.765084833 0.358374740
1700 2.123459573 1.765084833 1.765084833 0.358374740
899 2.144790836 1.777667306 1.777667306 0.367123530
988 2.144790836 1.777667306 1.777667306 0.367123530
1077 2.144790836 1.777667306 1.777667306 0.367123530
1166 2.144790836 1.777667306 1.777667306 0.367123530
1255 2.144790836 1.777667306 1.777667306 0.367123530
1344 2.144790836 1.777667306 1.777667306 0.367123530
1433 2.144790836 1.777667306 1.777667306 0.367123530
1522 2.144790836 1.777667306 1.777667306 0.367123530
1611 2.144790836 1.777667306 1.777667306 0.367123530
1700 2.144790836 1.777667306 1.777667306 0.367123530
899 2.224489310 1.882654639 1.882654639 0.341834671
988 2.224489310 1.882654639 1.882654639 0.341834671
1077 2.224489310 1.882654639 1.882654639 0.341834671
1166 2.224489310 1.882654639 1.882654639 0.341834671
1255 2.224489310 1.882654639 1.882654639 0.341834671
1344 2.224489310 1.882654639 1.882654639 0.341834671
1433 2.224489310 1.882654639 1.882654639 0.341834671
1522 2.224489310 1.882654639 1.882654639 0.341834671
1611 2.224489310 1.882654639 1.882654639 0.341834671
1700 2.224489310 1.882654639 1.882654639 0.341834671
899 2.220557321 1.881556269 1.881556269 0.339001052
988 2.220557321 1.881556269 1.881556269 0.339001052
1077 2.220557321 1.881556269 1.881556269 0.339001052
1166 2.220557321 1.881556269 1.881556269 0.339001052
1255 2.220557321 1.881556269 1.881556269 0.339001052
1344 2.220557321 1.881556269 1.881556269 0.339001052
1433 2.220557321 1.881556269 1.881556269 0.339001052
1522 2.220557321 1.881556269 1.881556269 0.339001052
1611 2.220557321 1.881556269 1.881556269 0.339001052
1700 2.220557321 1.881556269 1.881556269 0.339001052
899 2.199102063 1.852325901 1.852325901 0.346776162
988 2.199102063 1.852325901 1.852325901 0.346776162
1077 2.199102063 1.852325901 1.852325901 0.346776162
1166 2.199102063 1.852325901 1.852325901 0.346776162
1255 2.199102063 1.852325901 1.852325901 0.346776162
1344 2.199102063 1.852325901 1.852325901 0.346776162
1433 2.199102063 1.852325901 1.852325901 0.346776162
1522 2.199102063 1.852325901 1.852325901 0.346776162
1611 2.199102063 1.852325901 1.852325901 0.346776162
1700 2.199102063 1.852325901 1.852325901 0.346776162
899 2.155880951 1.791036548 1.791036548 0.364844403
988 2.155880951 1.791036548 1.791036548 0.364844403
1077 2.155880951 1.791036548 1.791036548 0.364844403
1166 2.155880951 1.791036548 1.791036548 0.364844403
1255 2.155880951 1.791036548 1.791036548 0.364844403
1344 2.155880951 1.791036548 1.791036548 0.364844403
1433 2.155880951 1.791036548 1.791036548 0.364844403
1522 2.155880951 1.791036548 1.791036548 0.364844403
1611 2.155880951 1.791036548 1.791036548 0.364844403
1700 2.155880951 1.791036548 1.791036548 0.364844403
899 2.217127887 1.880635148 1.880635148 0.336492739
988 2.217127887 1.880635148 1.880635148 0.336492739
1077 2.217127887 1.880635148 1.880635148 0.336492739
1166 2.217127887 1.880635148 1.880635148 0.336492739
1255 2.217127887 1.880635148 1.880635148 0.336492739
1344 2.217127887 1.880635148 1.880635148 0.336492739
1433 2.217127887 1.880635148 1.880635148 0.336492739
1522 2.217127887 1.880635148 1.880635148 0.336492739
1611 2.217127887 1.880635148 1.880635148 0.336492739
1700 2.217127887 1.880635148 1.880635148 0.336492739
899 2.218345827 1.872706555 1.872706555 0.345639272
988 2.218345827 1.872706555 1.872706555 0.345639272
1077 2.218345827 1.872706555 1.872706555 0.345639272
1166 2.218345827 1.872706555 1.872706555 0.345639272
1255 2.218345827 1.872706555 1.872706555 0.345639272
1344 2.218345827 1.872706555 1.872706555 0.345639272
1433 2.218345827 1.872706555 1.872706555 0.345639272
1522 2.218345827 1.872706555 1.872706555 0.345639272
1611 2.218345827 1.872706555 1.872706555 0.345639272
1700 2.218345827 1.872706555 1.872706555 0.345639272
899 2.179423645 1.840944123 1.840944123 0.338479522
988 2.179423645 1.840944123 1.840944123 0.338479522
1077 2.179423645 1.840944123 1.840944123 0.338479522
1166 2.179423645 1.840944123 1.840944123 0.338479522
1255 2.179423645 1.840944123 1.840944123 0.338479522
1344 2.179423645 1.840944123 1.840944123 0.338479522
1433 2.179423645 1.840944123 1.840944123 0.338479522
1522 2.179423645 1.840944123 1.840944123 0.338479522
1611 2.179423645 1.840944123 1.840944123 0.338479522
1700 2.179423645 1.840944123 1.840944123 0.338479522
899 2.236046718 1.898136365 1.898136365 0.337910353
988 2.236046718 1.898136365 1.898136365 0.337910353
1077 2.236046718 1.898136365 1.898136365 0.337910353
1166 2.236046718 1.898136365 1.898136365 0.337910353
1255 2.236046718 1.898136365 1.898136365 0.337910353
1344 2.236046718 1.898136365 1.898136365 0.337910353
1433 2.236046718 1.898136365 1.898136365 0.337910353
1522 2.236046718 1.898136365 1.898136365 0.337910353
1611 2.236046718 1.898136365 1.898136365 0.337910353
1700 2.236046718 1.898136365 1.898136365 0.337910353
899 2.143688666 1.785385510 1.785385510 0.358303156
988 2.143688666 1.785385510 1.785385510 0.358303156
1077 2.143688666 1.785385510 1.785385510 0.358303156
1166 2.143688666 1.785385510 1.785385510 0.358303156
1255 2.143688666 1.785385510 1.785385510 0.358303156
1344 2.143688666 1.785385510 1.785385510 0.358303156
1433 2.143688666 1.785385510 1.785385510 0.358303156
1522 2.143688666 1.785385510 1.785385510 0.358303156
1611 2.143688666 1.785385510 1.785385510 0.358303156
1700 2.143688666 1.785385510 1.785385510 0.358303156
899 2.162707868 1.800673475 1.800673475 0.362034393
988 2.162707868 1.800673475 1.800673475 0.362034393
1077 2.162707868 1.800673475 1.800673475 0.362034393
1166 2.162707868 1.800673475 1.800673475 0.362034393
1255 2.162707868 1.800673475 1.800673475 0.362034393
1344 2.162707868 1.800673475 1.800673475 0.362034393
1433 2.162707868 1.800673475 1.800673475 0.362034393
1522 2.162707868 1.800673475 1.800673475 0.362034393
1611 2.162707868 1.800673475 1.800673475 0.362034393
1700 2.162707868 1.800673475 1.800673475 0.362034393
899 2.124269736 1.773483600 1.773483600 0.350786136
988 2.124269736 1.773483600 1.773483600 0.350786136
1077 2.124269736 1.773483600 1.773483600 0.350786136
1166 2.124269736 1.773483600 1.773483600 0.350786136
1255 2.124269736 1.773483600 1.773483600 0.350786136
1344 2.124269736 1.773483600 1.773483600 0.350786136
1433 2.124269736 1.773483600 1.773483600 0.350786136
1522 2.124269736 1.773483600 1.773483600 0.350786136
1611 2.124269736 1.773483600 1.773483600 0.350786136
1700 2.124269736 1.773483600 1.773483600 0.350786136
899 2.172795783 1.822022506 1.822022506 0.350773277
988 2.172795783 1.822022506 1.822022506 0.350773277
1077 2.172795783 1.822022506 1.822022506 0.350773277
1166 2.172795783 1.822022506 1.822022506 0.350773277
1255 2.172795783 1.822022506 1.822022506 0.350773277
1344 2.172795783 1.822022506 1.822022506 0.350773277
1433 2.172795783 1.822022506 1.822022506 0.350773277
1522 2.172795783 1.822022506 1.822022506 0.350773277
1611 2.172795783 1.822022506 1.822022506 0.350773277
1700 2.172795783 1.822022506 1.822022506 0.350773277
899 2.112369430 1.756569132 1.756569132 0.355800298
988 2.112369430 1.756569132 1.756569132 0.355800298
1077 2.112369430 1.756569132 1.756569132 0.355800298
1166 2.112369430 1.756569132 1.756569132 0.355800298
1255 2.112369430 1.756569132 1.756569132 0.355800298
1344 2.112369430 1.756569132 1.756569132 0.355800298
1433 2.112369430 1.756569132 1.756569132 0.355800298
1522 2.112369430 1.756569132 1.756569132 0.355800298
1611 2.112369430 1.756569132 1.756569132 0.355800298
1700 2.112369430 1.756569132 1.756569132 0.355800298
899 2.220053760 1.884039507 1.884039507 0.336014253
988 2.220053760 1.884039507 1.884039507 0.336014253
1077 2.220053760 1.884039507 1.884039507 0.336014253
1166 2.220053760 1.884039507 1.884039507 0.336014253
1255 2.220053760 1.884039507 1.884039507 0.336014253
1344 2.220053760 1.884039507 1.884039507 0.336014253
1433 2.220053760 1.884039507 1.884039507 0.336014253
1522 2.220053760 1.884039507 1.884039507 0.336014253
1611 2.220053760 1.884039507 1.884039507 0.336014253
1700 2.220053760 1.884039507 1.884039507 0.336014253
899 2.217257274 1.885998445 1.885998445 0.331258829
988 2.217257274 1.885998445 1.885998445 0.331258829
1077 2.217257274 1.885998445 1.885998445 0.331258829
1166 2.217257274 1.885998445 1.885998445 0.331258829
1255 2.217257274 1.885998445 1.885998445 0.331258829
1344 2.217257274 1.885998445 1.885998445 0.331258829
1433 2.217257274 1.885998445 1.885998445 0.331258829
1522 2.217257274 1.885998445 1.885998445 0.331258829
1611 2.217257274 1.885998445 1.885998445 0.331258829
1700 2.217257274 1.885998445 1.885998445 0.331258829
899 2.143905402 1.784262692 1.784262692 0.359642710
988 2.143905402 1.784262692 1.784262692 0.359642710
1077 2.143905402 1.784262692 1.784262692 0.359642710
1166 2.143905402 1.784262692 1.784262692 0.359642710
1255 2.143905402 1.784262692 1.784262692 0.359642710
1344 2.143905402 1.784262692 1.784262692 0.359642710
1433 2.143905402 1.784262692 1.784262692 0.359642710
1522 2.143905402 1.784262692 1.784262692 0.359642710
1611 2.143905402 1.784262692 1.784262692 0.359642710
1700 2.143905402 1.784262692 1.784262692 0.359642710
899 2.141336556 1.781070186 1.781070186 0.360266370
988 2.141336556 1.781070186 1.781070186 0.360266370
1077 2.141336556 1.781070186 1.781070186 0.360266370
1166 2.141336556 1.781070186 1.781070186 0.360266370
1255 2.141336556 1.781070186 1.781070186 0.360266370
1344 2.141336556 1.781070186 1.781070186 0.360266370
1433 2.141336556 1.781070186 1.781070186 0.360266370
1522 2.141336556 1.781070186 1.781070186 0.360266370
1611 2.141336556 1.781070186 1.781070186 0.360266370
1700 2.141336556 1.781070186 1.781070186 0.360266370
899 2.194074364 1.855652831 1.855652831 0.338421533
988 2.194074364 1.855652831 1.855652831 0.338421533
1077 2.194074364 1.855652831 1.855652831 0.338421533
1166 2.194074364 1.855652831 1.855652831 0.338421533
1255 2.194074364 1.855652831 1.855652831 0.338421533
1344 2.194074364 1.855652831 1.855652831 0.338421533
1433 2.194074364 1.855652831 1.855652831 0.338421533
1522 2.194074364 1.855652831 1.855652831 0.338421533
1611 2.194074364 1.855652831 1.855652831 0.338421533
1700 2.194074364 1.855652831 1.855652831 0.338421533
899 2.174473903 1.807351494 1.807351494 0.367122409
988 2.174473903 1.807351494 1.807351494 0.367122409
1077 2.174473903 1.807351494 1.807351494 0.367122409
1166 2.174473903 1.807351494 1.807351494 0.367122409
1255 2.174473903 1.807351494 1.807351494 0.367122409
1344 2.174473903 1.807351494 1.807351494 0.367122409
1433 2.174473903 1.807351494 1.807351494 0.367122409
1522 2.174473903 1.807351494 1.807351494 0.367122409
1611 2.174473903 1.807351494 1.807351494 0.367122409
1700 2.174473903 1.807351494 1.807351494 0.367122409
899 2.137950783 1.774011891 1.774011891 0.363938892
988 2.137950783 1.774011891 1.774011891 0.363938892
1077 2.137950783 1.774011891 1.774011891 0.363938892
1166 2.137950783 1.774011891 1.774011891 0.363938892
1255 2.137950783 1.774011891 1.774011891 0.363938892
1344 2.137950783 1.774011891 1.774011891 0.363938892
1433 2.137950783 1.774011891 1.774011891 0.363938892
1522 2.137950783 1.774011891 1.774011891 0.363938892
1611 2.137950783 1.774011891 1.774011891 0.363938892
1700 2.137950783 1.774011891 1.774011891 0.363938892
899 2.158299758 1.802315920 1.802315920 0.355983838
988 2.158299758 1.802315920 1.802315920 0.355983838
1077 2.158299758 1.802315920 1.802315920 0.355983838
1166 2.158299758 1.802315920 1.802315920 0.355983838
1255 2.158299758 1.802315920 1.802315920 0.355983838
1344 2.158299758 1.802315920 1.802315920 0.355983838
1433 2.158299758 1.802315920 1.802315920 0.355983838
1522 2.158299758 1.802315920 1.802315920 0.355983838
1611 2.158299758 1.802315920 1.802315920 0.355983838
1700 2.158299758 1.802315920 1.802315920 0.355983838
899 2.120775059 1.764912655 1.764912655 0.355862404
988 2.120775059 1.764912655 1.764912655 0.355862404
1077 2.120775059 1.764912655 1.764912655 0.355862404
1166 2.120775059 1.764912655 1.764912655 0.355862404
1255 2.120775059 1.764912655 1.764912655 0.355862404
1344 2.120775059 1.764912655 1.764912655 0.355862404
1433 2.120775059 1.764912655 1.764912655 0.355862404
1522 2.120775059 1.764912655 1.764912655 0.355862404
1611 2.120775059 1.764912655 1.764912655 0.355862404
1700 2.120775059 1.764912655 1.764912655 0.355862404
899 2.220111115 1.885844370 1.885844370 0.334266745
988 2.220111115 1.885844370 1.885844370 0.334266745
1077 2.220111115 1.885844370 1.885844370 0.334266745
1166 2.220111115 1.885844370 1.885844370 0.334266745
1255 2.220111115 1.885844370 1.885844370 0.334266745
1344 2.220111115 1.885844370 1.885844370 0.334266745
1433 2.220111115 1.885844370 1.885844370 0.334266745
1522 2.220111115 1.885844370 1.885844370 0.334266745
1611 2.220111115 1.885844370 1.885844370 0.334266745
1700 2.220111115 1.885844370 1.885844370 0.334266745
899 2.212518198 1.867610602 1.867610602 0.344907596
988 2.212518198 1.867610602 1.867610602 0.344907596
1077 2.212518198 1.867610602 1.867610602 0.344907596
1166 2.212518198 1.867610602 1.867610602 0.344907596
1255 2.212518198 1.867610602 1.867610602 0.344907596
1344 2.212518198 1.867610602 1.867610602 0.344907596
1433 2.212518198 1.867610602 1.867610602 0.344907596
1522 2.212518198 1.867610602 1.867610602 0.344907596
1611 2.212518198 1.867610602 1.867610602 0.344907596
1700 2.212518198 1.867610602 1.867610602 0.344907596
899 2.201266814 1.853121292 1.853121292 0.348145522
988 2.201266814 1.853121292 1.853121292 0.348145522
1077 2.201266814 1.853121292 1.853121292 0.348145522
1166 2.201266814 1.853121292 1.853121292 0.348145522
1255 2.201266814 1.853121292 1.853121292 0.348145522
1344 2.201266814 1.853121292 1.853121292 0.348145522
1433 2.201266814 1.853121292 1.853121292 0.348145522
1522 2.201266814 1.853121292 1.853121292 0.348145522
1611 2.201266814 1.853121292 1.853121292 0.348145522
1700 2.201266814 1.853121292 1.853121292 0.348145522
899 2.206773670 1.877515371 1.877515371 0.329258299
988 2.206773670 1.877515371 1.877515371 0.329258299
1077 2.206773670 1.877515371 1.877515371 0.329258299
1166 2.206773670 1.877515371 1.877515371 0.329258299
1255 2.206773670 1.877515371 1.877515371 0.329258299
1344 2.206773670 1.877515371 1.877515371 0.329258299
1433 2.206773670 1.877515371 1.877515371 0.329258299
1522 2.206773670 1.877515371 1.877515371 0.329258299
1611 2.206773670 1.877515371 1.877515371 0.329258299
1700 2.206773670 1.877515371 1.877515371 0.329258299
899 2.107622699 1.755768898 1.755768898 0.351853801
988 2.107622699 1.755768898 1.755768898 0.351853801
1077 2.107622699 1.755768898 1.755768898 0.351853801
1166 2.107622699 1.755768898 1.755768898 0.351853801
1255 2.107622699 1.755768898 1.755768898 0.351853801
1344 2.107622699 1.755768898 1.755768898 0.351853801
1433 2.107622699 1.755768898 1.755768898 0.351853801
1522 2.107622699 1.755768898 1.755768898 0.351853801
1611 2.107622699 1.755768898 1.755768898 0.351853801
1700 2.107622699 1.755768898 1.755768898 0.351853801
899 2.158240301 1.827964217 1.827964217 0.330276084
988 2.158240301 1.827964217 1.827964217 0.330276084
1077 2.158240301 1.827964217 1.827964217 0.330276084
1166 2.158240301 1.827964217 1.827964217 0.330276084
1255 2.158240301 1.827964217 1.827964217 0.330276084
1344 2.158240301 1.827964217 1.827964217 0.330276084
1433 2.158240301 1.827964217 1.827964217 0.330276084
1522 2.158240301 1.827964217 1.827964217 0.330276084
1611 2.158240301 1.827964217 1.827964217 0.330276084
1700 2.158240301 1.827964217 1.827964217 0.330276084
899 2.117004597 1.769765388 1.769765388 0.347239209
988 2.117004597 1.769765388 1.769765388 0.347239209
1077 2.117004597 1.769765388 1.769765388 0.347239209
1166 2.117004597 1.769765388 1.769765388 0.347239209
1255 2.117004597 1.769765388 1.769765388 0.347239209
1344 2.117004597 1.769765388 1.769765388 0.347239209
1433 2.117004597 1.769765388 1.769765388 0.347239209
1522 2.117004597 1.769765388 1.769765388 0.347239209
1611 2.117004597 1.769765388 1.769765388 0.347239209
1700 2.117004597 1.769765388 1.769765388 0.347239209
899 2.115892587 1.775086545 1.775086545 0.340806042
988 2.115892587 1.775086545 1.775086545 0.340806042
