#input_size get_time acc_size acc_time op_type overall_time
2600 0.000218642 2600 0.000013416 add_time= 0.001950500
2500 0.000036705 2500 0.000007427 add_time= 0.000058551
2550 0.000075507 2550 0.000007608 add_time= 0.000098244
3025 0.000067921 3025 0.000010226 add_time= 0.000105191
2750 0.000083454 2750 0.000006735 add_time= 0.000105636
2750 0.000081849 2750 0.000006967 add_time= 0.000103643
2652 0.000292849 2652 0.000010256 add_time= 0.000341817
2750 0.000120515 2750 0.000008294 add_time= 0.000145061
2805 0.000052955 2805 0.000009190 add_time= 0.000078343
2860 0.000211386 2860 0.000007582 add_time= 0.000240619
2500 0.000199742 2500 0.000007462 add_time= 0.000223206
2550 0.000007863 2550 0.000025514 add_time= 0.000049537
2750 0.000219962 2750 0.000008198 add_time= 0.000263703
2500 0.000035235 2500 0.000017806 add_time= 0.000081977
1250 0.000089853 1250 0.000007355 add_time= 0.000113495
2860 0.000252766 2860 0.000011723 add_time= 0.000295837
2700 0.000007062 2700 0.000014432 add_time= 0.000048146
5459 0.003942226 2650 0.000014927 mult_time= 0.004118056
5408 0.001299875 2703 0.000020577 mult_time= 0.001424125
5665 0.001091642 2650 0.000008743 mult_time= 0.001198342
5300 0.002884822 2500 0.000008727 mult_time= 0.002975698
5454 0.001762440 2550 0.000008155 mult_time= 0.001850990
5300 0.003041241 2500 0.000007891 mult_time= 0.003123522
5151 0.002671516 2550 0.000008617 mult_time= 0.002768939
5100 0.002877541 2600 0.000008272 mult_time= 0.002959998
5778 0.003050726 2860 0.000009764 mult_time= 0.003141312
5665 0.003401031 2652 0.000008163 mult_time= 0.003483829
5565 0.001668417 2756 0.000008254 mult_time= 0.001753060
2675 0.000152076 2860 0.000007935 mult_time= 0.000241528
5150 0.000127998 2652 0.000008563 mult_time= 0.000220979
5406 0.001159759 2600 0.000009015 mult_time= 0.001251983
5300 0.000992439 2500 0.000008819 mult_time= 0.001086787
5460 0.001106680 2750 0.000008589 mult_time= 0.001199722
