capacity sum_comm_cmp max(sum_comm,sum_comp)	optimal_time_infinite_case order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
48400 2.157503423 1.785077029	1.785087874 2.132812261 2.143868307 2.131944453 2.139909595 2.140063249 2.111135747 2.109571450 2.109571450 2.114487216 2.114487216 2.112971417
53240 2.157503423 1.785077029	1.785087874 2.130307766 2.137749223 2.129687965 2.133793403 2.135933427 2.096512994 2.094787235 2.094787235 2.102075138 2.102075138 2.100218538
58080 2.157503423 1.785077029	1.785087874 2.128807592 2.133614572 2.128132538 2.129550818 2.132490870 2.094514679 2.092522345 2.092522345 2.098320843 2.098320843 2.098511809
62920 2.157503423 1.785077029	1.785087874 2.114547695 2.102331490 2.113252536 2.101288737 2.102993459 2.045943232 2.013801701 2.013801701 2.082442217 2.082442217 2.027860538
67760 2.157503423 1.785077029	1.785087874 2.100033064 2.062022767 2.098103151 2.062171707 2.061954779 2.041031315 2.004785993 2.004785993 2.036033250 2.036033250 2.010997279
72600 2.157503423 1.785077029	1.785087874 2.089659160 2.050778366 2.088352815 2.051303282 2.051181815 2.032389645 1.994107842 1.994107842 1.999359984 1.999359984 1.993832308
77440 2.157503423 1.785077029	1.785087874 2.073908464 2.035526209 2.072334131 2.035733331 2.035572811 2.024170570 1.990615197 1.990615197 1.986722349 1.986722349 1.987460977
82280 2.157503423 1.785077029	1.785087874 2.034818703 1.999127523 2.033232834 1.999085509 1.998807081 1.928265347 1.862647268 1.862647268 1.891233864 1.891233864 1.877209217
87120 2.157503423 1.785077029	1.785087874 1.883455819 1.869051400 1.881918172 1.860547215 1.861171722 1.817523488 1.804895489 1.804895489 1.800943303 1.800943303 1.816816736
91960 2.157503423 1.785077029	1.785087874 1.819177763 1.815289506 1.816968187 1.800424650 1.799433132 1.803630735 1.803090777 1.803090777 1.799648277 1.799648277 1.809081860
