#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
48400 2.157503423 1.785077029 1.785077029 0.372426394
53240 2.157503423 1.785077029 1.785077029 0.372426394
58080 2.157503423 1.785077029 1.785077029 0.372426394
62920 2.157503423 1.785077029 1.785077029 0.372426394
67760 2.157503423 1.785077029 1.785077029 0.372426394
72600 2.157503423 1.785077029 1.785077029 0.372426394
77440 2.157503423 1.785077029 1.785077029 0.372426394
82280 2.157503423 1.785077029 1.785077029 0.372426394
87120 2.157503423 1.785077029 1.785077029 0.372426394
91960 2.157503423 1.785077029 1.785077029 0.372426394
48400 2.221661903 1.886258487 1.886258487 0.335403416
53240 2.221661903 1.886258487 1.886258487 0.335403416
58080 2.221661903 1.886258487 1.886258487 0.335403416
62920 2.221661903 1.886258487 1.886258487 0.335403416
67760 2.221661903 1.886258487 1.886258487 0.335403416
72600 2.221661903 1.886258487 1.886258487 0.335403416
77440 2.221661903 1.886258487 1.886258487 0.335403416
82280 2.221661903 1.886258487 1.886258487 0.335403416
87120 2.221661903 1.886258487 1.886258487 0.335403416
91960 2.221661903 1.886258487 1.886258487 0.335403416
48400 2.145121368 1.775586646 1.775586646 0.369534722
53240 2.145121368 1.775586646 1.775586646 0.369534722
58080 2.145121368 1.775586646 1.775586646 0.369534722
62920 2.145121368 1.775586646 1.775586646 0.369534722
67760 2.145121368 1.775586646 1.775586646 0.369534722
72600 2.145121368 1.775586646 1.775586646 0.369534722
77440 2.145121368 1.775586646 1.775586646 0.369534722
82280 2.145121368 1.775586646 1.775586646 0.369534722
87120 2.145121368 1.775586646 1.775586646 0.369534722
91960 2.145121368 1.775586646 1.775586646 0.369534722
48400 2.123459573 1.765084833 1.765084833 0.358374740
53240 2.123459573 1.765084833 1.765084833 0.358374740
58080 2.123459573 1.765084833 1.765084833 0.358374740
62920 2.123459573 1.765084833 1.765084833 0.358374740
67760 2.123459573 1.765084833 1.765084833 0.358374740
72600 2.123459573 1.765084833 1.765084833 0.358374740
77440 2.123459573 1.765084833 1.765084833 0.358374740
82280 2.123459573 1.765084833 1.765084833 0.358374740
87120 2.123459573 1.765084833 1.765084833 0.358374740
91960 2.123459573 1.765084833 1.765084833 0.358374740
48400 2.144790836 1.777667306 1.777667306 0.367123530
53240 2.144790836 1.777667306 1.777667306 0.367123530
58080 2.144790836 1.777667306 1.777667306 0.367123530
62920 2.144790836 1.777667306 1.777667306 0.367123530
67760 2.144790836 1.777667306 1.777667306 0.367123530
72600 2.144790836 1.777667306 1.777667306 0.367123530
77440 2.144790836 1.777667306 1.777667306 0.367123530
82280 2.144790836 1.777667306 1.777667306 0.367123530
87120 2.144790836 1.777667306 1.777667306 0.367123530
91960 2.144790836 1.777667306 1.777667306 0.367123530
48400 2.224489310 1.882654639 1.882654639 0.341834671
53240 2.224489310 1.882654639 1.882654639 0.341834671
58080 2.224489310 1.882654639 1.882654639 0.341834671
62920 2.224489310 1.882654639 1.882654639 0.341834671
67760 2.224489310 1.882654639 1.882654639 0.341834671
72600 2.224489310 1.882654639 1.882654639 0.341834671
77440 2.224489310 1.882654639 1.882654639 0.341834671
82280 2.224489310 1.882654639 1.882654639 0.341834671
87120 2.224489310 1.882654639 1.882654639 0.341834671
91960 2.224489310 1.882654639 1.882654639 0.341834671
48400 2.220557321 1.881556269 1.881556269 0.339001052
53240 2.220557321 1.881556269 1.881556269 0.339001052
58080 2.220557321 1.881556269 1.881556269 0.339001052
62920 2.220557321 1.881556269 1.881556269 0.339001052
67760 2.220557321 1.881556269 1.881556269 0.339001052
72600 2.220557321 1.881556269 1.881556269 0.339001052
77440 2.220557321 1.881556269 1.881556269 0.339001052
82280 2.220557321 1.881556269 1.881556269 0.339001052
87120 2.220557321 1.881556269 1.881556269 0.339001052
91960 2.220557321 1.881556269 1.881556269 0.339001052
48400 2.199102063 1.852325901 1.852325901 0.346776162
