#input_size get_time acc_size acc_time op_type overall_time
2652 0.000222811 2652 0.000013652 add_time= 0.002014110
2550 0.000029167 2550 0.000022899 add_time= 0.000076734
2750 0.000265953 2750 0.000011154 add_time= 0.000299875
2805 0.000117456 2805 0.000007019 add_time= 0.000140489
1250 0.000104169 1250 0.000005895 add_time= 0.000124793
2500 0.000111111 2500 0.000011687 add_time= 0.000206277
2500 0.000178783 2500 0.000014706 add_time= 0.000227439
2700 0.000066399 2700 0.000008404 add_time= 0.000122516
2600 0.000167983 2600 0.000027699 add_time= 0.000236110
2805 0.000227160 2805 0.000007613 add_time= 0.000252613
2500 0.000145802 2500 0.000010990 add_time= 0.000182958
2500 0.000209844 2500 0.000055867 add_time= 0.000313150
2550 0.000036529 2550 0.000014781 add_time= 0.000068843
2600 0.000236092 2600 0.000010612 add_time= 0.000299083
2500 0.000106672 2500 0.000009119 add_time= 0.000133521
2700 0.000092863 2700 0.000007646 add_time= 0.000117755
5150 0.002614329 2650 0.000012627 mult_time= 0.002807384
5253 0.002689622 2650 0.000008476 mult_time= 0.002754950
5885 0.002270238 2862 0.000008987 mult_time= 0.002362448
5000 0.001957881 2500 0.000007933 mult_time= 0.002018508
5775 0.001876617 2750 0.000008494 mult_time= 0.001974087
5000 0.001351836 2500 0.000008100 mult_time= 0.001414364
2500 0.000163611 2500 0.000008584 mult_time= 0.000242377
5000 0.000946890 2500 0.000007703 mult_time= 0.001012174
5000 0.000182616 2500 0.000008268 mult_time= 0.000243816
5200 0.002886032 2500 0.000009415 mult_time= 0.002947782
5202 0.002266013 2600 0.000029404 mult_time= 0.002350036
5665 0.002981145 2652 0.000009122 mult_time= 0.003045803
5350 0.000672077 2860 0.000008398 mult_time= 0.000736288
5200 0.000062237 2704 0.000008364 mult_time= 0.000123018
5100 0.000133349 2600 0.000007776 mult_time= 0.000192697
5100 0.000122234 2600 0.000007305 mult_time= 0.000185437
5100 0.002523012 2600 0.000008209 mult_time= 0.002582466
2550 0.000790183 2600 0.000015677 mult_time= 0.000871774
5000 0.001774121 2500 0.000008010 mult_time= 0.001835411
5000 0.001849229 2500 0.000026693 mult_time= 0.001923996
5355 0.000069028 2750 0.000008336 mult_time= 0.000129819
5250 0.000061964 2750 0.000007975 mult_time= 0.000123369
5775 0.000059630 2750 0.000008142 mult_time= 0.000133258
5250 0.004392962 2750 0.000007851 mult_time= 0.004450593
5202 0.002408935 2600 0.000007872 mult_time= 0.002474859
5252 0.002425738 2550 0.000007541 mult_time= 0.002480941
5500 0.002799583 2500 0.000007737 mult_time= 0.002854465
5250 0.000045497 2750 0.000007795 mult_time= 0.000099584
5250 0.000072683 2750 0.000007576 mult_time= 0.000127956
5565 0.005617707 2750 0.000008055 mult_time= 0.005676556
5000 0.005075275 2500 0.000007777 mult_time= 0.005129101
5151 0.003863942 2550 0.000007925 mult_time= 0.003923108
5100 0.001346494 2600 0.000008118 mult_time= 0.001405951
5250 0.008112221 2750 0.000008759 mult_time= 0.008176072
5564 0.000942691 2860 0.000012272 mult_time= 0.001022509
6050 0.004058533 3025 0.000008279 mult_time= 0.004124423
5610 0.003179191 3025 0.000008612 mult_time= 0.003246244
5050 0.003060403 2550 0.000008167 mult_time= 0.003119186
5100 0.003318187 2601 0.000008063 mult_time= 0.003377515
5000 0.000068250 2500 0.000156981 mult_time= 0.000275049
5500 0.000038078 2500 0.000024533 mult_time= 0.000112133
5050 0.000034223 2550 0.000023680 mult_time= 0.000107042
5355 0.000019616 2750 0.000026511 mult_time= 0.000101841
5151 0.000017518 2550 0.000024266 mult_time= 0.000095392
5555 0.000033495 2550 0.000025508 mult_time= 0.000115123
5300 0.000033961 2805 0.000027336 mult_time= 0.000116774
5555 0.000184846 2550 0.000027171 mult_time= 0.000267129
5050 0.000059787 2550 0.000025431 mult_time= 0.000139991
5459 0.000030977 2652 0.000009056 mult_time= 0.000091180
5252 0.000551787 2550 0.000007879 mult_time= 0.000609171
5565 0.000066079 2754 0.000008361 mult_time= 0.000124704
5050 0.001931557 2550 0.000007920 mult_time= 0.001990073
5000 0.001257858 2500 0.000008262 mult_time= 0.001315351
5250 0.002709219 2750 0.000008482 mult_time= 0.002776836
5460 0.002595434 2750 0.000008012 mult_time= 0.002653301
5300 0.000162271 2808 0.000028840 mult_time= 0.000270392
5995 0.000261867 2970 0.000027512 mult_time= 0.000355330
5565 0.001554866 2754 0.000008577 mult_time= 0.001619484
5000 0.001649219 2500 0.000008251 mult_time= 0.001706221
5200 0.002406321 2500 0.000007780 mult_time= 0.002460908
5250 0.002474041 2750 0.000007940 mult_time= 0.002531709
