capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory_makespan order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
1836044288 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2150.894416987 1989.163446535 2065.390329986 2022.695481850 2073.650427239 2060.212184551 2022.617958520 1983.540720941 2006.570839587 2006.570839587 2000.391476117 2000.391476117 2043.653012681  
2019648716 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2107.464130202 1989.163446535 2065.390329986 2000.410568543 2066.698945857 2060.212184551 2015.450595996 1974.286843056 1973.724547678 1973.724547678 2011.251898260 2011.251898260 2049.217174310  
2203253144 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2062.583918427 1989.163446535 2065.378007833 1991.093825368 2066.698945857 2060.212184551 2015.450595996 1973.915611785 1973.788818954 1973.788818954 1985.343598924 1985.343598924 2017.805555547  
2386857572 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2032.033933283 1978.796440610 2028.601446248 1976.961792629 2034.961663779 2053.858140523 1988.972170680 1974.007398495 1973.848068283 1973.848068283 1988.414140017 1988.414140017 1995.684327641  
2570462000 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2028.962618408 1973.346411684 2028.601446248 1976.961792629 2031.755982177 2053.707776552 1988.972170680 1973.599653689 1973.724547678 1973.724547678 1973.515628737 1973.515628737 1995.003466228  
2754066428 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 2028.601446248 1976.796165909 2030.314736184 2053.707776552 1981.670634000 1973.864971098 1974.201844797 1974.201844797 1973.346409995 1973.346409995 1984.030201180  
2937670856 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 2028.588352831 1976.796165909 2024.962606032 2053.707776552 1981.670634000 1973.755663173 1973.724547678 1973.724547678 1992.080041935 1992.080041935 2004.191553872  
3121275284 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1999.545424732 1976.595597410 2024.788815966 2053.474533996 1975.199075873 1973.599653689 1974.061795589 1974.061795589 1976.578520578 1976.578520578 1981.716154678  
3304879712 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1989.151707337 1976.595597410 2010.752910733 2053.327470205 1975.199075873 1973.599653689 1973.724547678 1973.724547678 1973.346406208 1973.346406208 1975.550488514  
3488484140 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1985.509519499 1976.279324437 2010.752910733 2053.327470205 1975.199075873 1973.599653689 1973.821412979 1973.821412979 1973.346406208 1973.346406208 1980.534135052  
