capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case order_of_submission Gilmore_Gomory order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction  
176400 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.145322510 1.148174538 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503  
194040 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.145322510 1.148174538 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503  
211680 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.145322510 1.148174538 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.143413132 1.143597407 1.143597407 1.144576372 1.144576372 1.144300829  
229320 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.144968268 1.147483498 1.145401638 1.147333007 1.145047477 1.147225078 1.147692637 1.138513680 1.137464480 1.137464480 1.141630702 1.141630702 1.137028910  
246960 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.142793305 1.140069487 1.144056455 1.139551980 1.144080526 1.138487337 1.140513534 1.129715081 1.119407828 1.119407828 1.133059152 1.133059152 1.125199323  
264600 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.140384924 1.131724327 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.128132171 1.119922725 1.119922725 1.119266837 1.119266837 1.122073245  
282240 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.140384924 1.131724327 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.127667403 1.118338102 1.118338102 1.118421840 1.118421840 1.120761931  
299880 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.138747351 1.130167867 1.139271085 1.129557454 1.139322071 1.128815161 1.128421032 1.119588035 1.109424685 1.109424685 1.110407030 1.110407030 1.112442101  
317520 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.125544834 1.116933265 1.127337445 1.118382657 1.127009177 1.117034575 1.117721846 1.107532302 1.096734567 1.096734567 1.100813234 1.100813234 1.099524841  
335160 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.074565323 1.069315953 1.080613597 1.073963989 1.077835004 1.073173637 1.073349514 1.057765483 1.053419156 1.053419156 1.056402212 1.056402212 1.054879588  
176400 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097632931 1.100450228 1.098102710 1.101104446 1.097913211 1.100648820 1.100625100 1.096271560 1.096270942 1.096270942 1.096926188 1.096926188 1.097224830  
194040 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097632931 1.100450228 1.098102710 1.101104446 1.097913211 1.100648820 1.100625100 1.096271560 1.096270942 1.096270942 1.096926188 1.096926188 1.097224830  
