capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1836044288 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2150.894416987 2059.056838735 2058.640497898 2124.167150658 2127.457059070 2023.605448229 2032.391309275 2064.663189927 2064.663189927 1984.336841244 1984.336841244 1994.621781768
2019648716 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2107.464130202 2042.203384033 2045.025719677 2106.318570154 2127.223816514 2016.160644684 2032.256651043 2031.918246426 2031.918246426 1984.855580229 1984.855580229 2029.799309817
2203253144 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2062.583918427 2036.433948225 2044.482765431 2098.635192986 2127.223816514 2013.990963108 2032.123957028 2031.918246426 2031.918246426 1973.953248117 1973.953248117 1998.083815175
2386857572 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2032.033933283 1996.617913776 2033.261726507 2071.510042305 2119.236832720 1994.558973602 2032.050133537 2031.918246426 2031.918246426 1974.021592380 1974.021592380 1987.132973033
2570462000 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2028.962618408 1991.486523951 2033.261726507 2053.211474012 2114.871028079 1975.469910564 2031.998295533 2031.918246426 2031.918246426 1974.792494840 1974.792494840 1981.397851302
2754066428 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.373285873 2032.995620430 2041.976096106 2112.106458310 1975.292160837 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
2937670856 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.373285873 2032.995620430 2032.981777102 2107.290570989 1975.292160837 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
3121275284 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.007090654 2032.895808511 2014.725140688 2107.084362145 1975.219935804 2031.918246426 2031.988208439 2031.988208439 1973.993341041 1973.993341041 1973.993341041
3304879712 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.007090654 2032.895808511 2005.984237397 2097.364224982 1975.089440616 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
3488484140 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.007090654 2032.612013903 1999.349752027 2097.364224982 1974.909990512 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
1836044288 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2893.784484486 2884.727816599 2889.483088836 2866.481047138 2925.992298189 2826.221888758 2816.406070263 2899.522632567 2899.522632567 2819.861899639 2819.861899639 2853.021942101
2019648716 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2889.612577280 2861.781384647 2872.813756191 2853.257853139 2925.768468039 2811.775500445 2789.471435308 2833.752541430 2833.752541430 2771.000910144 2771.000910144 2797.166039939
2203253144 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2883.305244089 2845.111998183 2872.772048674 2842.852444143 2925.662080085 2811.734241476 2766.062634764 2863.118516006 2863.118516006 2749.418394778 2749.418394778 2780.198586407
2386857572 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2866.049813686 2844.657438797 2838.656071102 2827.996762557 2925.189028054 2773.862786139 2743.600489702 2836.793063001 2836.793063001 2720.534687857 2720.534687857 2791.204173195
2570462000 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2866.049813686 2844.657438797 2838.656071102 2810.011001547 2925.026676386 2773.862786139 2743.150009360 2834.813921125 2834.813921125 2720.185471706 2720.185471706 2766.424770608
2754066428 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2866.049813686 2741.981038769 2808.624304039 2748.386870619 2895.114462559 2714.224977174 2713.519751268 2801.720140535 2801.720140535 2712.824747277 2712.824747277 2733.976740321
2937670856 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2840.495914575 2741.939759454 2808.508232883 2737.061761377 2895.008353439 2714.224977174 2713.237795533 2799.648989914 2799.648989914 2720.069557182 2720.069557182 2724.071074612
3121275284 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2728.064221463 2808.228834427 2737.058528998 2894.638061148 2714.038490258 2713.413344237 2799.387698040 2799.387698040 2717.051814750 2717.051814750 2723.308489555
3304879712 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2728.064221463 2808.228834427 2729.961898251 2894.596781833 2714.038490258 2713.237795533 2796.003440178 2796.003440178 2712.821266947 2712.821266947 2718.691894209
3488484140 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2717.906384902 2807.871388490 2729.961898251 2894.596781833 2713.913004794 2713.237795533 2793.377551392 2793.377551392 2712.821266947 2712.821266947 2712.821266947
1836044288 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3118.834169136 3088.536525892 3104.251851929 3087.480451784 3147.304172863 3045.372888103 3070.176264485 3075.994010654 3075.994010654 3070.126977603 3070.126977603 3074.375527836
2019648716 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3118.200788337 3088.536525892 3069.928420666 3063.734203090 3147.015578230 3038.153128717 3006.062048772 3064.127972277 3064.127972277 3001.725497818 3001.725497818 3006.128491017
2203253144 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3111.237381375 3056.274806041 3060.393036482 3051.110204985 3145.927054954 3021.296572886 2986.570318999 3030.345696128 3030.345696128 2961.210495607 2961.210495607 2978.895604539
2386857572 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3078.546525110 3033.736557611 3033.972428454 3036.355033378 3084.890366582 3005.204358562 2945.486066783 3032.020351369 3032.020351369 2970.292300864 2970.292300864 2978.419483253
