capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
176400 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145322510 1.145669445 1.147953992 1.145685757 1.148224189 1.148389680 1.144384357 1.144393548 1.144393548 1.144964471 1.144964471 1.144753513
194040 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145322510 1.145669445 1.147953992 1.145685757 1.148224189 1.148389680 1.144384357 1.144393548 1.144393548 1.144964471 1.144964471 1.144753513
211680 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145322510 1.145669445 1.147953992 1.145685757 1.148224189 1.148389680 1.144261156 1.144393548 1.144393548 1.144964471 1.144964471 1.144605822
229320 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.144968268 1.145268567 1.147302529 1.145272014 1.146873269 1.146981612 1.140282631 1.140818646 1.140818646 1.142511881 1.142511881 1.139279645
246960 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.142793305 1.143935143 1.140524295 1.144051209 1.139910743 1.139546536 1.131173256 1.126925520 1.126925520 1.133506367 1.133506367 1.126611123
264600 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.140384924 1.142390703 1.131664895 1.142295777 1.130120407 1.129200034 1.129602277 1.125374752 1.125374752 1.122347429 1.122347429 1.123702330
282240 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.140384924 1.142092849 1.131664895 1.141997923 1.130120407 1.129200034 1.128748790 1.124346915 1.124346915 1.121395804 1.121395804 1.122453287
299880 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.138747351 1.139526989 1.130516179 1.139696732 1.129097832 1.128352447 1.123749123 1.117977285 1.117977285 1.114323945 1.114323945 1.114923863
317520 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.125544834 1.127668944 1.118441430 1.127812865 1.118444387 1.118107850 1.112139219 1.102577683 1.102577683 1.102667774 1.102667774 1.102409515
335160 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.074565323 1.079385219 1.073604029 1.078212687 1.070344300 1.071307362 1.060207194 1.056122251 1.056122251 1.056091114 1.056091114 1.053337626
176400 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097632931 1.097988939 1.100876301 1.097961362 1.100202817 1.100360749 1.096497239 1.096539761 1.096539761 1.097276101 1.097276101 1.097105000
194040 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097632931 1.097988939 1.100876301 1.097961362 1.100202817 1.100360749 1.096497239 1.096539761 1.096539761 1.097276101 1.097276101 1.097105000
211680 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097632931 1.097988939 1.100876301 1.097961362 1.100202817 1.100360749 1.096497239 1.096372586 1.096372586 1.097276101 1.097276101 1.096964050
229320 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097447694 1.097797190 1.099310532 1.097867239 1.098182138 1.099638684 1.092611013 1.091348893 1.091348893 1.094697086 1.094697086 1.091125112
246960 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.095219264 1.096487601 1.092043036 1.096446802 1.090680548 1.092046830 1.080212711 1.075821277 1.075821277 1.088357896 1.088357896 1.076334635
264600 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.091601505 1.093531381 1.084173928 1.095024073 1.083800329 1.083781976 1.077420511 1.074416737 1.074416737 1.069587849 1.069587849 1.071112153
282240 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.091601505 1.093531381 1.084173928 1.095024073 1.083800329 1.083781976 1.077174765 1.074047668 1.074047668 1.069446899 1.069446899 1.070807500
299880 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.090714716 1.091568483 1.082626946 1.092914539 1.083354566 1.083360463 1.068781075 1.065081930 1.065081930 1.062444038 1.062444038 1.063110615
317520 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.074464748 1.076836893 1.071923538 1.078280681 1.069994873 1.070062323 1.054610195 1.049170201 1.049170201 1.045638876 1.045638876 1.046158137
335160 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.025728704 1.029336170 1.028146507 1.029918410 1.026754072 1.026098821 1.008239173 1.002674851 1.002674851 1.004918081 1.004918081 1.004158162
176400 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.129513129 1.129411451 1.131920875 1.129277613 1.132051246 1.131919288 1.128505449 1.128535649 1.128535649 1.128402687 1.128402687 1.128305595
194040 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.129513129 1.129411451 1.131920875 1.129277613 1.132051246 1.131919288 1.128505449 1.128535649 1.128535649 1.128402687 1.128402687 1.128305595
211680 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.129513129 1.129411451 1.131920875 1.129277613 1.132051246 1.131919288 1.128505449 1.128535649 1.128535649 1.128402687 1.128402687 1.128305595
229320 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.129200155 1.128983649 1.131059395 1.128916285 1.131031418 1.130394584 1.125852366 1.125522086 1.125522086 1.127438222 1.127438222 1.123601275
246960 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.126742817 1.127405506 1.124821594 1.126615916 1.120447797 1.120918680 1.114592462 1.112649744 1.112649744 1.119604309 1.119604309 1.110007761
264600 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.124338332 1.126439866 1.116880226 1.125434830 1.114787824 1.114361793 1.114745627 1.111832750 1.111832750 1.105461743 1.105461743 1.106303037
282240 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.124338332 1.126145634 1.116880226 1.125140598 1.114787824 1.114361793 1.114745627 1.111698709 1.111698709 1.105163877 1.105163877 1.106005171
299880 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.124065273 1.125834175 1.116588135 1.124829139 1.114301243 1.113741568 1.108985924 1.105710949 1.105710949 1.099919027 1.099919027 1.100009001
317520 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.111651816 1.113918947 1.105922203 1.112294000 1.104085539 1.103751815 1.097906296 1.091614336 1.091614336 1.086868436 1.086868436 1.087551714
335160 1.135175007 1.034111243 1.034111243 0.101063764	1.034136459 1.057440320 1.063847472 1.059361580 1.061991365 1.058164939 1.058228118 1.046126909 1.040008827 1.040008827 1.040841936 1.040841936 1.038405973
176400 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.090211601 1.090007774 1.093102606 1.089877767 1.092244256 1.092675372 1.089067396 1.089128515 1.089128515 1.089507024 1.089507024 1.089130960
194040 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.090211601 1.090007774 1.093102606 1.089877767 1.092244256 1.092675372 1.089067396 1.089128515 1.089128515 1.089507024 1.089507024 1.089130960
211680 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.090211601 1.090007774 1.093102606 1.089877767 1.092244256 1.092675372 1.088985260 1.088744049 1.088744049 1.089457426 1.089457426 1.088734449
229320 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.089228496 1.089816753 1.091341209 1.089677428 1.090404109 1.090445090 1.084069785 1.082028546 1.082028546 1.087005195 1.087005195 1.081614974
246960 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.086395050 1.088788100 1.082314071 1.087506893 1.081110697 1.080856247 1.070373847 1.066356843 1.066356843 1.075359329 1.075359329 1.067093115
264600 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.084423487 1.087472367 1.075256876 1.086287887 1.075035703 1.074729271 1.070534614 1.065195004 1.065195004 1.062048516 1.062048516 1.063785357
282240 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.084423487 1.087320775 1.075074708 1.086136295 1.075035703 1.074729271 1.070021132 1.064012030 1.064012030 1.061186865 1.061186865 1.062758583
299880 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.082433814 1.085637518 1.074128634 1.084633567 1.074357568 1.073774083 1.064257138 1.056598419 1.056598419 1.053761670 1.053761670 1.055629194
317520 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.068912629 1.069929757 1.063141591 1.069470048 1.062469114 1.062002335 1.049493945 1.042356256 1.042356256 1.039812998 1.039812998 1.040679547
335160 1.096167052 0.991011755 0.991011755 0.105155297	0.991038238 1.020357778 1.025512096 1.023572530 1.023968216 1.020221379 1.019923823 1.004181765 0.998414909 0.998414909 0.997220339 0.997220339 0.997501502
176400 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145053279 1.145020207 1.147832244 1.144730920 1.147352865 1.147336957 1.143816579 1.143953981 1.143953981 1.143721253 1.143721253 1.143821976
194040 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145053279 1.145020207 1.147832244 1.144730920 1.147352865 1.147336957 1.143816579 1.143953981 1.143953981 1.143721253 1.143721253 1.143821976
211680 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.145053279 1.145020207 1.147832244 1.144730920 1.147205768 1.147313537 1.143723487 1.143590693 1.143590693 1.143667244 1.143667244 1.143638706
229320 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.144872074 1.144662242 1.146301718 1.144263499 1.146044604 1.145803905 1.139544392 1.138747850 1.138747850 1.142203647 1.142203647 1.137857830
246960 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.142030981 1.142857815 1.139235132 1.141775091 1.136331620 1.137446336 1.127178780 1.124267716 1.124267716 1.131538611 1.131538611 1.122773210
264600 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.139996674 1.141843316 1.131438184 1.140414589 1.129416637 1.128760108 1.127840585 1.122713044 1.122713044 1.117708671 1.117708671 1.118218959
282240 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.139837776 1.141843316 1.131438184 1.140414589 1.129416637 1.128760108 1.127223338 1.122309482 1.122309482 1.116931550 1.116931550 1.117371998
299880 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.138202795 1.140105973 1.130512099 1.138912703 1.128458909 1.127659876 1.120153622 1.113817099 1.113817099 1.110563441 1.110563441 1.110545433
317520 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.124796832 1.125287491 1.117715896 1.124313371 1.115849339 1.115542559 1.106542558 1.097761763 1.097761763 1.096299303 1.096299303 1.094940475
335160 1.151087900 1.043420869 1.043420869 0.107667031	1.043449917 1.072929668 1.076017239 1.073174760 1.074088655 1.071554679 1.070311306 1.056158220 1.051553009 1.051553009 1.051589281 1.051589281 1.049858407
176400 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130429765 1.128021470 1.130840773 1.130845867 1.126293282 1.126417950 1.126417950 1.127672028 1.127672028 1.127231335
194040 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130429765 1.128021470 1.130840773 1.130845867 1.126293282 1.126417950 1.126417950 1.127672028 1.127672028 1.127231335
211680 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127469299 1.128335223 1.130429765 1.128021470 1.130840773 1.130845867 1.126293282 1.126255940 1.126255940 1.127591497 1.127591497 1.127231335
229320 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.127324631 1.128168721 1.129170005 1.127854968 1.129764234 1.129982678 1.122085873 1.121855643 1.121855643 1.126608355 1.126608355 1.120991066
246960 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.124503073 1.126417884 1.120496145 1.126461823 1.121559653 1.120735887 1.109153577 1.105963193 1.105963193 1.116384133 1.116384133 1.103582612
264600 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.121927413 1.124208594 1.113411981 1.124377403 1.113176905 1.112573294 1.105421069 1.103860182 1.103860182 1.099569318 1.099569318 1.100977204
282240 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.121927413 1.124208594 1.113411981 1.124377403 1.113176905 1.112573294 1.105159340 1.103723216 1.103723216 1.099407308 1.099407308 1.100815194
299880 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.121257182 1.122939260 1.112612710 1.123115220 1.112145386 1.111550912 1.100005141 1.097455716 1.097455716 1.094030567 1.094030567 1.094305077
317520 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.108823268 1.111371271 1.104513788 1.111311013 1.103249724 1.102831081 1.089535558 1.083089230 1.083089230 1.080576389 1.080576389 1.079856345
335160 1.134455378 1.028647316 1.028647316 0.105808062	1.028675767 1.055019804 1.059916095 1.056290732 1.059602352 1.054633392 1.053976667 1.039064360 1.034831247 1.034831247 1.034537789 1.034537789 1.033357387
176400 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120108130 1.123069932 1.120148711 1.122739099 1.122917983 1.119529677 1.119167520 1.119167520 1.119882146 1.119882146 1.119524613
194040 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120108130 1.123069932 1.120148711 1.122739099 1.122917983 1.119529677 1.119167520 1.119167520 1.119882146 1.119882146 1.119524613
211680 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.120153758 1.120021262 1.122922471 1.120061843 1.122739099 1.122917983 1.119404376 1.119167520 1.119167520 1.119801732 1.119801732 1.119353711
229320 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.119738689 1.119835581 1.122194000 1.119992365 1.121556410 1.122145280 1.113914346 1.113887829 1.113887829 1.117724187 1.117724187 1.112400660
246960 1.126732839 1.026458489 1.026458489 0.100274350	1.026482224 1.116355381 1.118640298 1.115861879 1.117745815 1.112863829 1.113378427 1.101659355 1.097781798 1.097781798 1.110492670 1.110492670 1.096200645
