#Capacity Gilmore_Gomory_makespan
899 2334.495438788
988 2274.250230293
1077 2183.514945371
1166 2181.578726557
1255 2143.310475000
1344 2141.049651438
1433 2091.249035459
1522 2002.277300617
1611 1991.051267894
1700 1985.018826068
899 2956.957461958
988 2906.958121222
1077 2852.593819674
1166 2843.666944505
1255 2825.949584087
1344 2823.162367148
1433 2749.651222092
1522 2737.232154399
1611 2735.145849676
1700 2718.412783733
899 3337.403123961
988 3235.512066386
1077 3154.853572444
1166 3093.860052800
1255 3030.066211083
1344 2967.064546249
1433 2954.034800537
1522 2871.585409336
1611 2860.113366372
1700 2859.472722538
899 3425.520948459
988 3374.438961650
1077 3299.737239360
1166 3256.526998598
1255 3179.555676052
1344 3121.387077960
1433 3080.914075175
1522 3044.010068308
1611 2934.541063675
1700 2928.990191441
899 2616.823283095
988 2573.943084513
1077 2502.352809305
1166 2446.415384545
1255 2368.365923994
1344 2243.916529265
1433 2221.039435697
1522 2164.647905484
1611 2156.838553682
1700 2151.007280137
899 3216.517908026
988 3114.279067139
1077 3029.426928455
1166 3005.487349658
1255 2928.822759247
1344 2833.777622929
1433 2737.895496360
1522 2721.379200157
1611 2719.986706283
1700 2669.297217632
899 2070.361613908
988 2041.147761114
1077 2021.195475740
1166 2016.950566354
1255 2009.151936830
1344 1960.069390023
1433 1924.242027256
1522 1918.444448706
1611 1911.300045002
1700 1910.919209445
899 3976.467289785
988 3859.244731586
1077 3779.346491934
1166 3653.602353114
1255 3573.192346801
1344 3480.308501962
1433 3443.829640568
1522 3334.579430452
1611 3308.528880074
1700 3281.712632795
899 2723.327530480
988 2649.904513121
1077 2618.153564301
1166 2521.965135858
1255 2445.182068611
1344 2382.948572839
1433 2370.581877582
1522 2337.172543490
1611 2336.608664631
1700 2317.176452796
899 2738.732008764
988 2667.882132593
1077 2611.315795945
1166 2602.927230083
1255 2563.631166342
1344 2544.705330245
1433 2542.083663733
1522 2508.340953045
1611 2495.030276807
1700 2487.153611500
899 3117.847046673
988 3041.094276363
1077 2994.479511447
1166 2986.478643204
1255 2930.054755197
1344 2917.922976655
1433 2837.415342311
1522 2800.918767736
1611 2800.422220541
1700 2785.043347526
899 2798.830019663
988 2778.067356846
1077 2731.827657225
1166 2694.134322877
1255 2686.369553081
1344 2671.815454348
1433 2652.622538976
1522 2609.455241093
1611 2608.303190814
1700 2607.741264414
899 3553.906769880
988 3510.813744000
1077 3397.764641602
1166 3335.461656647
1255 3204.142683584
1344 3164.907605115
1433 3080.300682907
1522 3074.080072749
1611 3038.905151836
1700 2994.416533051
899 2745.195580409
988 2657.857780764
1077 2582.073053576
1166 2573.910704743
1255 2570.876715301
1344 2533.776296293
1433 2533.038416208
1522 2526.398578836
1611 2484.418807354
1700 2484.039356039
899 2495.647231380
988 2481.008267996
1077 2479.271706685
1166 2458.726995032
1255 2429.309214571
1344 2425.437232250
1433 2407.537599153
1522 2372.126153977
1611 2370.659387439
1700 2368.868295779
899 1325.555120711
988 1291.011339226
1077 1234.684355107
1166 1121.387455111
1255 1087.516446561
1344 1054.641409244
1433 1008.541011490
1522 995.076099479
1611 989.745581159
1700 976.916793903
899 1666.532993744
988 1601.527299878
1077 1512.853064471
1166 1362.236918435
1255 1356.514521591
1344 1286.639203114
1433 1249.925270351
1522 1249.397195850
1611 1154.549312145
1700 1154.548871863
899 520.565388630
988 507.490122537
1077 487.034670734
1166 485.587704734
1255 478.311547758
1344 472.802907590
1433 472.802392778
1522 459.816344715
1611 459.815747023
1700 459.815349003
899 416.629006562
988 399.922579329
1077 389.934838873
1166 389.536667020
1255 383.088333018
1344 382.650132460
1433 382.455914847
1522 376.520387854
1611 370.812529264
1700 370.812123339
899 679.003886401
988 667.617706138
1077 631.102652188
1166 598.266845648
1255 573.586800733
1344 504.002481557
1433 503.949796838
1522 490.824177415
1611 490.708923575
1700 485.171914058
899 1129.545067567
988 1095.068750651
1077 1077.717933264
1166 1071.690587099
1255 1005.706075764
1344 863.848474905
1433 802.923683500
1522 802.921020237
