capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
899 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2419.025195792 2333.924315887 2361.587498369 2363.599699544 2369.512092557 2402.450271416 2273.850923769 2388.558830370 2388.558830370 2284.226852585 2284.226852585 2290.058792848
988 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2373.613657360 2270.417605310 2263.762007639 2288.652777674 2314.744176879 2309.589562201 2301.175087273 2414.511537077 2414.511537077 2345.087476336 2345.087476336 2264.267739809
1077 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2358.093718181 2262.100020151 2215.094031403 2270.804622037 2297.791435886 2271.199189580 2249.842764736 2358.784065230 2358.784065230 2052.331825114 2052.331825114 2226.663315730
1166 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2353.811870267 2239.725241025 2191.372922726 2244.523460991 2281.778609428 2262.457877515 2253.169695895 2297.713227758 2297.713227758 2010.702756145 2010.702756145 2200.775287142
1255 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2347.095902495 2213.334624061 2176.669264704 2236.658181346 2241.642517896 2208.036024018 2251.015514734 2303.977223122 2303.977223122 2006.888810745 2006.888810745 2147.350056886
1344 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2296.299671465 2143.099203023 2137.463728188 2166.020132820 2188.215615514 2160.114005871 2124.085187321 2191.325050198 2191.325050198 2061.337301054 2061.337301054 2115.656135020
1433 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2283.894956483 2131.201075986 2103.899555556 2152.265019793 2146.061164970 2085.847618048 2002.695643701 2077.496266972 2077.496266972 2029.323238556 2029.323238556 2139.132470315
1522 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2282.859638587 2068.493571633 2097.165793282 2120.338432650 2063.781819152 2012.356270615 1998.144355944 2037.211620627 2037.211620627 2030.058288555 2030.058288555 2084.148930794
1611 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2265.842982199 2061.529098660 2084.393855723 2077.618922974 2062.892973519 2011.505581167 1988.017138742 2005.151682628 2005.151682628 2002.761453528 2002.761453528 2079.665765551
1700 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.346406208 2221.863918502 2060.691097188 2048.056969864 2076.489200282 2062.713951950 2011.447584060 1987.482490807 2010.206934002 2010.206934002 1999.400903592 1999.400903592 2080.370892751
899 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3131.864561047 3001.604062479 3094.410607486 3067.232853333 3035.713744389 3011.440748963 2916.722215712 3045.623637378 3045.623637378 2914.776118568 2914.776118568 2951.589186291
988 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3121.588436278 2996.786422394 3075.008823411 3047.645790898 3030.095714987 2976.749400826 2925.578086270 3134.363642827 3134.363642827 2916.648050683 2916.648050683 2913.653251220
1077 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3114.428635700 2977.727503508 3043.393520700 3006.830497923 3021.235647209 2967.795755985 2947.258027544 3051.284401276 3051.284401276 2774.109094716 2774.109094716 2924.788336546
1166 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3069.974098052 2970.200058812 2964.658038587 2999.149690209 2979.090431715 2899.787785876 2895.305469064 2872.878238632 2872.878238632 2738.146449539 2738.146449539 2858.498569274
1255 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3059.021101314 2950.636713934 2944.039090482 2971.505805471 2963.816683786 2860.266614303 2865.997199994 2857.273008794 2857.273008794 2732.084124023 2732.084124023 2860.631407874
1344 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3008.202272866 2858.386898095 2906.275741736 2901.431951852 2856.274473997 2785.652028422 2778.462544675 2867.279409907 2867.279409907 2775.561093783 2775.561093783 2831.652797784
1433 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 3003.379112838 2831.543707673 2898.464733376 2842.081865775 2813.838878698 2749.760022347 2777.058212986 2790.632715726 2790.632715726 2720.336869311 2720.336869311 2801.952947041
1522 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 2998.671624362 2812.827507593 2862.667761171 2830.358483238 2802.445603135 2739.061371332 2774.797396478 2795.262370744 2795.262370744 2718.215552880 2718.215552880 2780.914685458
1611 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 2973.916450164 2809.389322324 2834.707258230 2824.270664732 2781.448858903 2728.740136506 2774.656522971 2777.049837100 2777.049837100 2723.907710675 2723.907710675 2789.487446887
1700 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.820012355 2946.713558532 2764.708152252 2829.041568420 2817.734280336 2774.531889535 2717.514364949 2774.723593996 2819.711598497 2819.711598497 2720.615287230 2720.615287230 2768.691602881
899 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3398.440997319 3279.500013582 3329.167415538 3301.909434853 3287.116497190 3276.958560166 3137.070529286 3391.662468413 3391.662468413 3141.560693272 3141.560693272 3266.338536965
988 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3359.854333408 3259.012211198 3307.373124697 3232.929610360 3256.312458700 3229.299471024 3087.421777898 3333.684503795 3333.684503795 3107.837417458 3107.837417458 3260.457998806
1077 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3335.207954580 3243.274614535 3256.521782948 3216.229618975 3233.653519837 3183.102741117 3091.696582131 3348.193630903 3348.193630903 3003.141475885 3003.141475885 3236.245999055
1166 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3322.897366298 3190.845365318 3192.391667542 3196.253927676 3165.805449479 3115.349633569 3047.844553296 3220.493970072 3220.493970072 2917.799319808 2917.799319808 3170.080856948
1255 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3274.632643097 3175.950103397 3167.340083738 3173.819712092 3159.015911222 3112.807100626 3024.762653638 3146.175969392 3146.175969392 2903.523900893 2903.523900893 3183.550511972
1344 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3244.572710328 3171.249225174 3150.466263790 3168.715207468 3081.354863759 3075.049539256 2982.806900773 3109.997785487 3109.997785487 2904.533502107 2904.533502107 3166.047648192
1433 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3242.501861555 3134.053022603 3134.598705068 3093.966695578 3073.097744626 3066.719876998 2972.081698728 3068.390874497 3068.390874497 2895.199326051 2895.199326051 3168.653844704
1522 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3228.115856565 3060.661028954 3061.162270117 3043.448911085 3033.046907664 2997.700032032 2920.355557871 3077.921275251 3077.921275251 2910.842562293 2910.842562293 3062.164626751
1611 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3198.846004792 3030.024701805 3053.227422234 3007.504655506 3025.813764949 2969.079878460 2909.523969520 3052.021686882 3052.021686882 2975.133903844 2975.133903844 3068.535314068
1700 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379791730 3178.837011649 3017.807588573 3052.021065858 2984.050372447 3025.591478519 2968.697860982 2907.065520326 3026.361247003 3026.361247003 2989.786590816 2989.786590816 3082.393778566
899 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.194556290 3730.192314168 3537.304421412 3531.419739004 3576.107983928 3561.504510329 3587.677260444 3411.755985223 3718.620815243 3718.620815243 3415.410222452 3415.410222452 3241.416627002
988 3851.458851773 2846.194544607 2846.194544607 1005.264307166	2846.194556290 3688.367071051 3473.802029994 3451.824141089 3428.536878333 3498.626107842 3527.627208594 3349.031898571 3588.449691930 3588.449691930 3145.854503869 3145.854503869 3275.054901648
