sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp optimal_time_infinite_case
2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208
3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355
3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730
3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290
2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503
3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742
2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598
4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383
3003.812498029 2220.367390496 2220.367390496 783.445107533 2220.367402423
2950.249614211 2438.646084294 2438.646084294 511.603529917 2438.646096718
3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920
2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830
3783.173722998 2957.275887892 2957.275887892 825.897835106 2957.275899884
2870.278968327 2484.039294051 2484.039294051 386.239674276 2484.039306615
2611.336453364 2323.613217386 2323.613217386 287.723235978 2323.613229065
1511.917829343 831.835906328 831.835906328 680.081923015 831.835918507
1948.609810669 1100.007113419 1100.007113419 848.602697250 1100.007124953
568.424911063 387.423109283 387.423109283 181.001801780 387.423120837
478.041584082 351.756321839 351.756321839 126.285262243 351.756333237
744.491918299 390.751938702 390.751938702 353.739979597 390.751951956
1221.184973635 694.357408570 694.357408570 526.827565065 694.357420478
404.056562901 273.014500864 273.014500864 131.042062037 273.014512400
727.968501127 467.729565548 467.729565548 260.238935579 467.729577304
967.204828200 558.402624035 408.802204165 558.402624035 558.532029989
698.226572378 396.365776405 396.365776405 301.860795973 396.365787503
1431.179153925 842.444943284 842.444943284 588.734210641 842.444954001
1404.683149079 706.649154507 698.033994572 706.649154507 715.077059501
1400.073512316 747.514581063 747.514581063 652.558931253 747.514592925
955.737947715 487.981136327 467.756811388 487.981136327 490.830057535
1136.521172959 648.397520443 488.123652516 648.397520443 648.697727085
1708.762028771 1187.221471980 1187.221471980 521.540556791 1187.221484761
1601.006686458 999.973875001 999.973875001 601.032811457 999.973888163
1261.478607988 760.700296483 760.700296483 500.778311505 760.700308524
1587.897398576 1055.945429242 1055.945429242 531.951969334 1055.945441115
1808.777923509 1121.506722938 1121.506722938 687.271200571 1121.506734155
2157.493241229 1275.740506129 1275.740506129 881.752735100 1275.740517829
2600.753432580 1664.152132693 1664.152132693 936.601299887 1664.152145835
2343.759971174 1500.338082656 1500.338082656 843.421888518 1500.338094497
1552.674955052 991.453486146 991.453486146 561.221468906 991.453497860
1367.036701697 870.910475641 870.910475641 496.126226056 870.910486180
2536.785830411 1640.190935451 1640.190935451 896.594894960 1640.190946771
2300.283502382 1323.896482916 1323.896482916 976.387019466 1323.896494381
1630.239949284 944.562551370 944.562551370 685.677397914 944.562564188
2006.825181191 1322.620461305 1322.620461305 684.204719886 1322.620474036
1966.262572734 1382.337952652 1382.337952652 583.924620082 1382.337963738
2401.724881448 1518.784116436 1518.784116436 882.940765012 1518.784128861
2520.561782185 1668.138736705 1668.138736705 852.423045480 1668.138747454
1776.684701617 1137.985728635 1137.985728635 638.698972982 1137.985740014
2719.057488311 1660.447741254 1660.447741254 1058.609747057 1660.447753669
1987.514870399 1369.161416976 1369.161416976 618.353453423 1369.161428546
2038.522896604 1335.203716483 1335.203716483 703.319180121 1335.203728812
1854.598344515 1282.708481842 1282.708481842 571.889862673 1282.708493966
2120.727525541 1407.750260324 1407.750260324 712.977265217 1407.750271970
1954.500722673 1447.016904533 1447.016904533 507.483818140 1447.016915041
2285.685680986 1502.858817729 1502.858817729 782.826863257 1502.858829157
2447.408083871 1566.195827839 1566.195827839 881.212256032 1566.195839426
2222.490059847 1455.188694563 1455.188694563 767.301365284 1455.188707289
1619.232297484 1068.770658397 1068.770658397 550.461639087 1068.770671154
1601.599548078 1326.167810728 1326.167810728 275.431737350 1326.167821607
2104.412893969 1418.641287901 1418.641287901 685.771606068 1418.641299094
1869.801147338 1277.427728612 1277.427728612 592.373418726 1277.427741534
1405.053451635 1116.467675677 1116.467675677 288.585775958 1116.467688473
1515.140213462 1166.111870936 1166.111870936 349.028342526 1166.111883702
1717.377802598 1352.253878498 1352.253878498 365.123924100 1352.253889524
