capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
24200 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.179601637 0.179170552 0.179444129 0.179175973 0.179514705 0.179509793 0.177623216 0.177573726 0.177573726 0.177632112 0.177632112 0.177663943
26620 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.179561744 0.179123702 0.179389274 0.179137304 0.179485893 0.179475935 0.177594570 0.177524431 0.177524431 0.177605564 0.177605564 0.177635516
29040 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.179534108 0.179123702 0.179370277 0.179137304 0.179455850 0.179446422 0.177594570 0.177524431 0.177524431 0.177605564 0.177605564 0.177635516
31460 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.178074523 0.177614427 0.177484708 0.177773998 0.177746614 0.176992583 0.175288101 0.174768828 0.174768828 0.176128711 0.176128711 0.174916066
33880 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.175994660 0.176218696 0.175720981 0.176367936 0.175407473 0.174885449 0.174948736 0.174702286 0.174702286 0.175714086 0.175714086 0.175747768
36300 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.175862127 0.175990840 0.175461668 0.176107118 0.175076538 0.174512250 0.175008330 0.174681400 0.174681400 0.175593031 0.175593031 0.175686470
38720 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.175862127 0.175990840 0.175461668 0.176107118 0.175076538 0.174512250 0.174937708 0.174544493 0.174544493 0.175656525 0.175656525 0.175752792
41140 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.172903116 0.172846425 0.172395458 0.173273287 0.171688892 0.171180962 0.165410216 0.164740432 0.164740432 0.165801970 0.165801970 0.166115977
43560 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.160193345 0.160736252 0.160402250 0.160918166 0.158518417 0.157696341 0.153091983 0.151554932 0.151554932 0.152269536 0.152269536 0.153957530
45980 0.179657993 0.146162896 0.146162896 0.033495097	0.146173741 0.152299334 0.154150235 0.154013461 0.154180560 0.150427765 0.150918483 0.151295978 0.151373032 0.151373032 0.150972747 0.150972747 0.151476417
24200 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.197280324 0.197006885 0.197281878 0.196987138 0.197307567 0.197291369 0.195704570 0.195710506 0.195710506 0.195727972 0.195727972 0.195718021
26620 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.197264009 0.196990570 0.197265563 0.196970823 0.197267394 0.197259616 0.195701726 0.195705858 0.195705858 0.195721316 0.195721316 0.195711365
29040 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.197264009 0.196974249 0.197250040 0.196954502 0.197267394 0.197259616 0.195701726 0.195695269 0.195695269 0.195722113 0.195722113 0.195712162
31460 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.196021788 0.195373398 0.195780665 0.195451304 0.195461518 0.195345193 0.193316604 0.192907355 0.192907355 0.194507094 0.194507094 0.193352496
33880 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.194110598 0.194512402 0.194301837 0.194548072 0.194118308 0.194024107 0.193201621 0.193161824 0.193161824 0.193461879 0.193461879 0.193333182
36300 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.193907942 0.194389753 0.193887168 0.194473445 0.193824737 0.193697975 0.193262698 0.193064409 0.193064409 0.193471981 0.193471981 0.193323962
38720 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.193907942 0.194389753 0.193887168 0.194473445 0.193824737 0.193697975 0.193262698 0.193064409 0.193064409 0.193471981 0.193471981 0.193182000
41140 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.190490247 0.190771769 0.190402512 0.191163949 0.188762110 0.190199076 0.184485935 0.182292357 0.182292357 0.184161837 0.184161837 0.184019113
43560 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.179211616 0.179929405 0.179279313 0.180038772 0.177773674 0.178118950 0.173911795 0.172576676 0.172576676 0.172992030 0.172992030 0.173578882
45980 0.197478952 0.168741511 0.168741511 0.028737441	0.168752194 0.173459569 0.173930386 0.173930634 0.173970075 0.171983826 0.172392438 0.172620350 0.172446909 0.172446909 0.171962782 0.171962782 0.172202465
24200 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.168849780 0.168348658 0.168745725 0.168308177 0.168768794 0.168825358 0.166856130 0.166893400 0.166893400 0.166935057 0.166935057 0.166868881
26620 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.168756147 0.168208736 0.168574453 0.168181660 0.168652661 0.168697117 0.166762371 0.166752186 0.166752186 0.166846064 0.166846064 0.166676742
29040 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.168637201 0.168154817 0.168520483 0.168127741 0.168511957 0.168602432 0.166769319 0.166746391 0.166746391 0.166882902 0.166882902 0.166864433
31460 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.167121452 0.166873941 0.166606692 0.166918336 0.163990678 0.165239481 0.164375984 0.163970334 0.163970334 0.165751239 0.165751239 0.164316707
33880 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.164993905 0.165550028 0.164875701 0.165692872 0.162167980 0.163283593 0.164047116 0.163811005 0.163811005 0.164824189 0.164824189 0.164730695
36300 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.164827636 0.165439025 0.164726817 0.165575165 0.161984106 0.163041832 0.163700236 0.163775683 0.163775683 0.164674922 0.164674922 0.164566667
38720 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.164827636 0.165439025 0.164721385 0.165575165 0.161984106 0.163041832 0.163765102 0.163731725 0.163731725 0.164612237 0.164612237 0.164651741
41140 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.161099977 0.161557083 0.161093893 0.162351544 0.158645553 0.159519833 0.154160987 0.153270652 0.153270652 0.154054127 0.154054127 0.154103963
43560 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.148909199 0.149219017 0.149190690 0.149612272 0.145495391 0.147085223 0.143343614 0.142173628 0.142173628 0.141988075 0.141988075 0.143420213
45980 0.168953671 0.137658618 0.137658618 0.031295053	0.137668956 0.142909467 0.143368458 0.143615392 0.143591896 0.139973808 0.140599044 0.141504523 0.141826595 0.141826595 0.140921571 0.140921571 0.141251197
24200 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171591994 0.171151997 0.171421644 0.171171950 0.171567904 0.171558936 0.169992709 0.169952726 0.169952726 0.169981728 0.169981728 0.169989973
26620 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171544650 0.171138035 0.171411814 0.171157988 0.171552481 0.171549106 0.169958846 0.169943386 0.169943386 0.169957852 0.169957852 0.169966097
29040 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.171544650 0.171124095 0.171397874 0.171144048 0.171524078 0.171518385 0.169952790 0.169910879 0.169910879 0.169957852 0.169957852 0.169966097
31460 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.170094159 0.170001521 0.169953023 0.169962180 0.168668714 0.169869592 0.167864089 0.167363756 0.167363756 0.168876385 0.168876385 0.167837254
33880 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.168493605 0.168807875 0.168381377 0.168840068 0.167087838 0.166710107 0.167519645 0.167528691 0.167528691 0.168428464 0.168428464 0.168216348
36300 0.171685982 0.141788414 0.141788414 0.029897568	0.141798244 0.168302129 0.168755814 0.168179366 0.168814670 0.166881723 0.166523200 0.167622170 0.167474915 0.167474915 0.167918524 0.167918524 0.168235018
