capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
48400 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.974609770 1.973857613 1.974720458 1.973797031 1.974514084 1.974569005 1.960266039 1.960277277 1.960277277 1.960667663 1.960667663 1.960714421
53240 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.973768707 1.971979907 1.972992269 1.972112723 1.973255993 1.973294927 1.948615974 1.946637911 1.946637911 1.951107861 1.951107861 1.948682083
58080 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.973034396 1.970982191 1.971578646 1.971026445 1.972505045 1.972530169 1.947323469 1.944621949 1.944621949 1.950646216 1.950646216 1.946851043
62920 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.958095784 1.958759739 1.957243202 1.958965121 1.957991587 1.958241127 1.932245581 1.929006617 1.929006617 1.937420035 1.937420035 1.933772876
67760 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.939970550 1.948516016 1.944125025 1.948751180 1.944752848 1.944749862 1.926522501 1.924475623 1.924475623 1.934820917 1.934820917 1.933862132
72600 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.932890777 1.938543358 1.935849153 1.939171354 1.935689238 1.935568354 1.915696714 1.912270490 1.912270490 1.926884893 1.926884893 1.921751079
77440 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.922114778 1.922649810 1.917933664 1.923148128 1.917828397 1.917711311 1.909421538 1.906225534 1.906225534 1.918008058 1.918008058 1.913591536
82280 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.879219863 1.883265015 1.876272943 1.883344761 1.876840891 1.876934776 1.789994945 1.772927945 1.772927945 1.792075951 1.792075951 1.779244703
87120 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.729522384 1.729576820 1.726475865 1.731094427 1.723238504 1.723653785 1.670130769 1.654252292 1.654252292 1.654173769 1.654173769 1.663192587
91960 1.975840372 1.638732719 1.638732719 0.337107653	1.638754804 1.663635032 1.664321816 1.663350033 1.664856257 1.656842494 1.655766225 1.655082728 1.655012544 1.655012544 1.652154800 1.652154800 1.658321539
