capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
176400 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.145322510 1.148174538 1.149533061 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503  
198450 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.145322510 1.148174538 1.149747353 1.145617848 1.148339544 1.145263687 1.148313355 1.148275343 1.144055197 1.144082413 1.144082413 1.144576372 1.144576372 1.144656503  
242550 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.143836740 1.144090334 1.143171353 1.144593443 1.144162304 1.144615745 1.144148116 1.143816709 1.131165294 1.124997890 1.124997890 1.139959012 1.139959012 1.127950589  
264600 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.140384924 1.131724327 1.125613397 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.128132171 1.119922725 1.119922725 1.119266837 1.119266837 1.122073245  
286650 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.140384924 1.131724327 1.126828710 1.141862193 1.131052461 1.141524225 1.130301935 1.130099878 1.127136956 1.118334548 1.118334548 1.118449817 1.118449817 1.120817915  
308700 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.133070945 1.125109073 1.122622018 1.133719738 1.124349047 1.133677854 1.124621684 1.125062199 1.113431977 1.102693746 1.102693746 1.105731889 1.105731889 1.105245601  
330750 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.088004292 1.085122382 1.083717094 1.093621416 1.088152947 1.091384591 1.086025238 1.086661015 1.064912301 1.053978917 1.053978917 1.061592877 1.061592877 1.055526925  
352800 1.151277372 1.047510764 1.047510764 0.103766608 1.047533225 1.052929583 1.047671082 1.059251302 1.054924507 1.055811152 1.054138130 1.053348032 1.053411381 1.052841466 1.052877348 1.052877348 1.053537131 1.053537131 1.054533489  
176400 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097632931 1.100450228 1.102218505 1.098102710 1.101104446 1.097913211 1.100648820 1.100625100 1.096271560 1.096270942 1.096270942 1.096926188 1.096926188 1.097224830  
198450 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.097632931 1.100450228 1.101850997 1.098102710 1.101104446 1.097913211 1.100648820 1.100625100 1.096271560 1.096270942 1.096270942 1.096926188 1.096926188 1.097224830  
242550 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.095776479 1.095573493 1.095757979 1.096990119 1.095583100 1.097122773 1.095033566 1.096158482 1.080852419 1.075728151 1.075728151 1.091957603 1.091957603 1.077406894  
264600 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.091601505 1.085556579 1.080397429 1.093982343 1.084124971 1.095357904 1.083616083 1.083816490 1.079602551 1.072041771 1.072041771 1.069240391 1.069240391 1.070974785  
286650 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.091601505 1.085556579 1.077559770 1.093982343 1.084124971 1.095357904 1.083616083 1.083816490 1.079250100 1.071459786 1.071459786 1.068656546 1.068656546 1.070303979  
308700 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.085132786 1.080210122 1.072899449 1.086084728 1.079489059 1.087141306 1.077856128 1.078274468 1.063074716 1.053581614 1.053581614 1.054151625 1.054151625 1.053043639  
330750 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.041872156 1.038809694 1.038980579 1.046818655 1.040637091 1.046687766 1.038669077 1.037701115 1.016807858 1.005102285 1.005102285 1.013087979 1.013087979 1.006048449  
352800 1.104228927 1.000185396 1.000185396 0.104043531 1.000208324 1.001461831 1.000214630 1.005878888 1.003162393 1.004144491 1.003812318 1.001589973 1.001591505 1.001495641 1.001426829 1.001426829 1.002437103 1.002437103 1.004383153  
176400 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129513129 1.131423657 1.133590716 1.129495690 1.131867648 1.129282768 1.131840394 1.132005044 1.128184762 1.128218611 1.128218611 1.128365197 1.128365197 1.128344385  
198450 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.129513129 1.131423657 1.133567393 1.129495690 1.131867648 1.129282768 1.131840394 1.132005044 1.128184762 1.128218611 1.128218611 1.128365197 1.128365197 1.128344385  
242550 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.128168543 1.126811916 1.128827805 1.128520804 1.127639786 1.128156398 1.126448832 1.125862944 1.114965095 1.110447752 1.110447752 1.125718538 1.125718538 1.111999960  
264600 1.135175007 1.034111243 1.034111243 0.101063764 1.034133675 1.124338332 1.117570492 1.109201582 1.126946363 1.117662518 1.126341425 1.114411281 1.114227348 1.112280404 1.105267456 1.105267456 1.103988076 1.103988076 1.104426932  
