sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM
1.151277372 1.047510764 1.047510764 0.103766608 1.047533225
1.104228927 1.000185396 1.000185396 0.104043531 1.000208324
1.135175007 1.034111243 1.034111243 0.101063764 1.034133675
1.096167052 0.991011755 0.991011755 0.105155297 0.991035073
1.151087900 1.043420869 1.043420869 0.107667031 1.043443937
1.134455378 1.028647316 1.028647316 0.105808062 1.028670955
1.126732839 1.026458489 1.026458489 0.100274350 1.026481176
1.133317651 1.038303146 1.038303146 0.095014505 1.038326194
1.151070061 1.045196609 1.045196609 0.105873452 1.045219813
1.079618821 0.975274784 0.975274784 0.104344037 0.975298777
1.123667329 1.017617262 1.017617262 0.106050067 1.017640216
1.139686578 1.039857474 1.039857474 0.099829104 1.039878622
1.103018111 0.999876251 0.999876251 0.103141860 0.999898032
1.135428515 1.034249867 1.034249867 0.101178648 1.034272635
1.065476874 0.964409973 0.964409973 0.101066901 0.964432381
1.067870227 0.963076594 0.963076594 0.104793633 0.963099417
1.076489533 1.001724659 1.001724659 0.074764874 1.001749145
1.077411172 0.999553474 0.999553474 0.077857698 0.999578234
1.097670882 1.016762096 1.016762096 0.080908786 1.016786405
1.056981115 0.981065384 0.981065384 0.075915731 0.981090494
1.129259884 1.048296683 1.048296683 0.080963201 1.048321882
1.026954254 0.954849320 0.954849320 0.072104934 0.954872443
0.978044456 0.905607321 0.905607321 0.072437135 0.905630157
1.061510084 0.989547813 0.989547813 0.071962271 0.989572974
1.120059943 1.041131377 1.041131377 0.078928566 1.041156068
0.966921817 0.894586457 0.894586457 0.072335360 0.894610992
0.979495328 0.907200325 0.907200325 0.072295003 0.907223707
1.033777433 0.959088051 0.959088051 0.074689382 0.959111404
1.015251185 0.941960493 0.941960493 0.073290692 0.941984164
1.001337711 0.930285893 0.930285893 0.071051818 0.930309897
1.042377965 0.968483613 0.968483613 0.073894352 0.968507600
0.992422077 0.919737517 0.919737517 0.072684560 0.919759307
0.968255537 0.905882585 0.905882585 0.062372952 0.905904325
0.970538927 0.908057335 0.908057335 0.062481592 0.908080034
0.967254736 0.905027724 0.905027724 0.062227012 0.905051294
0.973506155 0.905230624 0.905230624 0.068275531 0.905255543
0.967376236 0.901057553 0.901057553 0.066318683 0.901080108
0.952205567 0.883004658 0.883004658 0.069200909 0.883027645
0.921603021 0.852623598 0.852623598 0.068979423 0.852646727
1.016578718 0.951770599 0.951770599 0.064808119 0.951792264
0.923539983 0.856795995 0.856795995 0.066743988 0.856820727
0.933329387 0.868706698 0.868706698 0.064622689 0.868728871
0.993991642 0.926476790 0.926476790 0.067514852 0.926499937
0.951735204 0.887135613 0.887135613 0.064599591 0.887159805
0.884277775 0.822042436 0.822042436 0.062235339 0.822068192
0.993232312 0.928583994 0.928583994 0.064648318 0.928606967
0.913388558 0.849874316 0.849874316 0.063514242 0.849897155
0.894056485 0.829475126 0.829475126 0.064581359 0.829498852
1.145579224 1.064361922 1.064361922 0.081217302 1.064387464
1.214055973 1.134564729 1.134564729 0.079491244 1.134587830
1.204894248 1.123880629 1.123880629 0.081013619 1.123904661
1.225629633 1.147196362 1.147196362 0.078433271 1.147219705
1.194141127 1.118639679 1.118639679 0.075501448 1.118662013
1.193008880 1.110451163 1.110451163 0.082557717 1.110475536
