capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
904 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2419.024503827 2334.495355468 2321.153556329 2361.587390819 2353.343447090 2369.511490543 2402.450130437 2317.033379636 2415.659299672 2415.659299672 2279.459718191 2279.459718191 2265.076698433  
1016 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2365.858862025 2242.338618305 2268.546561833 2249.144531438 2278.843157435 2308.428658390 2303.744083585 2297.662467448 2410.002797471 2410.002797471 2257.643602173 2257.643602173 2187.302475462  
1128 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2357.373774292 2182.440161767 2240.181311905 2193.456546630 2245.981133201 2291.695430756 2265.062424405 2255.490984144 2366.205852392 2366.205852392 2032.426533517 2032.426533517 2168.000009434  
1240 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2347.595404058 2178.715504186 2222.475608617 2176.889099506 2236.792582872 2241.862320366 2209.492860438 2242.970265716 2206.677942788 2206.677942788 2007.701517557 2007.701517557 2150.000711611  
1352 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2296.299521366 2140.671135126 2143.099131726 2137.463653750 2166.020005671 2188.215477409 2160.113928729 2088.618405026 2181.376917536 2181.376917536 2052.728877467 2052.728877467 2118.959284740  
1464 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2283.483173211 2014.156053056 2130.637997050 2103.280812710 2151.886428786 2126.439172747 2084.894860205 2031.030133620 2054.479259412 2054.479259412 2021.491238030 2021.491238030 2111.610690392  
1576 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2273.634841377 1991.051897088 2061.964737417 2085.530563254 2079.563214736 2063.602587008 2012.355488234 1996.408332048 2052.360352443 2052.360352443 2013.348206154 2013.348206154 2085.357187316  
1688 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2221.863918502 1985.018857415 2060.888514056 2078.721358120 2076.489245535 2062.713996194 2011.447623418 1987.843184822 1998.985641206 1998.985641206 2014.138095806 2014.138095806 2108.256990131  
1800 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2221.095515604 1978.882653637 2060.340454910 1993.653151608 2074.258441851 2060.770891641 2011.447304513 1988.956061192 1985.013983992 1985.013983992 1999.169357305 1999.169357305 2079.046635119  
904 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3130.344824180 2956.359067657 3001.604004277 3094.410368223 3067.232853333 3035.713429776 3011.440310984 2916.576636441 3085.224091403 3085.224091403 2903.000090346 2903.000090346 2933.784969149  
1016 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3120.877332681 2901.376594057 2980.864096074 3068.474537994 3010.803932757 3029.371085179 2975.967604098 2923.223918905 3092.945331406 3092.945331406 2859.662408625 2859.662408625 2934.636177335  
1128 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3102.202836669 2845.583444338 2970.859259011 2995.707251224 3000.370182731 2979.838443142 2900.530374226 2917.947034544 3047.840755511 3047.840755511 2743.583176451 2743.583176451 2845.620932286  
1240 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3059.986187631 2831.690243183 2951.163975517 2944.922076619 2985.647365527 2970.394199258 2875.570822423 2881.226441274 2863.059113485 2863.059113485 2732.849190108 2732.849190108 2870.133187002  
1352 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3008.063708202 2817.823229623 2856.625062290 2900.745362056 2899.670092138 2851.066230818 2780.313306629 2775.485992437 2854.060422283 2854.060422283 2774.585218048 2774.585218048 2828.716358021  
1464 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3003.060519710 2743.692324048 2825.819420028 2887.554755714 2836.361464637 2808.356876989 2744.261007575 2775.564599516 2821.166516419 2821.166516419 2719.786973782 2719.786973782 2801.337755297  
1576 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2990.191933701 2735.563673953 2812.503827098 2860.603452101 2829.960592346 2795.067055160 2732.030440278 2774.994359841 2792.921523809 2792.921523809 2718.329625896 2718.329625896 2784.293273224  
1688 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2946.716992716 2718.412852353 2765.088272146 2829.041685399 2818.114444556 2774.531944129 2717.602316561 2775.150920199 2810.498168421 2810.498168421 2721.581068243 2721.581068243 2768.851900399  
1800 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2939.466115026 2712.838221329 2764.390331061 2823.573550827 2769.007667920 2774.135195920 2717.165705404 2774.215878440 2795.206131795 2795.206131795 2720.407380292 2720.407380292 2760.937260774  
904 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3398.019723898 3337.391590178 3279.499885526 3329.167294893 3301.909296396 3286.706396328 3276.614502101 3140.543417457 3363.954336064 3363.954336064 3122.307245392 3122.307245392 3262.576661572  
1016 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3354.757684161 3228.385336632 3251.427447716 3300.378209000 3224.890521704 3237.287229586 3191.158351894 3118.107429547 3367.673739884 3367.673739884 3022.901008831 3022.901008831 3250.594276340  
1128 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3332.245849255 3111.882373832 3223.426070039 3224.278461940 3202.417238865 3202.936903658 3150.578811159 3049.645619250 3204.366283673 3204.366283673 2967.582670931 2967.582670931 3216.985649918  
1240 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3275.233334887 3030.443425207 3182.563430933 3172.916758406 3180.496612446 3159.364162638 3113.187477310 3031.589911185 3122.067569208 3122.067569208 2900.099363284 2900.099363284 3195.017066934  
1352 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3244.572620402 2961.842926726 3171.249127650 3145.056937455 3168.715072290 3081.166708872 3074.853259556 2966.470713948 3100.508722635 3100.508722635 2892.403569453 2892.403569453 3171.776179714  
1464 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3229.002570721 2941.628158865 3126.274088671 3122.092981898 3086.344687140 3066.174809003 3060.019152751 2965.329311252 3082.497693429 3082.497693429 2881.475353523 2881.475353523 3123.384312795  
1576 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3214.373185764 2860.113425027 3044.585863345 3060.494710897 3013.969046592 3026.440364208 2974.285876290 2918.021439743 3059.827713839 3059.827713839 2876.747599185 2876.747599185 3061.307860739  
1688 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3178.837011649 2859.472722538 3017.807588573 3052.343775740 2984.050438568 3025.591568160 2968.698085856 2907.862563826 3034.362454663 3034.362454663 2883.444619135 2883.444619135 3077.025521898  
1800 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3178.240920972 2859.276416170 3010.165020962 3050.854036894 2969.533497375 3025.583223121 2952.371479443 2907.220616195 3026.694435129 3026.694435129 2890.647279940 2890.647279940 3043.958623780  
904 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3699.048719189 3424.422422552 3520.663413628 3524.613607691 3570.539110900 3561.249655478 3587.418320557 3413.245858520 3617.124869844 3617.124869844 3407.327437939 3407.327437939 3342.811604058  
1016 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3671.893145312 3373.865437306 3463.481359765 3446.782142029 3427.573023425 3487.925155186 3489.616955728 3299.362002930 3652.130791425 3652.130791425 3088.508117086 3088.508117086 3317.797839324  
1128 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3650.412473754 3258.131441102 3315.688773943 3354.633396612 3358.323547156 3348.195231797 3377.413754900 3327.248151135 3341.077330297 3341.077330297 3041.647520426 3041.647520426 3283.985790260  
1240 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3505.928667275 3179.555805169 3185.330451935 3244.977058803 3320.400245266 3200.765793677 3221.439963009 3177.888067169 3217.664305037 3217.664305037 2956.799652408 2956.799652408 3199.474961037  
1352 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3406.934566084 3120.943005642 3151.714800369 3159.329778917 3274.677712187 3125.588133170 3146.609845561 2885.970463761 2987.775540410 2987.775540410 2964.210823921 2964.210823921 3195.448703561  
1464 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3384.256678216 3064.868998134 3106.163611190 3066.902152408 3184.501636982 3085.607203572 3116.752302326 2901.419137999 2945.347510594 2945.347510594 2933.801814319 2933.801814319 3132.589365280  
1576 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3340.078259905 3005.359025216 3099.202374670 3031.450022235 3148.536033007 3062.496051150 3091.021342254 2878.914889488 2899.954681059 2899.954681059 2892.714110888 2892.714110888 3113.290649394  
1688 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3314.597281486 2928.990191441 3093.152124073 3022.899655018 3109.174699283 3058.618527550 3079.493500415 2861.594777314 2871.320390196 2871.320390196 2905.252608891 2905.252608891 3102.385234601  
1800 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3282.232962706 2892.636910434 3073.974779896 2982.391868678 3107.595434323 3058.432991530 3018.581943425 2855.617988382 2891.038173508 2891.038173508 2946.069890181 2946.069890181 3094.269725460  
904 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2795.578103073 2600.992270342 2683.446082109 2646.113445481 2706.225749936 2680.134639770 2664.754631054 2579.271635278 2669.181539582 2669.181539582 2502.806496192 2502.806496192 2659.626216984  
1016 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2761.826542702 2571.765373323 2577.969031075 2617.615462139 2577.805295703 2538.839047241 2595.530339805 2452.699146756 2631.088570515 2631.088570515 2286.867816676 2286.867816676 2564.254181057  
1128 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2726.608683379 2447.074670121 2554.678217132 2597.801430716 2562.383219732 2531.211710630 2580.859810245 2380.010928462 2684.067665281 2684.067665281 2255.369334932 2255.369334932 2552.702529739  
1240 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2704.628345261 2368.477614947 2503.038845213 2496.331386792 2514.411805176 2494.735088085 2515.460118740 2355.555130281 2445.202782151 2445.202782151 2196.061846063 2196.061846063 2473.943706781  
1352 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2667.484507043 2228.091402729 2419.896297708 2450.804642719 2458.439937351 2390.736787753 2389.910277413 2306.965482841 2369.499692308 2369.499692308 2216.923221531 2216.923221531 2442.725696373  
1464 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2629.601869441 2209.499050242 2397.936904789 2390.434081807 2395.962568228 2353.808579257 2352.115700896 2206.360476747 2244.506600494 2244.506600494 2233.193000887 2233.193000887 2438.649610041  
1576 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2594.888983779 2157.279337000 2361.370207211 2334.338787746 2395.200982679 2352.247276383 2351.170410749 2143.079274140 2262.585893580 2262.585893580 2219.951246306 2219.951246306 2427.701714935  
1688 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2563.941031571 2151.036587356 2355.039514304 2265.830630338 2388.690090430 2327.909305378 2340.110746233 2137.483986619 2195.978224337 2195.978224337 2157.730259647 2157.730259647 2373.051239624  
1800 2883.059719115 2064.027029594 2064.027029594 819.032689521 2064.027040503 2547.388138340 2150.591216759 2354.898472000 2262.070216020 2382.352900389 2326.353724347 2299.499330293 2091.658550993 2194.408769211 2194.408769211 2173.630083060 2173.630083060 2418.194549306  
904 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3363.482071647 3216.266983891 3241.927577038 3225.617996800 3268.561896017 3220.177448057 3231.801522005 3208.676907698 3187.761912237 3187.761912237 3135.290981381 3135.290981381 3075.148834559  
1016 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3308.163750498 3091.642247651 3193.045560295 3195.751497422 3204.277926578 3138.582272187 3131.203580146 3109.673747388 3205.496726344 3205.496726344 2862.726501191 2862.726501191 3054.209107896  
1128 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3285.228363187 3006.859959804 3170.379567089 3173.495612367 3123.641187950 3075.113860329 3051.249331173 3095.465490766 3025.720073161 3025.720073161 2763.115794838 2763.115794838 3058.347450749  
1240 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3216.496722851 2928.823035484 3032.510332064 3093.397928125 3024.732160903 2992.513001861 2977.249107808 2932.012777194 2874.658100141 2874.658100141 2723.245957067 2723.245957067 2904.724415901  
1352 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3186.236369388 2833.777401417 2950.771040366 2981.174535975 2991.162085841 2943.375787808 2882.680573022 2677.844357707 2765.378194046 2765.378194046 2732.196529256 2732.196529256 2946.253941903  
1464 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3137.815271934 2731.890965561 2861.289494543 2939.187909980 2860.844331457 2852.720366104 2822.027966487 2644.894251220 2752.321854308 2752.321854308 2676.914796153 2676.914796153 2845.961865516  
1576 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3126.921154577 2719.986847846 2834.966340546 2877.815795904 2843.872589402 2814.276141738 2795.519551623 2633.771326739 2727.341836753 2727.341836753 2683.750488547 2683.750488547 2849.243278605  
1688 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 3009.926573312 2669.297217632 2803.340403811 2840.947897989 2827.789816009 2764.941852733 2724.128622817 2633.823795044 2743.250186129 2743.250186129 2665.234905927 2665.234905927 2822.180539741  
1800 3401.169982585 2631.160838986 2631.160838986 770.009143599 2631.160850742 2987.067113466 2663.940187051 2791.464919443 2824.083924617 2790.063118397 2757.220219067 2698.992299917 2632.100309987 2768.750174465 2768.750174465 2686.601425819 2686.601425819 2784.466062850  
904 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2108.415977803 2070.115416683 2051.048584123 2082.545663681 2088.584872731 2083.129519608 2069.131625647 2074.042037103 2171.603226633 2171.603226633 2016.625876815 2016.625876815 2050.119442041  
1016 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2100.571170563 2034.016891626 2044.593246516 2067.083159590 2081.424074389 2044.862502881 2050.240686213 2055.540492911 2111.579737460 2111.579737460 1956.332834375 1956.332834375 2039.710907729  
1128 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2062.198004418 2018.249940813 1988.532467548 2043.818111598 2032.592522826 2001.817615847 2000.026930635 2024.740556054 2081.858216741 2081.858216741 1929.860445287 1929.860445287 1990.298954484  
1240 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2048.113070973 2009.356500163 1967.468865273 2007.272599342 2022.944603947 1992.098732661 1966.325363844 2014.369358783 2031.967300428 2031.967300428 1925.990656619 1925.990656619 1988.282113120  
1352 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2037.254443602 1959.687317406 1964.711076792 1991.865339363 2008.503625849 1989.362138694 1964.002174956 1986.457949570 2001.745381551 2001.745381551 1919.702257626 1919.702257626 1985.074538915  
1464 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2034.366946867 1918.636074115 1951.522249876 1989.478703021 1987.267869917 1988.046144767 1948.922481519 1974.850123369 1971.089052400 1971.089052400 1914.642117049 1914.642117049 1963.874727071  
1576 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2023.238000337 1912.108882928 1941.762139534 1981.643774102 1980.319722098 1970.238828358 1931.412317802 1972.106881843 1976.499369822 1976.499369822 1914.788384605 1914.788384605 1933.893512231  
1688 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2017.648164971 1910.919209445 1940.200718069 1976.143359347 1974.608607312 1970.238048562 1931.400408209 1970.965229330 1976.570524752 1976.570524752 1914.066814369 1914.066814369 1933.522945902  
1800 2232.119383753 1910.907138328 1910.907138328 321.212245425 1910.907149598 2016.869539860 1910.919051302 1939.736218497 1975.759837775 1974.161092728 1969.855632919 1931.015564473 1971.889686681 1975.495410399 1975.495410399 1913.845687284 1913.845687284 1921.113393959  
904 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 4128.982495872 3976.020637653 4065.844937702 4081.618581256 4040.884057835 4106.326987637 3997.282710489 3795.043681930 4015.386818690 4015.386818690 3728.827762374 3728.827762374 3863.592436522  
1016 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3970.926054253 3796.043227640 3926.418721477 3935.127410905 3873.471391582 3935.887863307 3769.377803990 3732.586047405 4022.049207886 4022.049207886 3466.645450368 3466.645450368 3713.542491574  
1128 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3944.039175259 3654.186225079 3863.085525798 3896.419133822 3842.285762749 3852.667219999 3737.544764612 3648.779749453 3850.947342838 3850.947342838 3378.998410860 3378.998410860 3702.940086902  
1240 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3817.456226191 3630.996515429 3804.303690219 3777.486462510 3780.677776117 3716.942130072 3666.752179872 3578.654193238 3650.177673845 3650.177673845 3401.138767122 3401.138767122 3656.861044387  
1352 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3757.585754748 3463.883083774 3716.656126371 3730.751207831 3677.715355865 3684.573475408 3630.034400582 3394.291409679 3533.499797661 3533.499797661 3360.881106643 3360.881106643 3641.471871207  
1464 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3682.283020390 3385.144653804 3559.419005027 3634.264878387 3610.692788730 3492.473395322 3480.021119974 3354.419518684 3523.826413118 3523.826413118 3358.797997680 3358.797997680 3570.984522345  
1576 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3628.170909142 3328.002398198 3530.009150954 3582.391280836 3556.338984638 3467.075706789 3459.261936057 3343.418103752 3491.925346536 3491.925346536 3361.365644061 3361.365644061 3553.199026301  
1688 4281.440875539 3281.296731670 3281.296731670 1000.144143869 3281.296743383 3588.909078406 3283.556269567 3510.414156169 3536.132471957 3552.828843392 3427.197896793 3421.399192133 3343.775927538 3493.683158564 3493.683158564 3329.585201010 3329.585201010 3489.500168573  
