capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
1836044288 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2150.894416987 2059.056838735 2058.640497898 2124.167150658 2127.457059070 2023.605448229 2032.391309275 2064.663189927 2064.663189927 1984.336841244 1984.336841244 1994.621781768
2065549824 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2076.664971625 2042.188823877 2045.025719677 2101.222440792 2127.223816514 2013.990963108 2032.158969068 2031.918246426 2031.918246426 1978.830273981 1978.830273981 2016.491807745
2295055360 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2054.460015411 2036.433948225 2044.482765431 2098.635192986 2127.223816514 2013.913931567 2032.077696796 2031.918246426 2031.918246426 1973.386851987 1973.386851987 1993.204699951
2524560896 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2028.962618408 1991.486523951 2033.261726507 2068.741247172 2117.071637073 1994.466696922 2031.998295533 2031.918246426 2031.918246426 1973.452582358 1973.452582358 1978.939215621
2754066432 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.373285873 2032.995620430 2041.976096106 2112.106458310 1975.292160837 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
2983571968 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.373285873 2032.995620430 2032.981777102 2107.290570989 1975.292160837 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.599307865
3213077504 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.007090654 2032.895808511 2013.294795682 2097.540186463 1975.219935804 2031.918246426 2031.918246426 2031.918246426 1973.913242244 1973.913242244 1973.913242244
3442583040 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1974.007090654 2032.895808511 1999.349752027 2097.364224982 1974.909990512 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.790842379
3672088576 2497.756903213 1973.346393920 1973.346393920 524.410509293	1973.373399590 2017.953753802 1973.989278190 2032.612013903 1981.080807045 2073.410988225 1974.909990512 2031.918246426 2031.918246426 2031.918246426 1973.373399590 1973.373399590 1973.373399590
1836044288 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2893.784484486 2884.727816599 2889.483088836 2866.481047138 2925.992298189 2826.221888758 2816.406070263 2899.522632567 2899.522632567 2819.861899639 2819.861899639 2853.021942101
2065549824 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2889.612577280 2861.406006199 2872.813756191 2853.257853139 2925.670875406 2811.775500445 2776.420694415 2858.535012387 2858.535012387 2776.589506632 2776.589506632 2803.153875566
2295055360 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2867.007174995 2845.027731088 2872.669288934 2842.852444143 2925.559320345 2811.734241476 2768.229813366 2831.854546348 2831.854546348 2712.821266947 2712.821266947 2779.859294135
2524560896 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2866.049813686 2844.657438797 2838.656071102 2810.011001547 2925.026676386 2773.862786139 2743.150009360 2831.730242081 2831.730242081 2720.185471706 2720.185471706 2770.807043575
2754066432 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2866.049813686 2741.981038769 2808.624304039 2748.386870619 2895.114462559 2714.224977174 2713.519751268 2801.720140535 2801.720140535 2712.824747277 2712.824747277 2733.976740321
2983571968 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2840.495914575 2741.939759454 2808.508232883 2737.061761377 2895.008353439 2714.224977174 2713.237795533 2800.716648653 2800.716648653 2714.566397238 2714.566397238 2722.932396914
3213077504 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2728.064221463 2808.228834427 2734.876682747 2894.638061148 2714.038490258 2713.237795533 2798.195415399 2798.195415399 2715.248829504 2715.248829504 2717.836128038
3442583040 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2728.064221463 2808.228834427 2729.961898251 2894.596781833 2714.038490258 2713.237795533 2796.643162079 2796.643162079 2715.457478392 2715.457478392 2719.075291172
3672088576 3224.159740139 2712.820000628 2712.820000628 511.339739511	2712.821266947 2782.004773745 2717.860104390 2807.684124141 2721.371437047 2894.409517484 2713.845186103 2713.237795533 2785.954250275 2785.954250275 2712.821266947 2712.821266947 2713.675766589
1836044288 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3118.834169136 3088.536525892 3104.251851929 3087.480451784 3147.304172863 3045.372888103 3070.176264485 3075.994010654 3075.994010654 3070.126977603 3070.126977603 3074.375527836
2065549824 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3118.200788337 3088.536525892 3066.614305555 3063.672617022 3147.015578230 3038.153128717 2997.185992719 3060.457773765 3060.457773765 2986.695445578 2986.695445578 3012.066992766
2295055360 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3087.256050405 3052.416624382 3049.176647162 3051.110204985 3085.260384541 3020.208049610 2957.171957287 3034.818728508 3034.818728508 2953.810024822 2953.810024822 2986.610170113
2524560896 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3067.964070487 3033.736557611 3030.339272362 3036.355033378 3078.159449439 3004.834606435 2933.835440772 3021.651933758 3021.651933758 2928.101797466 2928.101797466 2958.139165992
2754066432 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3020.606326950 3000.709520356 3022.710982362 2994.070742596 3076.731199290 2978.099937731 2922.166343104 2997.396582611 2997.396582611 2907.675153959 2907.675153959 2922.544981683
2983571968 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 3020.032465655 2982.859820117 3006.989739347 2994.070742596 3076.536326875 2978.099937731 2912.226769459 2974.220085387 2974.220085387 2901.018181223 2901.018181223 2923.927624837
3213077504 3546.279020652 2844.379780181 2844.379780181 701.899240471	2844.379828062 2954.870284887 2967.940695129 2995.648225353 2991.998679830 3062.009318880 2947.960151564 2904.763273365 2981.201728143 2981.201728143 2877.241867049 2877.241867049 2900.198786554
