capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
899 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2419.025195792 2334.495438788 2333.924315887 2361.587498369 2363.599699544 2369.512092557 2402.450271416 2273.850923769 2388.558830370 2388.558830370 2284.226852585 2284.226852585 2290.058792848  
1011 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2365.945780467 2242.469921488 2269.171144190 2249.769742065 2279.467930320 2313.974448263 2309.054303017 2298.068574639 2409.820945417 2409.820945417 2303.354159705 2303.354159705 2186.398036829  
1235 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2347.595460317 2178.717472632 2222.475622537 2177.549291967 2236.792677960 2242.745667603 2210.374376808 2245.839353192 2230.959245481 2230.959245481 2007.702263108 2007.702263108 2174.677095803  
1347 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2296.299671465 2141.049503400 2143.099171084 2137.463728188 2166.020100881 2188.215615514 2160.114005871 2155.721797562 2213.691662550 2213.691662550 2061.336803626 2061.336803626 2127.687003009  
1459 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2283.483211439 2014.351964984 2130.822677723 2103.748096544 2151.886553865 2126.906569474 2085.497309528 2034.391451964 2052.614748522 2052.614748522 2020.697725018 2020.697725018 2112.103231804  
1571 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2273.634841377 1991.052232131 2061.964737417 2085.530599467 2079.563214736 2063.602587008 2012.355488234 1996.718953065 2059.674326538 2059.674326538 2013.347739013 2013.347739013 2090.394273863  
1683 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2221.863940168 1985.018867772 2060.888514056 2078.721358120 2076.489245535 2062.714004352 2011.447632110 1988.956996996 2015.970374203 2015.970374203 2012.434276460 2012.434276460 2104.249157303  
1795 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2221.095515604 1978.882658841 2060.688560442 1993.653151608 2074.258441851 2060.770891641 2011.447304513 1986.840293349 1988.691238318 1988.691238318 1999.170982728 1999.170982728 2088.330975475  
899 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3131.864561047 2956.957461958 3001.604062479 3094.410607486 3067.232853333 3035.713744389 3011.440748963 2916.722215712 3045.623637378 3045.623637378 2914.776118568 2914.776118568 2951.589186291  
1011 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3120.877374676 2901.376763086 2980.893788145 3068.474698449 3033.385785449 3029.371166692 2975.967691982 2902.196525682 3095.146690780 3095.146690780 2925.920012488 2925.920012488 2931.803985116  
1235 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3065.416038773 2831.812473320 2951.164166343 2944.922115598 2985.647462294 2970.394329112 2875.570964077 2894.694858655 2860.887684210 2860.887684210 2732.843582724 2732.843582724 2865.132774079  
1347 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3008.202272866 2823.162331210 2857.936457712 2906.275729998 2900.981506410 2856.274473997 2785.652028422 2775.554187229 2845.645345939 2845.645345939 2775.513541950 2775.513541950 2823.647765431  
1459 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 3003.061825271 2744.410697703 2825.819420028 2887.554798707 2836.361464637 2808.356876989 2744.261007575 2775.436527821 2786.583305396 2786.583305396 2719.841953304 2719.841953304 2801.015571216  
1571 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2990.191933701 2735.563674558 2812.503827098 2861.087696423 2829.960592346 2795.551389122 2732.444589371 2775.252590232 2783.119269708 2783.119269708 2721.958834981 2721.958834981 2786.809208820  
1683 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2946.717099866 2718.848627053 2800.049027725 2829.041755161 2823.349750070 2774.531944129 2717.602316561 2774.108024895 2809.327564238 2809.327564238 2721.694735933 2721.694735933 2775.696152165  
1795 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2939.813792685 2712.838221329 2764.390331061 2823.573550827 2769.007688824 2774.135195920 2717.165705404 2774.386293107 2795.983913627 2795.983913627 2720.407354839 2720.407354839 2762.598767467  
899 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3398.440997319 3337.403123961 3279.500013582 3329.167415538 3301.909434853 3287.116497190 3276.958560166 3137.070529286 3391.662468413 3391.662468413 3141.560693272 3141.560693272 3266.338536965  
1011 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3358.912433441 3234.201614683 3257.559046644 3300.757071892 3231.022191311 3237.664381235 3191.537366909 3154.339420134 3348.008810651 3348.008810651 2971.158054367 2971.158054367 3208.792352581  
1235 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3275.271122532 3036.033509631 3183.031807694 3172.916956573 3180.964916991 3159.364496421 3113.187597669 3017.663347441 3139.777175196 3139.777175196 2902.321175222 2902.321175222 3174.805691015  
1347 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3244.572677978 2967.064452870 3171.249182341 3145.245189420 3168.715154102 3081.354863759 3075.049539256 2959.025999836 3068.256482615 3068.256482615 2880.073962596 2880.073962596 3165.143705521  
1459 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3229.002630505 2947.562655066 3126.274208419 3127.702311681 3086.344749466 3071.768306021 3065.630473183 2967.903455740 3054.058788197 3054.058788197 2949.760567375 2949.760567375 3144.384590187  
1571 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3214.373185764 2865.946725751 3050.197145175 3060.494710897 3013.969046592 3026.440418340 2974.285925348 2920.452110803 3017.831525675 3017.831525675 2978.594419331 2978.594419331 3065.163435821  
1683 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3178.837104985 2859.472735207 3017.807588573 3052.343775740 3007.037992644 3025.591597123 2968.698170119 2906.748603030 3023.532624742 3023.532624742 2913.208378090 2913.208378090 3082.302392957  
1795 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3178.240920972 2859.276416170 3010.165020962 3050.854036894 2969.533531652 3025.583223121 2952.371479443 2906.673867978 3022.357044840 3022.357044840 2890.030266364 2890.030266364 3071.051993494  
899 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3730.192314168 3425.520948459 3537.304421412 3531.419739004 3576.107983928 3561.504510329 3587.677260444 3411.755985223 3718.620815243 3718.620815243 3415.410222452 3415.410222452 3241.416627002  
1011 3851.458851773 2846.194544607 2846.194544607 1005.264307166 2846.194556290 3671.893233995 3373.865725002 3469.269113162 3446.782951358 3428.025049138 3488.063251812 3489.802628845 3368.069156242 3596.066426232 3596.066426232 3069.784433043 3069.784433043 3260.682695081  
