capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	OMIM OS OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
176400 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145322510 1.145669445 1.147953992 1.145685757 1.148224189 1.148389680 1.144384357 1.144393548 1.144393548 1.144964471 1.144964471 1.144753513
198450 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145322510 1.145669445 1.147953992 1.145685757 1.148224189 1.148389680 1.144384357 1.144393548 1.144393548 1.144964471 1.144964471 1.144753513
220500 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.145150895 1.145482944 1.147953992 1.145576561 1.148197262 1.148239517 1.143204769 1.143539289 1.143539289 1.144607469 1.144607469 1.143364282
242550 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.143836740 1.144491263 1.144357615 1.144460184 1.143743607 1.143383417 1.133326901 1.133191738 1.133191738 1.138655017 1.138655017 1.130921153
264600 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.140384924 1.142390703 1.131664895 1.142295777 1.130120407 1.129200034 1.129602277 1.125374752 1.125374752 1.122347429 1.122347429 1.123702330
286650 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.140384924 1.142092849 1.131664895 1.141997923 1.130120407 1.129200034 1.128688102 1.124217210 1.124217210 1.121385409 1.121385409 1.122442892
308700 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.133070945 1.135626073 1.124605431 1.135432393 1.125271271 1.124809197 1.119209042 1.110849984 1.110849984 1.109205149 1.109205149 1.108468896
330750 1.151277372 1.047510764 1.047510764 0.103766608	1.047536743 1.088004292 1.093602718 1.086777938 1.093105569 1.085791705 1.086396014 1.066306322 1.059816555 1.059816555 1.061864197 1.061864197 1.057346885
176400 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097632931 1.097988939 1.100876301 1.097961362 1.100202817 1.100360749 1.096497239 1.096539761 1.096539761 1.097276101 1.097276101 1.097105000
198450 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097632931 1.097988939 1.100876301 1.097961362 1.100202817 1.100360749 1.096497239 1.096539761 1.096539761 1.097276101 1.097276101 1.097105000
220500 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.097447694 1.097891313 1.100490846 1.097961362 1.100156265 1.100258975 1.095415502 1.094842995 1.094842995 1.097070710 1.097070710 1.095598478
242550 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.095776479 1.096985459 1.094789825 1.097093251 1.093733220 1.095114784 1.083554631 1.080391506 1.080391506 1.091772150 1.091772150 1.080468531
264600 1.104228927 1.000185396 1.000185396 0.104043531	1.000210559 1.091601505 1.093531381 1.084173928 1.095024073 1.083800329 1.083781976 1.077420511 1.074416737 1.074416737 1.069587849 1.069587849 1.071112153
