#input_size get_time acc_size acc_time op_type overall_time
2808 0.000969900 2808 0.000013710 add_time= 0.002414354
2750 0.000113556 2750 0.000008183 add_time= 0.000137660
2500 0.000095900 2500 0.000016023 add_time= 0.000128210
2500 0.000126148 2500 0.000009656 add_time= 0.000152407
2750 0.000452906 2750 0.000007624 add_time= 0.000488414
2550 0.000088426 2550 0.000006867 add_time= 0.000110392
2550 0.000074154 2550 0.000007853 add_time= 0.000098250
2600 0.000124677 2600 0.000010376 add_time= 0.000209418
2652 0.000293230 2652 0.000009327 add_time= 0.000347678
2750 0.000129131 2750 0.000019426 add_time= 0.000191458
2704 0.000011319 2704 0.000028119 add_time= 0.000072178
2600 0.000266945 2600 0.000007180 add_time= 0.000309656
2970 0.000143892 2970 0.000009330 add_time= 0.000181657
2500 0.000355635 2500 0.000008622 add_time= 0.000404575
2550 0.000103481 2550 0.000007852 add_time= 0.000148049
2600 0.000094919 2600 0.000009491 add_time= 0.000128904
2700 0.000134297 2700 0.000007540 add_time= 0.000160075
2805 0.000057165 2805 0.000007850 add_time= 0.000083586
2500 0.000075033 2500 0.000017570 add_time= 0.000109058
5400 0.002129934 2915 0.000010936 mult_time= 0.002370533
5200 0.001138561 2703 0.000009111 mult_time= 0.001303602
3978 0.001180311 1325 0.000007253 mult_time= 0.001279151
5250 0.001183798 2750 0.000008415 mult_time= 0.001274049
5500 0.001279128 2500 0.000008161 mult_time= 0.001373696
4125 0.001216990 1250 0.000007390 mult_time= 0.001296492
5355 0.000099957 2750 0.000084830 mult_time= 0.000275725
5200 0.000098726 2500 0.000034926 mult_time= 0.000229377
5000 0.000080033 2500 0.000024151 mult_time= 0.000181906
5100 0.000098505 2600 0.000024785 mult_time= 0.000197217
5610 0.000092344 2600 0.000024792 mult_time= 0.000191998
5150 0.000054391 2652 0.000025223 mult_time= 0.000153316
5100 0.000072865 2600 0.000024337 mult_time= 0.000219402
5200 0.000136088 2704 0.000033962 mult_time= 0.000253957
5356 0.000229902 2652 0.000007858 mult_time= 0.000321505
5100 0.000409845 2600 0.000009071 mult_time= 0.000495519
5100 0.000844387 2600 0.000007630 mult_time= 0.000927673
5400 0.001906470 2500 0.000008008 mult_time= 0.001994753
5000 0.001727205 2500 0.000007581 mult_time= 0.001809926
5250 0.001696853 2750 0.000010114 mult_time= 0.001787011
5250 0.003365989 2750 0.000007495 mult_time= 0.003449921
5250 0.001726600 2750 0.000008019 mult_time= 0.001808623
5250 0.001271589 2750 0.000007898 mult_time= 0.001357990
5000 0.002332410 2500 0.000007687 mult_time= 0.002413029
5720 0.006449324 2700 0.000007912 mult_time= 0.006523550
5565 0.006826321 2750 0.000008260 mult_time= 0.006886073
5000 0.005137545 2500 0.000007271 mult_time= 0.005189031
5408 0.002631288 2700 0.000008162 mult_time= 0.002690553
5200 0.005048446 2500 0.000007867 mult_time= 0.005104150
5400 0.000122413 2915 0.000008390 mult_time= 0.000185148
5350 0.001428054 2860 0.000008192 mult_time= 0.001487610
5250 0.001662886 2750 0.000007939 mult_time= 0.001720913
5565 0.003329490 2750 0.000008035 mult_time= 0.003386169
5200 0.002953789 2703 0.000007546 mult_time= 0.003008176
5406 0.004270732 2805 0.000007776 mult_time= 0.004327875
5300 0.002617042 2805 0.000007995 mult_time= 0.002673423
5508 0.000984400 2600 0.000007510 mult_time= 0.001039179
5670 0.001178815 2750 0.000019395 mult_time= 0.001259383
5353 0.001651169 2550 0.000007976 mult_time= 0.001707079
5500 0.004605333 2500 0.000008877 mult_time= 0.004688979
5406 0.006117709 2805 0.000008008 mult_time= 0.006183933
2600 0.000069042 2703 0.000012038 mult_time= 0.000130183
5150 0.000109611 2652 0.000008446 mult_time= 0.000196066
5555 0.000568734 2550 0.000007594 mult_time= 0.000634084
5050 0.001110459 2550 0.000007590 mult_time= 0.001173754
3800 0.001160660 1275 0.000026023 mult_time= 0.001241440
5250 0.001297048 2750 0.000008148 mult_time= 0.001363908
5250 0.002187306 2750 0.000008387 mult_time= 0.002250120
5250 0.002073031 2750 0.000008365 mult_time= 0.002143928
5406 0.000059800 2808 0.000007990 mult_time= 0.000131015
5450 0.000148955 2970 0.000008023 mult_time= 0.000214607
5200 0.000290882 2700 0.000007589 mult_time= 0.000350708
5355 0.001658672 2754 0.000008007 mult_time= 0.001724021
3950 0.000088200 1350 0.000007905 mult_time= 0.000152643
5500 0.002525016 2500 0.000008762 mult_time= 0.002609285
2625 0.003394350 2750 0.000011345 mult_time= 0.003454083
5000 0.002297602 2500 0.000008165 mult_time= 0.002359858
5200 0.001833521 2500 0.000009196 mult_time= 0.001898890
5350 0.000128411 2860 0.000008803 mult_time= 0.000214284
5610 0.000053773 3025 0.000008695 mult_time= 0.000125791
5250 0.000195049 2750 0.000017508 mult_time= 0.000266036
5250 0.000202064 2750 0.000007772 mult_time= 0.000264327
5500 0.000993300 3025 0.000008409 mult_time= 0.001066302
5000 0.001034099 2500 0.000008043 mult_time= 0.001095865
5250 0.000925543 2750 0.000008447 mult_time= 0.000987608
5050 0.001105580 2550 0.000011263 mult_time= 0.001258110
4125 0.001951909 1250 0.000007014 mult_time= 0.002001994
3750 0.000848634 1250 0.000007529 mult_time= 0.000902961
4000 0.001276019 1375 0.000007097 mult_time= 0.001323892
3750 0.000999140 1250 0.000006604 mult_time= 0.001060480
5355 0.001067714 2756 0.000011201 mult_time= 0.001204982
5508 0.001845810 2915 0.000022055 mult_time= 0.001948119
5253 0.002218167 2650 0.000008419 mult_time= 0.002284576
5100 0.001912880 2600 0.000008565 mult_time= 0.001990237
5500 0.001219571 2500 0.000007819 mult_time= 0.001281043
1875 0.001296353 1250 0.000006731 mult_time= 0.001343482
5500 0.000081169 2500 0.000022584 mult_time= 0.000160344
5151 0.000061315 2550 0.000023369 mult_time= 0.000134807
5202 0.000187891 2600 0.000030057 mult_time= 0.000267757
5671 0.000069250 2860 0.000024913 mult_time= 0.000152116
5665 0.000057591 2652 0.000023483 mult_time= 0.000133053
5100 0.000218959 2600 0.000034832 mult_time= 0.000316908
5202 0.000097794 2600 0.000007684 mult_time= 0.000154864
5253 0.000217813 2652 0.000007901 mult_time= 0.000289270
5000 0.000872747 2500 0.000018443 mult_time= 0.000938952
5250 0.000750729 2750 0.000010633 mult_time= 0.000813667
5250 0.000737357 2750 0.000008436 mult_time= 0.000819341
5500 0.000666847 2500 0.000007321 mult_time= 0.000724353
