#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
48400 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.238940365 1.242913140 1.253591670 1.241135247 1.248409061 1.246026539 1.224149970 1.222863994 1.222863994 1.226068587 1.226068587 1.227407523
53240 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.237899624 1.241031763 1.248479423 1.239116850 1.245123850 1.242555244 1.213038750 1.210845291 1.210845291 1.214363993 1.214363993 1.217241146
58080 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.236761903 1.239530881 1.245048500 1.237645741 1.242623982 1.240088477 1.211171377 1.209787828 1.209787828 1.212136619 1.212136619 1.215949315
62920 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.223150938 1.226107425 1.217392068 1.224349292 1.219269448 1.216515232 1.170408822 1.145793283 1.145793283 1.195171967 1.195171967 1.162415043
67760 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.205111363 1.213096200 1.183031260 1.210459799 1.184903268 1.185481716 1.167566643 1.141662823 1.141662823 1.177317098 1.177317098 1.162874696
72600 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.198475952 1.203918651 1.173032589 1.201441807 1.173775348 1.174163607 1.158395020 1.129889667 1.129889667 1.155810633 1.155810633 1.153562157
77440 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.188420273 1.190149182 1.159062885 1.187408565 1.159154751 1.159323795 1.152016059 1.124813770 1.124813770 1.148120908 1.148120908 1.149951291
82280 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.148789307 1.152683002 1.124627653 1.151419045 1.124057809 1.124244169 1.064882835 1.010703574 1.010703574 1.050195566 1.050195566 1.031345196
87120 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 1.012206822 1.016882877 1.003845606 1.013134724 0.989574459 0.989886067 0.955921029 0.941143547 0.941143547 0.931849859 0.931849859 0.962821825
91960 1.264964919 0.892538525 0.892538525 0.372426394	0.892549370 0.952489333 0.957701717 0.953855519 0.954524322 0.930958710 0.930818929 0.940947898 0.938517545 0.938517545 0.931809717 0.931809717 0.949524758
48400 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.254842429 1.256391449 1.266938324 1.255622921 1.261514661 1.260423564 1.238911608 1.238433812 1.238433812 1.241861523 1.241861523 1.241147342
53240 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.253733577 1.253987955 1.262436363 1.253313891 1.255892250 1.256185385 1.227556765 1.226618672 1.226618672 1.229924896 1.229924896 1.230498900
58080 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.252593185 1.252828353 1.258359544 1.252216821 1.253869417 1.253768562 1.225554314 1.223395162 1.223395162 1.227213398 1.227213398 1.228961430
62920 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.237890157 1.240974823 1.231574524 1.239372026 1.230171549 1.228562932 1.186482379 1.160015542 1.160015542 1.214640984 1.214640984 1.171944887
67760 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.221132397 1.228059750 1.198468436 1.225594251 1.201072882 1.201153848 1.181826175 1.155408467 1.155408467 1.196538293 1.196538293 1.162286097
72600 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.214483053 1.221709886 1.187984073 1.218986694 1.192168673 1.192200541 1.175109905 1.143066225 1.143066225 1.155961943 1.155961943 1.150568822
77440 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.204721958 1.209939845 1.175661296 1.207689420 1.177531028 1.177263608 1.169393159 1.139358968 1.139358968 1.145053433 1.145053433 1.147356235
82280 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.168089447 1.171988951 1.143310203 1.170753835 1.143011517 1.142816905 1.082716433 1.027135144 1.027135144 1.061111229 1.061111229 1.044326501
87120 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 1.042587099 1.046958636 1.032634942 1.043414576 1.022060599 1.022780386 0.988400471 0.973555245 0.973555245 0.971690919 0.971690919 0.985261558
91960 1.278532655 0.943129239 0.943129239 0.335403416	0.943139922 0.985439181 0.988864662 0.983856477 0.985961932 0.965408113 0.965525956 0.974466732 0.971327068 0.971327068 0.968245039 0.968245039 0.980080080
48400 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.232363008 1.235454712 1.246569973 1.233672106 1.239583146 1.238214650 1.215723000 1.214425176 1.214425176 1.218462831 1.218462831 1.218244784
53240 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.230957451 1.233832960 1.241397259 1.231993672 1.236058026 1.234484908 1.203958515 1.201860855 1.201860855 1.206573324 1.206573324 1.209993684
58080 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.229723295 1.232704043 1.236988600 1.230866811 1.233463682 1.229966291 1.203074304 1.198067407 1.198067407 1.203911586 1.203911586 1.208711190
62920 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.213831066 1.217512668 1.208279857 1.216071764 1.209253964 1.206227264 1.162937092 1.140903635 1.140903635 1.191868341 1.191868341 1.152200301
67760 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.195923916 1.202975318 1.173089223 1.198302653 1.178342301 1.177122432 1.160921823 1.134653551 1.134653551 1.174249671 1.174249671 1.155840215
72600 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.190033967 1.196359845 1.163512875 1.191103384 1.168689414 1.167415057 1.150316601 1.124634532 1.124634532 1.151680828 1.151680828 1.148251008
77440 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.180507702 1.182169670 1.150181646 1.176600264 1.154249571 1.152981097 1.145806145 1.120324022 1.120324022 1.144769696 1.144769696 1.145843906
82280 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.140314500 1.146023532 1.117491209 1.140837046 1.116079786 1.114430742 1.058325786 1.005558869 1.005558869 1.045996201 1.045996201 1.023167846
87120 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 1.011030164 1.014508089 1.000755915 1.008962143 0.986405514 0.985320505 0.955842749 0.937421380 0.937421380 0.927751340 0.927751340 0.952005273
91960 1.257328044 0.887793322 0.887793322 0.369534722	0.887803660 0.950325139 0.952456892 0.948740685 0.947436878 0.928161842 0.927717775 0.937507621 0.933904947 0.933904947 0.926783751 0.926783751 0.943554333
48400 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.216694098 1.220134606 1.231324824 1.218409378 1.224504977 1.222961363 1.203241628 1.201872870 1.201872870 1.205256037 1.205256037 1.204762662
53240 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.215227856 1.218756069 1.227310137 1.216827194 1.221172596 1.219164759 1.192995010 1.191575620 1.191575620 1.194303665 1.194303665 1.196889728
58080 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.214176261 1.217740306 1.223854318 1.215647395 1.219089914 1.216890545 1.191123516 1.189771611 1.189771611 1.192141999 1.192141999 1.195589080
62920 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.200943692 1.205123541 1.197967068 1.204440024 1.194533671 1.192997412 1.155247673 1.131280215 1.131280215 1.180651723 1.180651723 1.145491681
67760 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.186173921 1.192561617 1.163671777 1.190837626 1.168239204 1.167689571 1.150893546 1.127217447 1.127217447 1.172451062 1.172451062 1.145353823
72600 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.180490774 1.184455995 1.152728264 1.183129334 1.158241176 1.157719527 1.143888267 1.117020604 1.117020604 1.139877169 1.139877169 1.139420436
77440 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.171422934 1.172357520 1.140108368 1.170786584 1.145264970 1.144555799 1.138864594 1.112814085 1.112814085 1.134037335 1.134037335 1.136314904
82280 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.130873484 1.134193131 1.108031057 1.133121162 1.108749303 1.108499491 1.050119179 0.998536524 0.998536524 1.036626934 1.036626934 1.012380608
87120 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 1.001651378 1.002233774 0.989805845 1.000751521 0.979572569 0.977807355 0.945010021 0.929345287 0.929345287 0.922290201 0.922290201 0.948882022
91960 1.240917166 0.882542426 0.882542426 0.358374740	0.882552256 0.941674471 0.943000211 0.940882174 0.941145287 0.922311863 0.922403783 0.930171877 0.927808589 0.927808589 0.922423608 0.922423608 0.936857857
48400 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.230328205 1.233966645 1.244485667 1.231837169 1.238299943 1.238427659 1.214118163 1.212448230 1.212448230 1.215618399 1.215618399 1.217877754
53240 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.229515527 1.232165610 1.239621420 1.230172609 1.233837129 1.234188317 1.202466241 1.201213727 1.201213727 1.205089866 1.205089866 1.207619907
58080 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.228282820 1.230874061 1.236591268 1.228999240 1.231135384 1.231380510 1.200930980 1.199712237 1.199712237 1.201863094 1.201863094 1.206523451
62920 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.212204696 1.216132967 1.207957089 1.214113116 1.207305595 1.206477226 1.161883251 1.138623152 1.138623152 1.184589240 1.184589240 1.153716457
67760 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.193914554 1.201140794 1.173679946 1.199161585 1.174760995 1.175265845 1.158440564 1.131299791 1.131299791 1.174255811 1.174255811 1.153674751
72600 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.187652207 1.193404861 1.161431253 1.191304011 1.163347805 1.164062223 1.147819955 1.121474812 1.121474812 1.147459225 1.147459225 1.146519332
77440 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.177821694 1.179851720 1.148637955 1.177909486 1.149966123 1.150859079 1.143375001 1.117741061 1.117741061 1.141789911 1.141789911 1.144044177
82280 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.137159569 1.141452530 1.116385630 1.141648607 1.115070778 1.116234103 1.055167721 1.004552287 1.004552287 1.042894807 1.042894807 1.019523350
87120 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 1.007527461 1.012387920 0.996029547 1.010416934 0.982923034 0.983947496 0.951352058 0.934445389 0.934445389 0.926542322 0.926542322 0.955012366
91960 1.255957193 0.888833663 0.888833663 0.367123530	0.888844927 0.946778045 0.950932704 0.947105702 0.947327121 0.925534141 0.925942585 0.934486755 0.932557017 0.932557017 0.926545612 0.926545612 0.941405955
48400 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.259538749 1.261052499 1.271765045 1.260023458 1.265364524 1.265321129 1.242751085 1.241961720 1.241961720 1.245773656 1.245773656 1.244829054
53240 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.258061462 1.258913401 1.267231172 1.257622202 1.261779615 1.261762129 1.231756221 1.231592481 1.231592481 1.235144726 1.235144726 1.235398033
58080 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.256817093 1.257257592 1.263570141 1.255818006 1.258719739 1.258202958 1.229828279 1.228112816 1.228112816 1.232317090 1.232317090 1.234130726
62920 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.241195694 1.245788585 1.237136186 1.243884541 1.237272829 1.232266379 1.188388275 1.162576623 1.162576623 1.223255580 1.223255580 1.174835971
67760 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.225473270 1.233774127 1.202943299 1.231783384 1.208065984 1.206937527 1.185237070 1.159464606 1.159464606 1.207901518 1.207901518 1.166267185
72600 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.219564119 1.226852417 1.192911764 1.224756306 1.199935626 1.198716716 1.179060023 1.149328981 1.149328981 1.160213165 1.160213165 1.157597799
77440 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.209596932 1.214849637 1.179137045 1.212440411 1.187292301 1.185682280 1.174481043 1.145949251 1.145949251 1.150736368 1.150736368 1.153056531
82280 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.171769542 1.175517713 1.145748419 1.175334778 1.152619042 1.151433326 1.084524878 1.028963842 1.028963842 1.059922232 1.059922232 1.050112310
87120 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 1.045095636 1.048204591 1.032131862 1.045861525 1.021502620 1.020252529 0.988030691 0.972885845 0.972885845 0.973220806 0.973220806 0.985769262
91960 1.283161964 0.941327293 0.941327293 0.341834671	0.941337652 0.983359507 0.986528676 0.982188545 0.984062454 0.965513176 0.964499274 0.972979318 0.969906579 0.969906579 0.967358739 0.967358739 0.977318857
48400 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.255543166 1.257351204 1.268555012 1.256185517 1.260658329 1.260905817 1.239645050 1.237984985 1.237984985 1.240823343 1.240823343 1.240313131
53240 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.253766621 1.255248889 1.263428604 1.253932135 1.257082573 1.255961085 1.227373150 1.226449722 1.226449722 1.229682085 1.229682085 1.230171289
58080 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.252219517 1.253900540 1.260322428 1.252541915 1.254088750 1.253123700 1.225104903 1.224044978 1.224044978 1.227221776 1.227221776 1.229478937
62920 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.237164756 1.240076768 1.232048518 1.238595183 1.232373410 1.232132762 1.183865511 1.159142395 1.159142395 1.215763794 1.215763794 1.170073202
67760 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.220431167 1.227423328 1.195968530 1.226177534 1.203131535 1.204346978 1.180293886 1.152636612 1.152636612 1.196236506 1.196236506 1.159976226
72600 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.214548016 1.219509453 1.187192792 1.217745186 1.193221388 1.193927187 1.171588984 1.141213200 1.141213200 1.154150995 1.154150995 1.147861231
77440 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.203747991 1.205433010 1.173283951 1.203232004 1.178969057 1.179497830 1.166184003 1.137513150 1.137513150 1.142270597 1.142270597 1.145214077
82280 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.161835980 1.163645941 1.139370083 1.163371289 1.142276926 1.142927162 1.077398313 1.022549813 1.022549813 1.051423585 1.051423585 1.039054350
87120 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 1.036242608 1.040018894 1.024576526 1.037772031 1.016300250 1.015668928 0.982613677 0.969227053 0.969227053 0.968206571 0.968206571 0.982248106
91960 1.279779171 0.940778119 0.940778119 0.339001052	0.940788321 0.980765190 0.983739811 0.979108187 0.980767141 0.962215690 0.962176688 0.969749031 0.966835442 0.966835442 0.965197857 0.965197857 0.976104456
48400 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.248254646 1.250470765 1.260764149 1.248893313 1.255273841 1.255472862 1.232065349 1.229760931 1.229760931 1.233685444 1.233685444 1.233777527
53240 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.246894089 1.248899840 1.255870719 1.247530787 1.250980435 1.251687741 1.219769142 1.219836476 1.219836476 1.222999029 1.222999029 1.224051874
