#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
48400 0.595561035 0.372426394 0.223134641 0.372426394
53240 0.595561035 0.372426394 0.223134641 0.372426394
58080 0.595561035 0.372426394 0.223134641 0.372426394
62920 0.595561035 0.372426394 0.223134641 0.372426394
67760 0.595561035 0.372426394 0.223134641 0.372426394
72600 0.595561035 0.372426394 0.223134641 0.372426394
77440 0.595561035 0.372426394 0.223134641 0.372426394
82280 0.595561035 0.372426394 0.223134641 0.372426394
87120 0.595561035 0.372426394 0.223134641 0.372426394
91960 0.595561035 0.372426394 0.223134641 0.372426394
48400 0.571185691 0.335403416 0.235782275 0.335403416
53240 0.571185691 0.335403416 0.235782275 0.335403416
58080 0.571185691 0.335403416 0.235782275 0.335403416
62920 0.571185691 0.335403416 0.235782275 0.335403416
67760 0.571185691 0.335403416 0.235782275 0.335403416
72600 0.571185691 0.335403416 0.235782275 0.335403416
77440 0.571185691 0.335403416 0.235782275 0.335403416
82280 0.571185691 0.335403416 0.235782275 0.335403416
87120 0.571185691 0.335403416 0.235782275 0.335403416
91960 0.571185691 0.335403416 0.235782275 0.335403416
48400 0.591483062 0.369534722 0.221948340 0.369534722
53240 0.591483062 0.369534722 0.221948340 0.369534722
58080 0.591483062 0.369534722 0.221948340 0.369534722
62920 0.591483062 0.369534722 0.221948340 0.369534722
67760 0.591483062 0.369534722 0.221948340 0.369534722
72600 0.591483062 0.369534722 0.221948340 0.369534722
77440 0.591483062 0.369534722 0.221948340 0.369534722
82280 0.591483062 0.369534722 0.221948340 0.369534722
87120 0.591483062 0.369534722 0.221948340 0.369534722
91960 0.591483062 0.369534722 0.221948340 0.369534722
48400 0.579010383 0.358374740 0.220635643 0.358374740
53240 0.579010383 0.358374740 0.220635643 0.358374740
58080 0.579010383 0.358374740 0.220635643 0.358374740
62920 0.579010383 0.358374740 0.220635643 0.358374740
67760 0.579010383 0.358374740 0.220635643 0.358374740
72600 0.579010383 0.358374740 0.220635643 0.358374740
77440 0.579010383 0.358374740 0.220635643 0.358374740
82280 0.579010383 0.358374740 0.220635643 0.358374740
87120 0.579010383 0.358374740 0.220635643 0.358374740
91960 0.579010383 0.358374740 0.220635643 0.358374740
48400 0.589331917 0.367123530 0.222208387 0.367123530
53240 0.589331917 0.367123530 0.222208387 0.367123530
58080 0.589331917 0.367123530 0.222208387 0.367123530
62920 0.589331917 0.367123530 0.222208387 0.367123530
67760 0.589331917 0.367123530 0.222208387 0.367123530
72600 0.589331917 0.367123530 0.222208387 0.367123530
77440 0.589331917 0.367123530 0.222208387 0.367123530
82280 0.589331917 0.367123530 0.222208387 0.367123530
87120 0.589331917 0.367123530 0.222208387 0.367123530
91960 0.589331917 0.367123530 0.222208387 0.367123530
48400 0.577166517 0.341834671 0.235331846 0.341834671
53240 0.577166517 0.341834671 0.235331846 0.341834671
58080 0.577166517 0.341834671 0.235331846 0.341834671
62920 0.577166517 0.341834671 0.235331846 0.341834671
67760 0.577166517 0.341834671 0.235331846 0.341834671
72600 0.577166517 0.341834671 0.235331846 0.341834671
77440 0.577166517 0.341834671 0.235331846 0.341834671
82280 0.577166517 0.341834671 0.235331846 0.341834671
87120 0.577166517 0.341834671 0.235331846 0.341834671
91960 0.577166517 0.341834671 0.235331846 0.341834671
48400 0.574195582 0.339001052 0.235194530 0.339001052
53240 0.574195582 0.339001052 0.235194530 0.339001052
58080 0.574195582 0.339001052 0.235194530 0.339001052
62920 0.574195582 0.339001052 0.235194530 0.339001052
67760 0.574195582 0.339001052 0.235194530 0.339001052
72600 0.574195582 0.339001052 0.235194530 0.339001052
77440 0.574195582 0.339001052 0.235194530 0.339001052
82280 0.574195582 0.339001052 0.235194530 0.339001052
87120 0.574195582 0.339001052 0.235194530 0.339001052
91960 0.574195582 0.339001052 0.235194530 0.339001052
48400 0.578316908 0.346776162 0.231540746 0.346776162
53240 0.578316908 0.346776162 0.231540746 0.346776162
58080 0.578316908 0.346776162 0.231540746 0.346776162
62920 0.578316908 0.346776162 0.231540746 0.346776162
67760 0.578316908 0.346776162 0.231540746 0.346776162
72600 0.578316908 0.346776162 0.231540746 0.346776162
77440 0.578316908 0.346776162 0.231540746 0.346776162
82280 0.578316908 0.346776162 0.231540746 0.346776162
87120 0.578316908 0.346776162 0.231540746 0.346776162
91960 0.578316908 0.346776162 0.231540746 0.346776162
48400 0.588724010 0.364844403 0.223879607 0.364844403
53240 0.588724010 0.364844403 0.223879607 0.364844403
58080 0.588724010 0.364844403 0.223879607 0.364844403
62920 0.588724010 0.364844403 0.223879607 0.364844403
67760 0.588724010 0.364844403 0.223879607 0.364844403
72600 0.588724010 0.364844403 0.223879607 0.364844403
77440 0.588724010 0.364844403 0.223879607 0.364844403
82280 0.588724010 0.364844403 0.223879607 0.364844403
87120 0.588724010 0.364844403 0.223879607 0.364844403
91960 0.588724010 0.364844403 0.223879607 0.364844403
48400 0.571572109 0.336492739 0.235079370 0.336492739
53240 0.571572109 0.336492739 0.235079370 0.336492739
58080 0.571572109 0.336492739 0.235079370 0.336492739
62920 0.571572109 0.336492739 0.235079370 0.336492739
67760 0.571572109 0.336492739 0.235079370 0.336492739
72600 0.571572109 0.336492739 0.235079370 0.336492739
77440 0.571572109 0.336492739 0.235079370 0.336492739
82280 0.571572109 0.336492739 0.235079370 0.336492739
87120 0.571572109 0.336492739 0.235079370 0.336492739
91960 0.571572109 0.336492739 0.235079370 0.336492739
48400 0.579727590 0.345639272 0.234088318 0.345639272
53240 0.579727590 0.345639272 0.234088318 0.345639272
58080 0.579727590 0.345639272 0.234088318 0.345639272
62920 0.579727590 0.345639272 0.234088318 0.345639272
67760 0.579727590 0.345639272 0.234088318 0.345639272
