#input_size get_time acc_size acc_time op_type overall_time
2600 0.000908753 2600 0.000015683 add_time= 0.002393825
2805 0.000060195 2805 0.000009466 add_time= 0.000085833
2805 0.000105919 2805 0.000009148 add_time= 0.000131068
2700 0.000114264 2700 0.000008970 add_time= 0.000137801
2750 0.000125637 2750 0.000006349 add_time= 0.000145384
2500 0.000236224 2500 0.000010106 add_time= 0.000272052
2750 0.000091096 2750 0.000007114 add_time= 0.000113801
2754 0.000092820 2754 0.000008012 add_time= 0.000116825
1375 0.000093438 1375 0.000011807 add_time= 0.000155551
2700 0.000081097 2700 0.000006217 add_time= 0.000140147
2550 0.000062756 2550 0.000008076 add_time= 0.000090091
2808 0.000086427 2808 0.000006445 add_time= 0.000108359
2704 0.000012121 2704 0.000089462 add_time= 0.000138269
1275 0.000074550 1275 0.000007347 add_time= 0.000098385
2750 0.000191818 2750 0.000006650 add_time= 0.000216942
2500 0.000351439 2500 0.000020448 add_time= 0.000411491
2601 0.000279013 2601 0.000007213 add_time= 0.000312950
2500 0.000050056 2500 0.000010883 add_time= 0.000085927
2650 0.000154529 2650 0.000019574 add_time= 0.000196259
2652 0.000433233 2652 0.000010328 add_time= 0.000471752
2500 0.000174730 2500 0.000006121 add_time= 0.000195299
5940 0.001937667 2915 0.000011346 mult_time= 0.002127280
5253 0.001299204 2650 0.000008322 mult_time= 0.001374215
5150 0.001601260 2650 0.000008429 mult_time= 0.001664471
5300 0.002557982 2500 0.000008486 mult_time= 0.002622264
5050 0.001270523 2550 0.000008012 mult_time= 0.001329937
5150 0.002925061 2650 0.000008596 mult_time= 0.002991293
5050 0.000031749 2550 0.000023240 mult_time= 0.000111519
5200 0.000083544 2500 0.000023402 mult_time= 0.000159086
5200 0.000045847 2704 0.000024347 mult_time= 0.000124632
5100 0.000053391 2600 0.000020538 mult_time= 0.000122474
5100 0.000067593 2600 0.000035553 mult_time= 0.000155732
2575 0.000061583 2652 0.000036228 mult_time= 0.000154606
4081 0.000311810 1300 0.000017969 mult_time= 0.000374871
5100 0.000093226 2600 0.000007727 mult_time= 0.000160658
5150 0.000010446 2652 0.000008965 mult_time= 0.000074154
5100 0.000396410 2600 0.000010444 mult_time= 0.000457779
5202 0.000800035 2600 0.000008209 mult_time= 0.000865934
5000 0.002460812 2500 0.000007833 mult_time= 0.002519074
5000 0.001924104 2500 0.000007972 mult_time= 0.001981479
5350 0.000108850 2860 0.000010822 mult_time= 0.000174246
2625 0.000061029 2750 0.000007940 mult_time= 0.000108232
5250 0.000110406 2750 0.000007437 mult_time= 0.000170365
5300 0.002847116 2805 0.000008073 mult_time= 0.002909948
5000 0.001099044 2500 0.000007822 mult_time= 0.001154034
5000 0.001344814 2500 0.000007747 mult_time= 0.001401407
5050 0.002521605 2550 0.000007707 mult_time= 0.002579290
5100 0.002713990 2500 0.000007766 mult_time= 0.002770994
5350 0.003598053 2860 0.000008665 mult_time= 0.003664695
5300 0.005057575 2805 0.000008203 mult_time= 0.005118244
5100 0.005996444 2600 0.000007717 mult_time= 0.006051220
5000 0.004770355 2500 0.000007241 mult_time= 0.004822301
5200 0.004347886 2500 0.000007523 mult_time= 0.004400718
5500 0.004427864 2500 0.000007066 mult_time= 0.004481668
5250 0.003206595 2750 0.000007433 mult_time= 0.003262899
5940 0.001691011 3025 0.000012453 mult_time= 0.001763965
5250 0.002773263 2750 0.000011334 mult_time= 0.002833665
5250 0.003287714 2750 0.000008368 mult_time= 0.003346917
