#input_size get_time acc_size acc_time op_type overall_time
2750 0.000093639 2750 0.000014259 add_time= 0.001612474
2750 0.000030645 2750 0.000008332 add_time= 0.000072935
2550 0.000148907 2550 0.000008364 add_time= 0.000174531
2650 0.000326025 2650 0.000008865 add_time= 0.000363062
3025 0.000089366 3025 0.000007388 add_time= 0.000114550
2862 0.000019351 2862 0.000028753 add_time= 0.000073839
2915 0.000075686 2915 0.000006360 add_time= 0.000098556
2808 0.000132982 2808 0.000080919 add_time= 0.000306839
2550 0.000440182 2550 0.000007396 add_time= 0.000463656
2500 0.000096704 2500 0.000007644 add_time= 0.000127304
2652 0.000168000 2652 0.000008051 add_time= 0.000192563
2500 0.000141612 2500 0.000006436 add_time= 0.000163229
2550 0.000124627 2550 0.000019103 add_time= 0.000186600
2601 0.000025081 2601 0.000014950 add_time= 0.000063979
2500 0.000111051 2500 0.000017202 add_time= 0.000184510
2750 0.000193081 2750 0.000006855 add_time= 0.000239602
2754 0.000113797 2754 0.000018550 add_time= 0.000159140
5565 0.004425512 2756 0.000011568 mult_time= 0.004652679
5200 0.001624082 2703 0.000009329 mult_time= 0.001718849
5150 0.001068990 2650 0.000008185 mult_time= 0.001167601
5000 0.001171406 2500 0.000007457 mult_time= 0.001274941
5555 0.001202441 2550 0.000008698 mult_time= 0.001306514
3750 0.001245997 1250 0.000007458 mult_time= 0.001346571
5100 0.000675502 2500 0.000008024 mult_time= 0.000792548
5252 0.002449285 2550 0.000012837 mult_time= 0.002571233
5460 0.006386656 2756 0.000008459 mult_time= 0.006485455
5150 0.002855542 2652 0.000008081 mult_time= 0.002943531
5610 0.001137275 2600 0.000008108 mult_time= 0.001231723
5564 0.005136791 2860 0.000008282 mult_time= 0.005227047
5200 0.001181841 2500 0.000008379 mult_time= 0.001271840
5355 0.001186858 2750 0.000009034 mult_time= 0.001292070
5720 0.001740650 2700 0.000038979 mult_time= 0.001896140
5885 0.001465093 2860 0.000008223 mult_time= 0.001560520
5300 0.002703346 2805 0.000008433 mult_time= 0.002845773
4000 0.001469764 1375 0.000007264 mult_time= 0.001553657
5250 0.006147746 2750 0.000008225 mult_time= 0.006241968
5000 0.002787376 2500 0.000008266 mult_time= 0.002878193
5720 0.004083863 3025 0.000009230 mult_time= 0.004189120
