#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
48400 0.483993677 0.372426394 0.111567283 0.372426394
53240 0.483993677 0.372426394 0.111567283 0.372426394
58080 0.483993677 0.372426394 0.111567283 0.372426394
62920 0.483993677 0.372426394 0.111567283 0.372426394
67760 0.483993677 0.372426394 0.111567283 0.372426394
72600 0.483993677 0.372426394 0.111567283 0.372426394
77440 0.483993677 0.372426394 0.111567283 0.372426394
82280 0.483993677 0.372426394 0.111567283 0.372426394
87120 0.483993677 0.372426394 0.111567283 0.372426394
91960 0.483993677 0.372426394 0.111567283 0.372426394
48400 0.453294625 0.335403416 0.117891209 0.335403416
53240 0.453294625 0.335403416 0.117891209 0.335403416
58080 0.453294625 0.335403416 0.117891209 0.335403416
62920 0.453294625 0.335403416 0.117891209 0.335403416
67760 0.453294625 0.335403416 0.117891209 0.335403416
72600 0.453294625 0.335403416 0.117891209 0.335403416
77440 0.453294625 0.335403416 0.117891209 0.335403416
82280 0.453294625 0.335403416 0.117891209 0.335403416
87120 0.453294625 0.335403416 0.117891209 0.335403416
91960 0.453294625 0.335403416 0.117891209 0.335403416
48400 0.480508922 0.369534722 0.110974200 0.369534722
53240 0.480508922 0.369534722 0.110974200 0.369534722
58080 0.480508922 0.369534722 0.110974200 0.369534722
62920 0.480508922 0.369534722 0.110974200 0.369534722
67760 0.480508922 0.369534722 0.110974200 0.369534722
72600 0.480508922 0.369534722 0.110974200 0.369534722
77440 0.480508922 0.369534722 0.110974200 0.369534722
82280 0.480508922 0.369534722 0.110974200 0.369534722
87120 0.480508922 0.369534722 0.110974200 0.369534722
91960 0.480508922 0.369534722 0.110974200 0.369534722
48400 0.468692563 0.358374740 0.110317823 0.358374740
53240 0.468692563 0.358374740 0.110317823 0.358374740
58080 0.468692563 0.358374740 0.110317823 0.358374740
62920 0.468692563 0.358374740 0.110317823 0.358374740
67760 0.468692563 0.358374740 0.110317823 0.358374740
72600 0.468692563 0.358374740 0.110317823 0.358374740
77440 0.468692563 0.358374740 0.110317823 0.358374740
82280 0.468692563 0.358374740 0.110317823 0.358374740
87120 0.468692563 0.358374740 0.110317823 0.358374740
91960 0.468692563 0.358374740 0.110317823 0.358374740
48400 0.478227778 0.367123530 0.111104248 0.367123530
53240 0.478227778 0.367123530 0.111104248 0.367123530
58080 0.478227778 0.367123530 0.111104248 0.367123530
62920 0.478227778 0.367123530 0.111104248 0.367123530
67760 0.478227778 0.367123530 0.111104248 0.367123530
72600 0.478227778 0.367123530 0.111104248 0.367123530
77440 0.478227778 0.367123530 0.111104248 0.367123530
82280 0.478227778 0.367123530 0.111104248 0.367123530
87120 0.478227778 0.367123530 0.111104248 0.367123530
91960 0.478227778 0.367123530 0.111104248 0.367123530
48400 0.459500584 0.341834671 0.117665913 0.341834671
53240 0.459500584 0.341834671 0.117665913 0.341834671
58080 0.459500584 0.341834671 0.117665913 0.341834671
62920 0.459500584 0.341834671 0.117665913 0.341834671
67760 0.459500584 0.341834671 0.117665913 0.341834671
72600 0.459500584 0.341834671 0.117665913 0.341834671
77440 0.459500584 0.341834671 0.117665913 0.341834671
82280 0.459500584 0.341834671 0.117665913 0.341834671
87120 0.459500584 0.341834671 0.117665913 0.341834671
91960 0.459500584 0.341834671 0.117665913 0.341834671
48400 0.456598380 0.339001052 0.117597328 0.339001052
53240 0.456598380 0.339001052 0.117597328 0.339001052
58080 0.456598380 0.339001052 0.117597328 0.339001052
62920 0.456598380 0.339001052 0.117597328 0.339001052
67760 0.456598380 0.339001052 0.117597328 0.339001052
72600 0.456598380 0.339001052 0.117597328 0.339001052
77440 0.456598380 0.339001052 0.117597328 0.339001052
82280 0.456598380 0.339001052 0.117597328 0.339001052
87120 0.456598380 0.339001052 0.117597328 0.339001052
91960 0.456598380 0.339001052 0.117597328 0.339001052
48400 0.462546537 0.346776162 0.115770375 0.346776162
53240 0.462546537 0.346776162 0.115770375 0.346776162
58080 0.462546537 0.346776162 0.115770375 0.346776162
62920 0.462546537 0.346776162 0.115770375 0.346776162
67760 0.462546537 0.346776162 0.115770375 0.346776162
72600 0.462546537 0.346776162 0.115770375 0.346776162
77440 0.462546537 0.346776162 0.115770375 0.346776162
82280 0.462546537 0.346776162 0.115770375 0.346776162
87120 0.462546537 0.346776162 0.115770375 0.346776162
91960 0.462546537 0.346776162 0.115770375 0.346776162
48400 0.476784190 0.364844403 0.111939787 0.364844403
53240 0.476784190 0.364844403 0.111939787 0.364844403
