optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
0.372426716 0.475487117 0.480272769 0.481321824 0.475683513 0.476736786 0.476719469 0.471922728 0.470723851 0.470723851 0.471875044 0.471875044 0.472679345
0.372426716 0.475130428 0.479092757 0.480026573 0.475147552 0.476234249 0.476160724 0.468732843 0.467807606 0.467807606 0.467657502 0.467657502 0.469418424
0.372426716 0.474849411 0.478346929 0.478898958 0.474646028 0.475805338 0.475738730 0.467934520 0.466223139 0.466223139 0.467437119 0.467437119 0.468950348
0.372426716 0.470865877 0.471996455 0.471929270 0.471159608 0.470616625 0.471065856 0.462068809 0.446996217 0.446996217 0.458885916 0.458885916 0.459793469
0.372426716 0.466740544 0.464363164 0.462699862 0.467656331 0.466321301 0.465868932 0.461701084 0.444936157 0.444936157 0.466793941 0.466793941 0.466617526
0.372426716 0.464736441 0.461301680 0.459811134 0.464817346 0.463932548 0.463371331 0.459239048 0.439124160 0.439124160 0.463508728 0.463508728 0.465734687
0.372426716 0.461199095 0.456965283 0.455270721 0.461010291 0.459046449 0.458531789 0.458647562 0.436723764 0.436723764 0.466191932 0.466191932 0.464925356
0.372426716 0.449235590 0.446390477 0.444490366 0.450026839 0.448842369 0.448058380 0.428635647 0.409987680 0.409987680 0.429301456 0.429301456 0.430967246
0.372426716 0.409434774 0.408364468 0.407502884 0.409102380 0.407066015 0.406310048 0.393971405 0.389563477 0.389563477 0.391413665 0.391413665 0.390685647
0.372426716 0.392128740 0.392234329 0.392156429 0.392109400 0.389051621 0.388341319 0.390131690 0.389342481 0.389342481 0.389232674 0.389232674 0.390442691
0.335403761 0.443758767 0.448545839 0.450166869 0.443616763 0.444823429 0.444822278 0.439886222 0.438840757 0.438840757 0.439931469 0.439931469 0.440705304
0.335403761 0.443414555 0.447432122 0.448774265 0.442837479 0.444065816 0.444096542 0.436570676 0.435323519 0.435323519 0.435720693 0.435720693 0.437532639
0.335403761 0.443076240 0.446443169 0.447668787 0.442435932 0.443681120 0.443707005 0.436058846 0.434685543 0.434685543 0.435336236 0.435336236 0.436960568
0.335403761 0.438723520 0.439719367 0.439681826 0.438548524 0.439220439 0.439105754 0.428956993 0.414274204 0.414274204 0.410104633 0.410104633 0.426795201
0.335403761 0.434074323 0.431774963 0.429896660 0.434684544 0.435180144 0.435012096 0.431090215 0.412896060 0.412896060 0.434513619 0.434513619 0.433225540
0.335403761 0.431837869 0.429096431 0.426395124 0.432372240 0.432282829 0.432201886 0.425701985 0.407101384 0.407101384 0.431380317 0.431380317 0.430970245
0.335403761 0.427856550 0.424866212 0.421889382 0.428764350 0.427046453 0.427350430 0.425142850 0.405199808 0.405199808 0.434013635 0.434013635 0.431664755
0.335403761 0.415257308 0.413234209 0.411385325 0.415835254 0.415656052 0.415812888 0.394646770 0.375258785 0.375258785 0.394997237 0.394997237 0.394889911
0.335403761 0.373639057 0.373627403 0.371732045 0.374210031 0.371811304 0.371507810 0.358252141 0.353919274 0.353919274 0.354993079 0.354993079 0.356499159
0.335403761 0.355815087 0.356299284 0.356234218 0.355961676 0.352869890 0.352123259 0.353891722 0.353532861 0.353532861 0.353247249 0.353247249 0.354451937
0.369535076 0.472438822 0.477084199 0.478026251 0.472467430 0.473411423 0.473495567 0.468601870 0.467211079 0.467211079 0.468518462 0.468518462 0.469332515
0.369535076 0.472028756 0.475955153 0.476629501 0.471848928 0.472702707 0.472773455 0.465265377 0.463912631 0.463912631 0.464791286 0.464791286 0.466571662
0.369535076 0.471819656 0.474972442 0.475362339 0.471545050 0.472284403 0.472314739 0.464836841 0.463230064 0.463230064 0.464383563 0.464383563 0.466101786
0.369535076 0.467180308 0.468230789 0.467977045 0.467666926 0.468201773 0.467251191 0.460007995 0.442427764 0.442427764 0.459367415 0.459367415 0.457607727
0.369535076 0.462498698 0.460412135 0.459391722 0.463147575 0.463471998 0.462898381 0.458735938 0.448478622 0.448478622 0.463977475 0.463977475 0.463579414
0.369535076 0.460769536 0.457619240 0.456301622 0.461002694 0.461214312 0.460769292 0.456235434 0.442836021 0.442836021 0.460387000 0.460387000 0.462867037
0.369535076 0.457506355 0.453988475 0.452067026 0.456649825 0.456906816 0.456278093 0.454448485 0.434485310 0.434485310 0.463494162 0.463494162 0.463079601
0.369535076 0.445465662 0.443181653 0.441573605 0.444917738 0.446336368 0.445664790 0.426045663 0.406038103 0.406038103 0.425464501 0.425464501 0.424777999
0.369535076 0.406875389 0.404769116 0.404440804 0.405902231 0.404863936 0.405174352 0.391326208 0.388746061 0.388746061 0.388931621 0.388931621 0.388317091
0.369535076 0.390147164 0.389300249 0.389544615 0.389034077 0.386626232 0.386445168 0.387334842 0.387506544 0.387506544 0.385690626 0.385690626 0.388005097
0.358375119 0.460735482 0.465601481 0.466450610 0.461066788 0.461825430 0.461752587 0.457397481 0.456598362 0.456598362 0.456922895 0.456922895 0.458096404
0.358375119 0.460312571 0.464473775 0.465345684 0.460603996 0.461166990 0.461237801 0.454221421 0.452970717 0.452970717 0.453607460 0.453607460 0.455124975
0.358375119 0.459964928 0.463792396 0.464357293 0.460193869 0.460875282 0.460817197 0.453872782 0.451762633 0.451762633 0.453064822 0.453064822 0.454673547
0.358375119 0.456140967 0.457402312 0.457240985 0.456957301 0.457032466 0.456377971 0.448501761 0.434508939 0.434508939 0.439618299 0.439618299 0.448829472
0.358375119 0.452030002 0.449602486 0.448481002 0.453553498 0.453521079 0.452782321 0.446505054 0.432910423 0.432910423 0.452726804 0.452726804 0.448671659
0.358375119 0.450212154 0.446635602 0.445162339 0.450861952 0.451079848 0.450457213 0.443753404 0.428475511 0.428475511 0.450034507 0.450034507 0.451733722
0.358375119 0.446939899 0.442885781 0.440883054 0.447039834 0.446402353 0.445818376 0.445048803 0.424486262 0.424486262 0.452257700 0.452257700 0.451682496
0.358375119 0.434128296 0.431733553 0.429919472 0.435713933 0.435513823 0.433914080 0.413502279 0.396175875 0.396175875 0.413872726 0.413872726 0.413279748
0.358375119 0.395509770 0.393479157 0.393023838 0.395247776 0.391086730 0.391702624 0.379951363 0.377206525 0.377206525 0.377347162 0.377347162 0.378580892
0.358375119 0.378596052 0.378822825 0.378795279 0.378468300 0.373735003 0.373278330 0.376530534 0.376242827 0.376242827 0.375211280 0.375211280 0.377090754
0.367123873 0.470247864 0.474701436 0.475573710 0.470225810 0.471110495 0.470065758 0.466185212 0.465569187 0.465569187 0.466095894 0.466095894 0.467060258
0.367123873 0.470043844 0.473397816 0.474255668 0.469814077 0.470735845 0.469685717 0.463053058 0.461885707 0.461885707 0.462503990 0.462503990 0.464079543
0.367123873 0.469660184 0.472567441 0.473414309 0.469408945 0.470448462 0.469362704 0.462387083 0.460764249 0.460764249 0.462163230 0.462163230 0.463634542
0.367123873 0.465093496 0.465666900 0.465632332 0.465598150 0.466048257 0.464931179 0.457438731 0.446346228 0.446346228 0.440260566 0.440260566 0.459554582
0.367123873 0.460317438 0.458278900 0.457229700 0.461777453 0.460961149 0.460770662 0.454946878 0.448682470 0.448682470 0.461666561 0.461666561 0.460152403
0.367123873 0.458607399 0.455500049 0.454115801 0.459751350 0.459128986 0.458691508 0.455658186 0.435250528 0.435250528 0.459304119 0.459304119 0.460477356
