#input_size get_time acc_size acc_time op_type overall_time
2500 0.000112211 2500 0.000016195 add_time= 0.002172512
2754 0.000082114 2754 0.000020756 add_time= 0.000120327
2700 0.000196298 2700 0.000017801 add_time= 0.000230565
2652 0.000008538 2652 0.000016215 add_time= 0.000046857
2860 0.000058930 2860 0.000007191 add_time= 0.000084402
2970 0.000033229 2970 0.000007448 add_time= 0.000058583
2500 0.000616242 2500 0.000047524 add_time= 0.000715668
2601 0.000392632 2601 0.000017149 add_time= 0.000427824
2650 0.000718206 2650 0.000008871 add_time= 0.000756975
2650 0.000308676 2650 0.000008144 add_time= 0.000334254
2750 0.000162888 2750 0.000008852 add_time= 0.000197095
2750 0.001179923 2750 0.000019319 add_time= 0.001283146
2600 0.000057272 2600 0.000005990 add_time= 0.000079925
2915 0.000657023 2915 0.000010240 add_time= 0.000709281
2500 0.000128612 2500 0.000007582 add_time= 0.000165707
2550 0.000048152 2550 0.000006686 add_time= 0.000079478
1275 0.000042602 1275 0.000005952 add_time= 0.000102959
2650 0.002438872 2809 0.000013017 mult_time= 0.002556759
5400 0.003299261 2915 0.000009208 mult_time= 0.003397196
2600 0.002743156 2703 0.000008620 mult_time= 0.002794408
5000 0.001583794 2500 0.000007436 mult_time= 0.001640040
5460 0.001425212 2750 0.000007559 mult_time= 0.001485984
5252 0.001218875 2550 0.000007943 mult_time= 0.001280808
5356 0.001162621 2650 0.000007437 mult_time= 0.001232863
5250 0.000756742 2750 0.000008250 mult_time= 0.000827578
5454 0.002904228 2550 0.000008220 mult_time= 0.002972180
5512 0.002901825 2704 0.000008762 mult_time= 0.002983463
5304 0.006653113 2600 0.000008476 mult_time= 0.006714521
5250 0.000080943 2756 0.000009465 mult_time= 0.000203121
5200 0.000036311 2704 0.000009860 mult_time= 0.000100827
5100 0.004866227 2600 0.000014487 mult_time= 0.004933933
5100 0.000043471 2500 0.000014895 mult_time= 0.000111797
2625 0.000041519 2750 0.000015777 mult_time= 0.000101707
5300 0.000673929 2500 0.000014539 mult_time= 0.000743070
5724 0.000077248 2915 0.000015790 mult_time= 0.000157339
5500 0.000178131 3025 0.000016692 mult_time= 0.000253866
2750 0.000082940 3025 0.000042539 mult_time= 0.000202424
5830 0.000408459 2805 0.000008022 mult_time= 0.000488289
4320 0.000482821 1375 0.000007208 mult_time= 0.000539722
5100 0.000671875 2600 0.000007616 mult_time= 0.000727584
5000 0.001439933 2500 0.000030958 mult_time= 0.001519322
5500 0.002628461 2500 0.000007994 mult_time= 0.002686432
5355 0.002814288 2750 0.000008000 mult_time= 0.002870964
5610 0.003447029 3025 0.000008183 mult_time= 0.003511289
5830 0.000139348 2805 0.000007748 mult_time= 0.000199068
5559 0.002677057 2970 0.000030040 mult_time= 0.002758409
5000 0.001065939 2500 0.000007836 mult_time= 0.001122990
5355 0.002445109 2750 0.000008148 mult_time= 0.002506005
5353 0.002610642 2550 0.000008249 mult_time= 0.002667984
5250 0.004229941 2750 0.000029217 mult_time= 0.004314355
5100 0.009181923 2600 0.000008010 mult_time= 0.009236813
5940 0.000089028 2915 0.000007945 mult_time= 0.000150896
5775 0.000227551 2750 0.000008678 mult_time= 0.000290033
5250 0.001488505 2750 0.000008378 mult_time= 0.001555834
5775 0.005488448 2750 0.000007861 mult_time= 0.005549808
5150 0.002602865 2652 0.000030371 mult_time= 0.002680932
5610 0.000131540 2601 0.000008046 mult_time= 0.000190881
5202 0.005004043 2601 0.000007872 mult_time= 0.005063593
5565 0.003957646 2750 0.000008888 mult_time= 0.004019736
5200 0.004152905 2500 0.000007844 mult_time= 0.004207937
5665 0.003807497 2652 0.000014895 mult_time= 0.003875042
5050 0.002462205 2550 0.000030520 mult_time= 0.002544823
5460 0.002483341 2754 0.000008595 mult_time= 0.002542973
5050 0.002133817 2550 0.000010366 mult_time= 0.002237544
5100 0.001227912 2601 0.000032690 mult_time= 0.001313173
5050 0.001732975 2550 0.000008967 mult_time= 0.001790562
5000 0.001434653 2500 0.000008163 mult_time= 0.001489687
5775 0.002191526 2750 0.000009415 mult_time= 0.002255499
5200 0.002435707 2500 0.000030250 mult_time= 0.002513612
5830 0.000070548 2808 0.000008470 mult_time= 0.000139914
5408 0.001681745 2700 0.000008018 mult_time= 0.001739839
5775 0.002278496 2754 0.000008531 mult_time= 0.002341564
5500 0.003654850 2500 0.000007737 mult_time= 0.003711462
5300 0.002918162 2500 0.000034338 mult_time= 0.003004430
3900 0.001621583 1250 0.000007609 mult_time= 0.001676478
5500 0.001598240 3025 0.000010005 mult_time= 0.001665395
5250 0.001033193 2750 0.000008756 mult_time= 0.001104579
5775 0.001422585 2750 0.000008603 mult_time= 0.001485235
5000 0.000746509 2500 0.000007856 mult_time= 0.000803975
5720 0.001986179 2700 0.000008423 mult_time= 0.002045067
3750 0.001952640 1250 0.000007119 mult_time= 0.001997853
4400 0.003421864 1375 0.000007286 mult_time= 0.003469225
3900 0.001017654 1250 0.000028881 mult_time= 0.001091127
5300 0.000530997 2809 0.000008327 mult_time= 0.000632211
5150 0.002223941 2650 0.000008479 mult_time= 0.002289642
5400 0.001972038 2915 0.000008408 mult_time= 0.002039246
5100 0.001748924 2600 0.000008427 mult_time= 0.001811089
5775 0.001447908 2750 0.000008259 mult_time= 0.001515575
5250 0.001200349 2750 0.000007832 mult_time= 0.001262205
5100 0.000170318 2600 0.000008829 mult_time= 0.000287271
5000 0.000544632 2500 0.000031862 mult_time= 0.000628376
5000 0.001490482 2500 0.000008574 mult_time= 0.001559718
5100 0.002444104 2600 0.000008058 mult_time= 0.002505286
5304 0.004801084 2600 0.000008152 mult_time= 0.004859241
5202 0.000041759 2600 0.000045588 mult_time= 0.000140389
5304 0.004379015 2600 0.000008985 mult_time= 0.004466184
4235 0.000078675 1300 0.000069244 mult_time= 0.000195869
5250 0.000054658 2750 0.000016544 mult_time= 0.000139346
5050 0.000083525 2550 0.000016028 mult_time= 0.000154190
5350 0.000049362 2860 0.000016239 mult_time= 0.000150647
5250 0.000063316 2750 0.000024780 mult_time= 0.000162550
5300 0.000061601 2805 0.000008886 mult_time= 0.000153146
5775 0.000216569 2750 0.000009377 mult_time= 0.000285871
5610 0.000277866 3025 0.000008365 mult_time= 0.000357154
5406 0.000253926 2600 0.000007800 mult_time= 0.000314690
5250 0.000439265 2750 0.000007597 mult_time= 0.000502731
5500 0.000599885 2500 0.000008133 mult_time= 0.000671873
5355 0.000141585 2750 0.000007841 mult_time= 0.000201853
5300 0.000331339 2805 0.000007806 mult_time= 0.000393295
5250 0.000485765 2750 0.000007539 mult_time= 0.000555580
5200 0.000525198 2500 0.000007721 mult_time= 0.000588747
5250 0.000660126 2750 0.000007945 mult_time= 0.000722154
5000 0.000553748 2500 0.000007883 mult_time= 0.000625137
5100 0.000135520 2600 0.000007674 mult_time= 0.000203130
5775 0.000550961 2750 0.000009189 mult_time= 0.000614422
2525 0.000115623 2550 0.000007810 mult_time= 0.000167529
5500 0.000701271 2500 0.000008591 mult_time= 0.000764608
5350 0.000630071 2860 0.000008331 mult_time= 0.000695360
5250 0.000589696 2750 0.000007842 mult_time= 0.000651692
5500 0.000833914 3025 0.000008395 mult_time= 0.000898386
5252 0.001219774 2550 0.000008326 mult_time= 0.001278172
5151 0.002098484 2550 0.000008197 mult_time= 0.002170241
5100 0.001660030 2600 0.000009810 mult_time= 0.001721772
5775 0.002282439 2750 0.000008335 mult_time= 0.002355753
5200 0.003275009 2700 0.000008048 mult_time= 0.003334567
5555 0.002827069 2550 0.000008230 mult_time= 0.002896634
5724 0.002338948 2805 0.000008840 mult_time= 0.002408335
5100 0.003164044 2601 0.000008049 mult_time= 0.003225983
5200 0.003590970 2703 0.000008151 mult_time= 0.003652930
5202 0.000273148 2601 0.000007715 mult_time= 0.000332098
4180 0.000395297 1275 0.000006687 mult_time= 0.000445415
5355 0.000343979 2750 0.000040090 mult_time= 0.000437746
5050 0.000494683 2550 0.000007764 mult_time= 0.000553501
2500 0.000396430 2500 0.000007084 mult_time= 0.000443165
5995 0.000164952 2970 0.000008030 mult_time= 0.000239422
2625 0.000755393 2754 0.000008204 mult_time= 0.000806147
5562 0.000928929 2650 0.000007845 mult_time= 0.000990362
5460 0.001531376 2750 0.000007682 mult_time= 0.001590902
2500 0.002257597 2500 0.000007622 mult_time= 0.002305446
5720 0.002189838 3025 0.000008765 mult_time= 0.002256225
5250 0.000721778 2750 0.000008152 mult_time= 0.000781619
5610 0.001469898 2600 0.000026544 mult_time= 0.001549825
5565 0.001654094 2750 0.000008215 mult_time= 0.001714722
5000 0.002360875 2500 0.000007778 mult_time= 0.002417760
4056 0.002084705 1325 0.000007244 mult_time= 0.002134118
4000 0.002192478 1375 0.000025385 mult_time= 0.002259041
3800 0.001732716 1275 0.000006925 mult_time= 0.001776376
3750 0.002328229 1250 0.000006966 mult_time= 0.002374631
2652 0.000016391 2652 0.000016716 add_time= 0.000082153
3025 0.000090727 3025 0.000014387 add_time= 0.000138356
2750 0.000056917 2750 0.000043732 add_time= 0.000127330
2550 0.000396302 2550 0.000017721 add_time= 0.000547099
2500 0.000028354 2500 0.000009186 add_time= 0.000085771
3025 0.000394096 3025 0.000022075 add_time= 0.002071313
2550 0.000048286 2550 0.000008639 add_time= 0.000082289
2500 0.000449696 2500 0.000017802 add_time= 0.000488912
2754 0.000059761 2754 0.000018117 add_time= 0.000097194
2600 0.000471793 2600 0.000045951 add_time= 0.000572360
3025 0.000075229 3025 0.000010089 add_time= 0.000118447
3025 0.000109913 3025 0.000007087 add_time= 0.000134894
2500 0.000247805 2500 0.000007430 add_time= 0.000277867
2754 0.000060285 2754 0.000006748 add_time= 0.000084130
2500 0.000121644 2500 0.000010517 add_time= 0.000172390
2500 0.000125169 2500 0.000008068 add_time= 0.000150578
2500 0.000179939 2500 0.000015036 add_time= 0.000212458
2500 0.000072750 2500 0.000007456 add_time= 0.000097775
2500 0.000678469 2500 0.000007722 add_time= 0.000716845
2703 0.000237002 2703 0.000010783 add_time= 0.000274066
5508 0.002018161 2915 0.000009677 mult_time= 0.002167043
5720 0.001504942 2703 0.000009274 mult_time= 0.001629821
3978 0.001328596 1325 0.000006957 mult_time= 0.001383956
5300 0.003781694 2500 0.000008404 mult_time= 0.003849317
5000 0.002096863 2500 0.000014642 mult_time= 0.002163811
5100 0.000033611 2600 0.000008263 mult_time= 0.000093776
5250 0.000213867 2750 0.000007761 mult_time= 0.000277497
5720 0.000819389 2700 0.000007847 mult_time= 0.000883169
5200 0.000470072 2704 0.000009996 mult_time= 0.000560206
5100 0.000339255 2600 0.000018411 mult_time= 0.000409271
5406 0.000362090 2808 0.000007403 mult_time= 0.000419062
3850 0.000253070 1300 0.000010027 mult_time= 0.000337353
5508 0.000082598 2600 0.000127004 mult_time= 0.000280317
5202 0.000049103 2600 0.000024959 mult_time= 0.000146569
5100 0.000065290 2600 0.000014002 mult_time= 0.000126910
5050 0.000040950 2550 0.000013946 mult_time= 0.000112095
5100 0.000362974 2500 0.000015278 mult_time= 0.000432644
5350 0.000031511 2860 0.000015810 mult_time= 0.000099335
5250 0.000040303 2750 0.000008161 mult_time= 0.000098688
5618 0.000048015 2805 0.000007988 mult_time= 0.000109173
5150 0.000623848 2650 0.000007624 mult_time= 0.000682900
5000 0.000899409 2500 0.000010365 mult_time= 0.000963827
5050 0.001189901 2550 0.000007737 mult_time= 0.001249493
5250 0.001286766 2750 0.000021306 mult_time= 0.001386526
5460 0.001152253 2750 0.000008040 mult_time= 0.001215640
5724 0.000067267 2805 0.000007781 mult_time= 0.000130955
5610 0.000232204 3025 0.000010250 mult_time= 0.000300455
5665 0.000586387 2650 0.000007501 mult_time= 0.000654429
5000 0.003102516 2500 0.000007559 mult_time= 0.003157045
5200 0.001697556 2500 0.000007449 mult_time= 0.001751809
5300 0.001903189 2500 0.000007630 mult_time= 0.001960652
5250 0.002567710 2750 0.000007800 mult_time= 0.002625336
2525 0.000049466 2550 0.000009262 mult_time= 0.000095927
5200 0.000077987 2700 0.000007399 mult_time= 0.000132257
5250 0.000590623 2750 0.000007472 mult_time= 0.000645638
5250 0.003266807 2750 0.000024859 mult_time= 0.003343736
5512 0.003454520 2805 0.000008022 mult_time= 0.003527679
4000 0.002671318 1375 0.000006665 mult_time= 0.002718370
5300 0.002800886 2805 0.000007873 mult_time= 0.002860907
5100 0.002383654 2601 0.000007483 mult_time= 0.002439909
3952 0.002134417 1275 0.000006657 mult_time= 0.002181236
5000 0.003491154 2500 0.000007426 mult_time= 0.003548179
5000 0.001447077 2500 0.000007287 mult_time= 0.001501901
5720 0.001979332 2703 0.000007904 mult_time= 0.002043161
5252 0.002156573 2550 0.000007654 mult_time= 0.002213837
5100 0.002399903 2601 0.000007804 mult_time= 0.002466801
5720 0.000369229 2703 0.000008341 mult_time= 0.000439718
5555 0.000613533 2550 0.000007683 mult_time= 0.000673117
5300 0.003883274 2805 0.000010773 mult_time= 0.003946998
5500 0.002539477 2500 0.000008045 mult_time= 0.002596917
5200 0.002697382 2500 0.000007877 mult_time= 0.002754411
5350 0.000096770 2862 0.000008350 mult_time= 0.000157971
5830 0.000066518 2808 0.000007936 mult_time= 0.000128477
5450 0.000455554 2970 0.000008304 mult_time= 0.000518684
5304 0.000543488 2700 0.000007689 mult_time= 0.000599887
5460 0.000350841 2754 0.000008198 mult_time= 0.000411770
5720 0.001513643 2700 0.000007801 mult_time= 0.001572743
5400 0.007877149 2500 0.000007850 mult_time= 0.007932689
5508 0.000347221 2915 0.000008510 mult_time= 0.000411150
5300 0.000151288 2805 0.000011782 mult_time= 0.000246478
5775 0.000093008 2750 0.000010111 mult_time= 0.000156779
5250 0.000390602 2750 0.000007571 mult_time= 0.000449265
5250 0.000359053 2750 0.000007950 mult_time= 0.000415972
5000 0.000304213 2500 0.000007280 mult_time= 0.000357355
3750 0.000330316 1250 0.000006750 mult_time= 0.000374822
3750 0.000324131 1250 0.000013466 mult_time= 0.000441838
3900 0.000106386 1250 0.000006694 mult_time= 0.000177725
5940 0.001898441 2915 0.000010705 mult_time= 0.002029652
5200 0.001365147 2703 0.000027769 mult_time= 0.001503253
3900 0.001395359 1325 0.000007746 mult_time= 0.001477668
5775 0.001500932 2750 0.000008718 mult_time= 0.001598325
5050 0.001662961 2550 0.000008222 mult_time= 0.001754415
3750 0.003603807 1250 0.000007262 mult_time= 0.003680854
5555 0.000577839 2550 0.000009918 mult_time= 0.000669847
5100 0.001566715 2600 0.000008197 mult_time= 0.001655247
5100 0.001183811 2600 0.000008384 mult_time= 0.001276946
5150 0.001955190 2652 0.000007902 mult_time= 0.002045065
5200 0.000057529 2704 0.000007721 mult_time= 0.000154365
5508 0.000045223 2600 0.000027118 mult_time= 0.000186907
5610 0.000033112 2600 0.000014039 mult_time= 0.000129031
1925 0.000038294 1300 0.000074996 mult_time= 0.000188402
5500 0.000036701 2500 0.000014765 mult_time= 0.000144184
5200 0.000038163 2700 0.000015639 mult_time= 0.000152333
5250 0.000031773 2750 0.000037366 mult_time= 0.000155992
6050 0.000068698 3025 0.000015842 mult_time= 0.000208080
5995 0.000540031 2970 0.000014594 mult_time= 0.000649988
2550 0.000600772 2600 0.000008005 mult_time= 0.000680708
5250 0.000911673 2750 0.000008334 mult_time= 0.001000249
5050 0.001360572 2550 0.000008393 mult_time= 0.001447610
3750 0.000880278 1250 0.000006816 mult_time= 0.000950017
5500 0.003808012 3025 0.000008640 mult_time= 0.003878443
4000 0.000527504 1375 0.000006607 mult_time= 0.000577355
5000 0.000628542 2500 0.000007731 mult_time= 0.000688526
5151 0.001444654 2550 0.000007755 mult_time= 0.001503788
3750 0.002198321 1250 0.000009307 mult_time= 0.002245141
5460 0.001655391 2750 0.000007822 mult_time= 0.001715522
5250 0.002061137 2750 0.000007723 mult_time= 0.002121919
5355 0.000856930 2750 0.000010660 mult_time= 0.000918963
5450 0.001113051 2970 0.000007838 mult_time= 0.001180514
5150 0.001752026 2652 0.000007652 mult_time= 0.001809487
5050 0.001302806 2550 0.000007655 mult_time= 0.001357618
5775 0.001314428 2754 0.000027290 mult_time= 0.001415678
5000 0.000191764 2500 0.000007394 mult_time= 0.000252725
5460 0.000560684 2750 0.000007536 mult_time= 0.000620101
5050 0.001521513 2550 0.000007925 mult_time= 0.001590040
5200 0.002060811 2703 0.000011179 mult_time= 0.002125664
5252 0.001153022 2550 0.000007521 mult_time= 0.001211259
5406 0.001751876 2601 0.000007708 mult_time= 0.001811447
5050 0.002739838 2550 0.000007769 mult_time= 0.002795115
5555 0.000138561 2550 0.000007965 mult_time= 0.000199698
5151 0.000921036 2550 0.000007782 mult_time= 0.000983447
4180 0.001924576 1275 0.000006724 mult_time= 0.001973247
5000 0.002085478 2500 0.000007724 mult_time= 0.002142155
5000 0.000932399 2500 0.000007727 mult_time= 0.000988148
5200 0.002006006 2500 0.000007508 mult_time= 0.002063212
5200 0.000089705 2700 0.000007827 mult_time= 0.000146911
5450 0.000068189 2970 0.000007956 mult_time= 0.000127320
5200 0.000316725 2700 0.000008056 mult_time= 0.000374653
5100 0.000892567 2500 0.000007922 mult_time= 0.000948203
5250 0.001922219 2750 0.000008353 mult_time= 0.001984495
2500 0.003044068 2500 0.000007286 mult_time= 0.003088611
5250 0.001468337 2750 0.000008311 mult_time= 0.001526454
5356 0.000499096 2650 0.000007721 mult_time= 0.000559396
5000 0.000333619 2500 0.000007597 mult_time= 0.000388949
5050 0.000488976 2550 0.000008646 mult_time= 0.000555193
4290 0.000404340 1325 0.000006587 mult_time= 0.000451160
4080 0.000059254 1375 0.000006536 mult_time= 0.000105728
3750 0.000056590 1250 0.000007038 mult_time= 0.000098939
2550 0.000135897 2550 0.000008161 add_time= 0.000167825
2750 0.000061076 2750 0.000007541 add_time= 0.000087813
2750 0.000056926 2750 0.000006300 add_time= 0.000078696
2750 0.000101426 2750 0.000006875 add_time= 0.000124540
1275 0.000054474 1275 0.000009586 add_time= 0.000087407
2500 0.000208234 2500 0.000016481 add_time= 0.000322833
1250 0.000032241 1250 0.000009657 add_time= 0.000071206
2970 0.000066825 2970 0.000008868 add_time= 0.000126839
2703 0.000107245 2703 0.000012443 add_time= 0.001343236
2860 0.000053748 2860 0.000006684 add_time= 0.000077453
2750 0.000005727 2750 0.000014493 add_time= 0.000034561
2500 0.000072467 2500 0.000006362 add_time= 0.000111049
2750 0.000080858 2750 0.000006963 add_time= 0.000104132
2500 0.000192395 2500 0.000007033 add_time= 0.000216833
2915 0.000090758 2915 0.000009079 add_time= 0.000115339
2500 0.000007188 2500 0.000013252 add_time= 0.000045785
2703 0.000048639 2703 0.000013040 add_time= 0.000076746
2500 0.000062230 2500 0.000006334 add_time= 0.000084546
