#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp
48400 1.975840372 1.638732719 1.638732719 0.337107653
53240 1.975840372 1.638732719 1.638732719 0.337107653
58080 1.975840372 1.638732719 1.638732719 0.337107653
62920 1.975840372 1.638732719 1.638732719 0.337107653
67760 1.975840372 1.638732719 1.638732719 0.337107653
72600 1.975840372 1.638732719 1.638732719 0.337107653
77440 1.975840372 1.638732719 1.638732719 0.337107653
82280 1.975840372 1.638732719 1.638732719 0.337107653
87120 1.975840372 1.638732719 1.638732719 0.337107653
91960 1.975840372 1.638732719 1.638732719 0.337107653
48400 2.022277826 1.717234230 1.717234230 0.305043596
53240 2.022277826 1.717234230 1.717234230 0.305043596
58080 2.022277826 1.717234230 1.717234230 0.305043596
62920 2.022277826 1.717234230 1.717234230 0.305043596
67760 2.022277826 1.717234230 1.717234230 0.305043596
72600 2.022277826 1.717234230 1.717234230 0.305043596
77440 2.022277826 1.717234230 1.717234230 0.305043596
82280 2.022277826 1.717234230 1.717234230 0.305043596
87120 2.022277826 1.717234230 1.717234230 0.305043596
91960 2.022277826 1.717234230 1.717234230 0.305043596
48400 1.974084715 1.637855586 1.637855586 0.336229129
53240 1.974084715 1.637855586 1.637855586 0.336229129
58080 1.974084715 1.637855586 1.637855586 0.336229129
62920 1.974084715 1.637855586 1.637855586 0.336229129
67760 1.974084715 1.637855586 1.637855586 0.336229129
72600 1.974084715 1.637855586 1.637855586 0.336229129
77440 1.974084715 1.637855586 1.637855586 0.336229129
82280 1.974084715 1.637855586 1.637855586 0.336229129
87120 1.974084715 1.637855586 1.637855586 0.336229129
91960 1.974084715 1.637855586 1.637855586 0.336229129
48400 1.950182694 1.622806823 1.622806823 0.327375871
53240 1.950182694 1.622806823 1.622806823 0.327375871
58080 1.950182694 1.622806823 1.622806823 0.327375871
62920 1.950182694 1.622806823 1.622806823 0.327375871
67760 1.950182694 1.622806823 1.622806823 0.327375871
72600 1.950182694 1.622806823 1.622806823 0.327375871
77440 1.950182694 1.622806823 1.622806823 0.327375871
82280 1.950182694 1.622806823 1.622806823 0.327375871
87120 1.950182694 1.622806823 1.622806823 0.327375871
91960 1.950182694 1.622806823 1.622806823 0.327375871
48400 1.976027092 1.642390636 1.642390636 0.333636456
53240 1.976027092 1.642390636 1.642390636 0.333636456
58080 1.976027092 1.642390636 1.642390636 0.333636456
62920 1.976027092 1.642390636 1.642390636 0.333636456
67760 1.976027092 1.642390636 1.642390636 0.333636456
72600 1.976027092 1.642390636 1.642390636 0.333636456
77440 1.976027092 1.642390636 1.642390636 0.333636456
82280 1.976027092 1.642390636 1.642390636 0.333636456
87120 1.976027092 1.642390636 1.642390636 0.333636456
91960 1.976027092 1.642390636 1.642390636 0.333636456
48400 2.031555462 1.719520422 1.719520422 0.312035040
53240 2.031555462 1.719520422 1.719520422 0.312035040
58080 2.031555462 1.719520422 1.719520422 0.312035040
62920 2.031555462 1.719520422 1.719520422 0.312035040
67760 2.031555462 1.719520422 1.719520422 0.312035040
72600 2.031555462 1.719520422 1.719520422 0.312035040
77440 2.031555462 1.719520422 1.719520422 0.312035040
82280 2.031555462 1.719520422 1.719520422 0.312035040
87120 2.031555462 1.719520422 1.719520422 0.312035040
91960 2.031555462 1.719520422 1.719520422 0.312035040
48400 2.036107074 1.726780571 1.726780571 0.309326503
53240 2.036107074 1.726780571 1.726780571 0.309326503
58080 2.036107074 1.726780571 1.726780571 0.309326503
62920 2.036107074 1.726780571 1.726780571 0.309326503
67760 2.036107074 1.726780571 1.726780571 0.309326503
72600 2.036107074 1.726780571 1.726780571 0.309326503
77440 2.036107074 1.726780571 1.726780571 0.309326503
82280 2.036107074 1.726780571 1.726780571 0.309326503
87120 2.036107074 1.726780571 1.726780571 0.309326503
91960 2.036107074 1.726780571 1.726780571 0.309326503
48400 2.011908715 1.695889267 1.695889267 0.316019448
53240 2.011908715 1.695889267 1.695889267 0.316019448
58080 2.011908715 1.695889267 1.695889267 0.316019448
62920 2.011908715 1.695889267 1.695889267 0.316019448
67760 2.011908715 1.695889267 1.695889267 0.316019448
