#input_size get_time acc_size acc_time op_type overall_time
2650 0.000253132 2650 0.000014259 add_time= 0.001975218
2750 0.000149847 2750 0.000008456 add_time= 0.000174194
1250 0.000010870 1250 0.000010237 add_time= 0.000035389
2600 0.000088673 2600 0.000009431 add_time= 0.000118290
2750 0.000099414 2750 0.000007004 add_time= 0.000122729
2805 0.000019868 2805 0.000023796 add_time= 0.000069007
2650 0.000092008 2650 0.000011835 add_time= 0.000167505
2600 0.000059305 2600 0.000007726 add_time= 0.000083539
2860 0.000065994 2860 0.000006680 add_time= 0.000092344
1250 0.000006769 1250 0.000018374 add_time= 0.000040900
2600 0.000236303 2600 0.000010373 add_time= 0.000296958
2652 0.000074814 2652 0.000016718 add_time= 0.000119708
2652 0.000053995 2652 0.000011710 add_time= 0.000095302
2500 0.000149275 2500 0.000012597 add_time= 0.000187385
2970 0.000138870 2970 0.000007377 add_time= 0.000169811
2805 0.000120534 2805 0.000013809 add_time= 0.000208285
2500 0.001128402 2500 0.000009500 add_time= 0.001172825
2750 0.000176439 2750 0.000013100 add_time= 0.000212078
5150 0.001917416 2650 0.000021462 mult_time= 0.002137070
5356 0.001581034 2650 0.000010189 mult_time= 0.001711915
3900 0.001317998 1325 0.000008261 mult_time= 0.001451175
2500 0.001112767 2500 0.000008094 mult_time= 0.001193284
5050 0.001503949 2550 0.000009154 mult_time= 0.001598670
5775 0.001553295 2750 0.000008499 mult_time= 0.001651824
5000 0.000169119 2500 0.000008301 mult_time= 0.000299396
5775 0.001361103 2750 0.000010078 mult_time= 0.001457973
5460 0.001648350 2750 0.000009022 mult_time= 0.001744240
5304 0.002760459 2704 0.000008355 mult_time= 0.002850414
5100 0.002771852 2600 0.000008473 mult_time= 0.002859246
5665 0.003228013 2652 0.000009892 mult_time= 0.003320398
5775 0.000181873 2756 0.000008568 mult_time= 0.000274592
5304 0.000146145 2704 0.000008417 mult_time= 0.000249137
5457 0.000083974 2860 0.000008109 mult_time= 0.000171633
5457 0.000171500 2860 0.000008161 mult_time= 0.000260427
5150 0.000215372 2652 0.000007879 mult_time= 0.000300886
5610 0.000311597 2600 0.000007840 mult_time= 0.000398459
3850 0.000427436 1300 0.000006444 mult_time= 0.000500348
5250 0.001596258 2750 0.000008054 mult_time= 0.001683140
5000 0.001281536 2500 0.000008261 mult_time= 0.001378110
5355 0.001927726 2750 0.000007987 mult_time= 0.001999965
5350 0.000162443 2860 0.000010599 mult_time= 0.000239055
5775 0.001161843 2750 0.000008790 mult_time= 0.001234488
5300 0.000375951 2805 0.000008154 mult_time= 0.000438205
2725 0.000246030 2970 0.000008149 mult_time= 0.000296900
4080 0.000480480 1375 0.000010305 mult_time= 0.000533814
5250 0.002985399 2750 0.000008715 mult_time= 0.003047052
5151 0.002831593 2550 0.000007920 mult_time= 0.002887401
4125 0.002901011 1250 0.000006517 mult_time= 0.002944628
5250 0.004693231 2750 0.000011165 mult_time= 0.004755890
5250 0.000095784 2750 0.000008058 mult_time= 0.000151417
5355 0.000123930 2750 0.000007746 mult_time= 0.000179073
5406 0.001905267 2600 0.000007928 mult_time= 0.001961574
5775 0.001935257 2750 0.000011987 mult_time= 0.002001867
5050 0.004626729 2550 0.000008204 mult_time= 0.004682608
5562 0.000145021 2650 0.000009173 mult_time= 0.000217076
5000 0.000069168 2500 0.000008623 mult_time= 0.000124432
5100 0.007662035 2600 0.000008195 mult_time= 0.007723627
5000 0.003047935 2500 0.000010449 mult_time= 0.003102858
5355 0.003916107 2750 0.000008032 mult_time= 0.003972071
2625 0.003255358 2750 0.000007509 mult_time= 0.003300185
5151 0.002713038 2550 0.000008348 mult_time= 0.002767049
5304 0.002470535 2601 0.000007685 mult_time= 0.002526193
5353 0.003028504 2550 0.000008335 mult_time= 0.003086890
5775 0.002215783 2750 0.000011485 mult_time= 0.002280375
2525 0.002847877 2550 0.000007471 mult_time= 0.002892107
5253 0.001623720 2652 0.000009363 mult_time= 0.001700005
5512 0.003017787 2805 0.000008030 mult_time= 0.003082170
5610 0.002278268 2601 0.000027323 mult_time= 0.002362207
3952 0.002392801 1275 0.000007075 mult_time= 0.002444440
5512 0.000524810 2805 0.000008362 mult_time= 0.000587187
5050 0.001424564 2550 0.000008739 mult_time= 0.001514432
5100 0.001432196 2600 0.000008472 mult_time= 0.001511026
5250 0.002723013 2750 0.000008558 mult_time= 0.002786702
5050 0.006085265 2550 0.000066889 mult_time= 0.006224306
5200 0.000463758 2700 0.000007972 mult_time= 0.000539140
5250 0.005269537 2754 0.000008223 mult_time= 0.005331397
5000 0.003080190 2500 0.000007749 mult_time= 0.003136115
5555 0.002371752 2550 0.000026660 mult_time= 0.002450253
5000 0.002290405 2500 0.000007764 mult_time= 0.002345376
5355 0.000162535 2750 0.000009127 mult_time= 0.000311008
5610 0.000037003 3025 0.000026997 mult_time= 0.000121610
5720 0.001728628 3025 0.000112732 mult_time= 0.001909428
5000 0.000030319 2500 0.000022842 mult_time= 0.000100771
5000 0.000045385 2500 0.000022972 mult_time= 0.000115000
5565 0.000028933 2750 0.000026360 mult_time= 0.000121996
2500 0.000012178 2500 0.000021913 mult_time= 0.000073835
3750 0.000034102 1250 0.000016738 mult_time= 0.000093659
