#input_size get_time acc_size acc_time op_type overall_time
2600 0.000087858 2600 0.000014882 add_time= 0.001621980
1375 0.000107864 1375 0.000006504 add_time= 0.000129395
2750 0.000090567 2750 0.000007154 add_time= 0.000114377
2704 0.000282683 2704 0.000007819 add_time= 0.000321410
2805 0.000072313 2805 0.000007319 add_time= 0.000095790
2650 0.000546765 2650 0.000034070 add_time= 0.000626782
3025 0.000211612 3025 0.000006913 add_time= 0.000246272
2700 0.000219681 2700 0.000006354 add_time= 0.000239724
1250 0.000153567 1250 0.000024770 add_time= 0.000205378
2500 0.000882734 2500 0.000008010 add_time= 0.000911021
2601 0.000126438 2601 0.000007039 add_time= 0.000158734
2600 0.000125073 2600 0.000040200 add_time= 0.000181111
2550 0.001088383 2550 0.000007791 add_time= 0.001122820
2750 0.000276780 2750 0.000008265 add_time= 0.000301443
2550 0.000436409 2550 0.000007800 add_time= 0.000460140
2650 0.000517283 2650 0.000008479 add_time= 0.000547351
2750 0.000081212 2750 0.000011404 add_time= 0.000108758
2500 0.000162863 2500 0.000007540 add_time= 0.000187311
5300 0.002519996 2809 0.000015641 mult_time= 0.002715404
5356 0.003099702 2650 0.000008390 mult_time= 0.003203874
2575 0.002440229 2650 0.000008427 mult_time= 0.002520895
5100 0.002035972 2500 0.000008584 mult_time= 0.002126559
5775 0.001727975 2750 0.000007894 mult_time= 0.001821376
5100 0.001776805 2500 0.000008724 mult_time= 0.001878496
5100 0.002059911 2600 0.000011453 mult_time= 0.002147621
2525 0.000577065 2550 0.000009034 mult_time= 0.000659807
5500 0.001729275 2500 0.000008188 mult_time= 0.001815044
5202 0.002715089 2600 0.000008536 mult_time= 0.002799280
5202 0.003057125 2600 0.000008981 mult_time= 0.003140524
5150 0.003314904 2652 0.000008492 mult_time= 0.003400802
5355 0.000050304 2756 0.000008405 mult_time= 0.000137474
5408 0.005005723 2704 0.000008600 mult_time= 0.005092738
2675 0.000046412 2860 0.000099438 mult_time= 0.000213203
5610 0.000044575 2600 0.000023775 mult_time= 0.000151837
5355 0.000122726 2750 0.000026630 mult_time= 0.000244954
5000 0.000044865 2500 0.000024025 mult_time= 0.000144025
5400 0.000064589 2915 0.000026599 mult_time= 0.000168026
5460 0.000010829 2750 0.000024485 mult_time= 0.000121857
5355 0.000379400 2750 0.000007887 mult_time= 0.000477731
5610 0.000287416 3025 0.000008783 mult_time= 0.000384842
5665 0.000985574 2650 0.000032259 mult_time= 0.001102439
5000 0.003481937 2500 0.000007665 mult_time= 0.003544374
5400 0.000094998 2915 0.000008620 mult_time= 0.000164191
5460 0.005214972 2750 0.000008201 mult_time= 0.005276998
