capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
1836044288 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2150.894416987 1989.163446535 2131.613626377 2065.390329986 2022.695481850 2073.650427239 2060.212184551 2022.617958520 1983.540720941 2006.570839587 2006.570839587 2000.391476117 2000.391476117 2043.653012681  
2065549824 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2076.664971625 1989.163446535 2100.758966343 2065.378007833 2000.410568543 2066.698945857 2060.212184551 2015.450595996 1974.155357817 1973.960655216 1973.960655216 2011.993755725 2011.993755725 2039.325818300  
2524560896 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2028.962618408 1973.346411684 2076.515929685 2028.601446248 1976.961792629 2031.755982177 2053.707776552 1988.972170680 1973.599653689 1973.724547678 1973.724547678 1974.399101810 1974.399101810 1988.526138196  
2754066432 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 2000.480586717 2028.601446248 1976.796165909 2030.314736184 2053.707776552 1981.670634000 1973.864971098 1974.201844797 1974.201844797 1973.346409995 1973.346409995 1984.030201180  
2983571968 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 2011.106888105 2028.588352831 1976.796165909 2024.962606032 2053.707776552 1981.670634000 1973.709402941 1973.724547678 1973.724547678 1979.034478176 1979.034478176 2001.488307388  
3213077504 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1975.479936063 1990.809027717 1976.595597410 2016.115941872 2053.474533996 1975.199075873 1973.599653689 1973.724547678 1973.724547678 1973.346457067 1973.346457067 1978.361853790  
3442583040 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1993.019931011 1985.509519499 1976.595597410 2010.752910733 2053.327470205 1975.199075873 1973.599653689 1973.724547678 1973.724547678 1973.346406208 1973.346406208 1974.124735436  
3672088576 2497.756903213 1973.346393920 1973.346393920 524.410509293 1973.346406208 2017.953753802 1973.346411684 1973.567846888 1983.952891527 1976.279324437 2009.322565727 2053.327470205 1975.199075873 1973.599653689 1973.724547678 1973.724547678 1973.346406208 1973.346406208 1981.185997694  
1836044288 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2893.784484486 2772.264008011 2870.457574638 2875.792413416 2865.692022865 2823.433171644 2815.978131828 2799.757703961 2804.490162335 2846.716163404 2846.716163404 2810.912476669 2810.912476669 2888.631878641  
2065549824 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2889.612577280 2772.264008011 2881.339710389 2875.747533155 2848.944098125 2817.931668003 2815.978131828 2785.371570401 2802.176208925 2806.409753739 2806.409753739 2756.759358092 2756.759358092 2830.756234537  
2524560896 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2866.049813686 2772.264008011 2827.216817643 2870.138805685 2822.735976937 2786.066509254 2802.545471483 2773.165662697 2802.176208925 2819.045885717 2819.045885717 2718.021844977 2718.021844977 2817.612237527  
2754066432 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2866.049813686 2712.820013541 2775.689190442 2752.917796313 2792.823763110 2755.203161503 2772.633257656 2713.721668227 2772.263995098 2773.736756717 2773.736756717 2712.820012355 2712.820012355 2773.366394513  
2983571968 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2840.495914575 2712.820013541 2758.704344883 2752.872017877 2792.823763110 2753.371419884 2772.633257656 2713.721668227 2772.263995098 2776.351857772 2776.351857772 2712.820051644 2712.820051644 2780.900519623  
3213077504 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2744.452061092 2752.501725586 2777.840879959 2752.171960344 2772.272008470 2713.721668227 2772.263995098 2776.410594772 2776.410594772 2712.820013444 2712.820013444 2761.010014683  
3442583040 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2743.212752441 2722.776275521 2777.840879959 2719.009200498 2772.272008470 2713.721668227 2772.263995098 2774.332585933 2774.332585933 2712.820036557 2712.820036557 2764.328865660  
3672088576 3224.159740139 2712.820000628 2712.820000628 511.339739511 2712.820012355 2782.004773745 2712.820013541 2740.856740489 2722.734996206 2777.822341984 2719.009200498 2772.272008470 2713.721668227 2772.263995098 2776.739086567 2776.739086567 2712.820015142 2712.820015142 2745.119778853  
1836044288 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3118.834169136 3043.655410086 3087.227140839 3158.227976875 3110.999794737 3134.452630115 3121.531056953 3063.822303566 3059.461048042 3077.889314416 3077.889314416 3059.286597463 3059.286597463 3100.305837422  
2065549824 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3118.200788337 3028.578444031 3097.824788606 3148.736823643 3078.773859461 3121.183279834 3121.531056953 3048.741372176 3017.803447092 3070.487971356 3070.487971356 3017.095449374 3017.095449374 3075.678471467  
2524560896 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3067.964070487 2968.040163581 3053.561863166 3143.288605771 3042.270613986 3050.779107010 3058.126136050 3040.554955043 2956.644025037 3027.714586510 3027.714586510 2929.072820375 2929.072820375 3037.205518758  
2754066432 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3020.606326950 2844.379793959 3039.227437358 3051.259491530 3000.170279649 3031.638772442 3026.174658298 2949.194348006 2904.763273365 2980.294279599 2980.294279599 2905.040013915 2905.040013915 3020.004069456  
2983571968 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 3020.032465655 2844.379793959 3010.979771902 3051.259491530 2993.582505116 3025.352844663 3026.174658298 2949.194348006 2905.003925809 2976.072039156 2976.072039156 2927.340601324 2927.340601324 2989.164848174  
3213077504 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2954.870284887 2844.379793959 2967.360902807 3051.259491530 2986.594080974 3012.216399046 3025.978666667 2948.982583984 2904.873958518 2971.588504171 2971.588504171 2869.719472525 2869.719472525 3004.862269081  
3442583040 3546.279020652 2844.379780181 2844.379780181 701.899240471 2844.379791730 2954.870284887 2844.379793959 2848.121691957 3019.196877909 2982.914255502 2991.998643498 3025.764994150 2928.764828436 2904.763273365 2966.466020672 2966.466020672 2882.696664054 2882.696664054 2999.526387197  
